Gene,GeneName,Type,miRNA,Phenotypes
Erp44,Endoplasmic reticulum resident protein 44,Enzyme,miR-7222-3p; miR-29a-3p; miR-29c-3p,increased lean body mass
Etfa,"Electron transfer flavoprotein subunit alpha, mitochondrial",Transporter,miR-205-3p; miR-669e-3p,increased total body fat amount
Evl,Ena/VASP-like protein,,miR-7222-3p; miR-21b,increased fasting circulating glucose level
Exoc3,Exocyst complex component 3,Transporter,miR-3470a; miR-743b-3p; miR-382-3p; miR-200a-3p; miR-141-3p,increased lean body mass
Extl1,Exostosin-like 1,Enzyme,miR-301a-3p; miR-130b-3p,increased total body fat amount
Ezh1,Histone-lysine N-methyltransferase EZH1,Enzyme,miR-3968; miR-301a-3p; miR-200a-3p; miR-130b-3p; miR-486a-3p; miR-486b-3p; miR-141-3p,increased circulating glucose level
Faah,Fatty-acid amide hydrolase 1,Enzyme,miR-3535,increased fasting circulating glucose level
Fadd,FAS-associated death domain protein,,let-7g-3p,increased total body fat amount
Fads1,Acyl-CoA,Enzyme,miR-3470a; miR-743b-3p,improved glucose tolerance
Fam117b,Protein FAM117B,,miR-21a-3p; miR-200a-3p; miR-206-3p; miR-141-3p,increased lean body mass
Fam120a,Constitutive coactivator of PPAR-gamma-like protein 1,,miR-34c-3p; miR-34b-3p; miR-881-3p; miR-21a-3p; miR-222-3p; miR-96-3p; miR-221-3p,increased lean body mass
Fam163a,Protein FAM163A,,miR-3535; miR-139-3p,increased lean body mass; improved glucose tolerance
Fam184b,Protein FAM184B,,miR-29a-3p; miR-203-3p; miR-29c-3p,increased circulating glucose level
Fam221a,Protein FAM221A,,miR-222-3p; miR-221-3p,increased circulating glucose level
Fam83d,Protein FAM83D,,miR-330-3p,increased fasting circulating glucose level
Fam83h,Protein FAM83H,,miR-741-3p,increased circulating glucose level
Fancl,E3 ubiquitin-protein ligase FANCL,Enzyme,miR-1981-3p; miR-93-3p; miR-30d-3p; miR-30a-3p; miR-30e-3p; miR-191-3p; miR-211-3p,increased total body fat amount
Far2,Fatty acyl-CoA reductase 2,Enzyme,miR-677-3p,increased fasting circulating glucose level
Farp1,"FERM, ARHGEF and pleckstrin domain-containing protein 1",,miR-25-3p; miR-92b-3p; miR-150-3p,increased fasting circulating glucose level
Fastk,Fas-activated serine/threonine kinase,Kinase,miR-301a-3p; miR-130b-3p,improved glucose tolerance
Fbxl3,F-box/LRR-repeat protein 3,Enzyme,miR-3470a; miR-3473d; miR-205-3p; miR-21b,decreased lean body mass
Fbxo11,F-box only protein 11,Enzyme,miR-547-3p; miR-30d-3p; miR-150-3p; let-7g-3p; miR-30a-3p; miR-30e-3p,increased lean body mass; increased fasting circulating glucose level
Fbxo30,F-box only protein 30,Enzyme,miR-200b-3p; miR-23b-3p; miR-23a-3p; miR-222-3p; miR-200c-3p; miR-221-3p; miR-429-3p; miR-27a-3p; miR-27b-3p,improved glucose tolerance
Fgf10,Fibroblast growth factor 10,Growth factor,miR-30d-3p; miR-30a-3p; miR-30e-3p; miR-191-3p,increased total body fat amount
Fkbp5,Peptidyl-prolyl cis-trans isomerase FKBP5,Enzyme,miR-3473d; miR-200a-3p; miR-486a-3p; miR-486b-3p; miR-141-3p,increased lean body mass
Flt3,Receptor-type tyrosine-protein kinase FLT3,Kinase,miR-1291; miR-3470a; miR-34c-3p; miR-34b-3p; miR-205-3p; miR-669e-3p,decreased lean body mass
Fnbp1l,Formin-binding protein 1-like,,miR-23b-3p; miR-23a-3p; let-7g-3p,increased lean body mass
Fndc3a,Fibronectin type-III domain-containing protein 3A,,miR-34c-3p; miR-34b-3p; miR-3473f; miR-547-3p; miR-935; miR-142a-3p; miR-183-3p; let-7b-3p; miR-222-3p; miR-206-3p; miR-221-3p; let-7c-2-3p; let-7a-1-3p; let-7f-2-3p; miR-21b; miR-27a-3p; miR-191-3p; let-7a-2-3p; miR-27b-3p,increased total body fat amount
Fndc4,Fibronectin type III domain-containing protein 4,,miR-3535; miR-152-3p; miR-148a-3p; miR-148b-3p,increased fasting circulating glucose level
Fndc9,Fibronectin type III domain-containing protein 9,,miR-881-3p; miR-200b-3p; miR-200c-3p; miR-429-3p,increased total body fat amount
Fnip1,Folliculin-interacting protein 1,,miR-3535; miR-25-3p; miR-92b-3p; miR-935; miR-182-3p; let-7b-3p; let-7g-3p; let-7c-2-3p; let-7a-1-3p; let-7f-2-3p; miR-191-3p; miR-708-3p,improved glucose tolerance
Fos,Protein c-Fos,Transcription regulator,miR-222-3p; miR-221-3p; miR-146b-3p,increased total body fat amount
Foxo3,Forkhead box protein O3,Transcription regulator,miR-881-3p,impaired glucose tolerance
Foxp1,Forkhead box protein P1,Transcription regulator,miR-200b-3p; miR-182-3p; miR-93-3p; let-7b-3p; miR-200c-3p; let-7g-3p; miR-200a-3p; miR-30b-3p; miR-206-3p; miR-429-3p; let-7c-2-3p; let-7a-1-3p; miR-741-3p; miR-141-3p,increased lean body mass
Foxp2,Forkhead box protein P2,Transcription regulator,miR-881-3p; miR-3968; miR-23b-3p; let-7b-3p; miR-23a-3p; let-7c-2-3p; let-7a-1-3p; miR-330-3p,increased body weight
Frmd5,FERM domain-containing protein 5,,miR-3473f; miR-23b-3p; miR-23a-3p; miR-143-3p,increased total body fat amount
Fst,Follistatin,,let-7a-2-3p,increased total body fat amount
Fstl1,Follistatin-related protein 1,,miR-125a-3p; miR-92b-3p; miR-935; miR-29a-3p; miR-29c-3p; miR-330-3p,impaired glucose tolerance
Fut4,"Alpha-(1,3)-fucosyltransferase 4",Enzyme,miR-672-3p; miR-382-3p; miR-23b-3p; miR-23a-3p; miR-205-3p,increased total body fat amount
Fyttd1,UAP56-interacting factor,,miR-7241-3p; miR-3473f; miR-470-3p,increased total body fat amount
Fzd3,Frizzled-3,G-protein coupled receptor,miR-3473f; miR-3473d; miR-145a-3p; miR-183-3p; miR-204-3p; miR-677-3p; miR-27a-3p; miR-708-3p; miR-27b-3p,increased total body fat amount; impaired glucose tolerance
G2e3,G2/M phase-specific E3 ubiquitin-protein ligase,Enzyme,miR-3473f; let-7b-3p; miR-143-3p; let-7c-2-3p; let-7a-1-3p; let-7f-2-3p; miR-21b,increased total body fat amount
Gabra2,Gamma-aminobutyric acid receptor subunit alpha-2,Ion channel,miR-222-3p; let-7g-3p; miR-221-3p; miR-330-3p,increased lean body mass
Gabrg3,Gamma-aminobutyric acid receptor subunit gamma-3,Ion channel,miR-93-3p,increased total body fat amount
Gad2,Glutamate decarboxylase 2,Enzyme,miR-672-3p; miR-21b,impaired glucose tolerance
Gal3st1,Galactosylceramide sulfotransferase,Enzyme,miR-3473e; miR-3473b,improved glucose tolerance
Galnt18,Polypeptide N-acetylgalactosaminyltransferase 18,Enzyme,miR-222-3p; miR-221-3p,increased lean body mass
Gas7,Growth arrest-specific protein 7,,miR-672-3p; miR-206-3p; miR-486a-3p; miR-486b-3p,increased total body fat amount
Gbp2,Guanylate-binding protein 2,Enzyme,miR-1931,increased fasting circulating glucose level
Gck,Hexokinase-4,Kinase,miR-145a-3p,impaired glucose tolerance
Gclc,Glutamate--cysteine ligase catalytic subunit,Enzyme,miR-3969; miR-206-3p,increased lean body mass
Gdap2,Ganglioside-induced differentiation-associated protein 2,,miR-3473d; miR-182-3p; let-7b-3p; let-7g-3p; let-7c-2-3p; let-7a-1-3p; miR-483-3p,increased lean body mass
Gdi2,Rab GDP dissociation inhibitor beta,,miR-7222-3p,impaired glucose tolerance
Gfpt2,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2,Enzyme,miR-25-3p; miR-92b-3p; miR-27a-3p; miR-27b-3p; miR-330-3p,increased fasting circulating glucose level
Ghrh,Somatoliberin,,miR-184-3p,increased total body fat amount; impaired glucose tolerance
Ghrhr,Growth hormone-releasing hormone receptor,G-protein coupled receptor,miR-328-3p,increased total body fat amount
Gigyf2,GRB10-interacting GYF protein 2,,miR-143-3p; miR-330-3p; let-7a-2-3p,increased fasting circulating glucose level
Gkn2,Gastrokine-2,,miR-206-3p,increased lean body mass
Glt8d2,Glycosyltransferase 8 domain-containing protein 2,Enzyme,miR-1981-3p; miR-30d-3p; miR-21b; miR-30a-3p; miR-30e-3p,increased circulating insulin level
Gmeb2,Glucocorticoid modulatory element-binding protein 2,Transcription regulator,miR-182-3p,increased lean body mass
Gmps,GMP synthase [glutamine-hydrolyzing],Enzyme,miR-672-3p; miR-182-3p; miR-27a-3p; miR-27b-3p; let-7a-2-3p,increased total body fat amount
Gnl1,Guanine nucleotide-binding protein-like 1,,miR-30d-3p; miR-30a-3p; miR-30e-3p; miR-100-3p,increased total body fat amount; impaired glucose tolerance
Gpbp1,Vasculin,Transcription regulator,miR-935; miR-222-3p; miR-221-3p; miR-21b; miR-741-3p; miR-22-3p,improved glucose tolerance
Gpld1,Phosphatidylinositol-glycan-specific phospholipase D,Enzyme,miR-328-3p,increased lean body mass
Gpnmb,Transmembrane glycoprotein NMB,Enzyme,miR-145a-3p,increased fasting circulating glucose level
Gpr22,G-protein coupled receptor 22,G-protein coupled receptor,miR-23b-3p; miR-382-3p; let-7b-3p; miR-23a-3p; miR-374b-3p; miR-203-3p; let-7c-2-3p; let-7a-1-3p; miR-468-3p,increased lean body mass
Gpr55,G-protein coupled receptor 55,G-protein coupled receptor,miR-182-3p,increased lean body mass
Gpr65,Psychosine receptor,G-protein coupled receptor,miR-547-3p,increased lean body mass
Greb1l,GREB1-like protein,,miR-25-3p; miR-92b-3p; miR-743b-3p; miR-200b-3p; miR-183-3p; miR-200a-3p; miR-200c-3p; miR-429-3p; miR-141-3p,increased total body fat amount
Grhl3,Grainyhead-like protein 3 homolog,Transcription regulator,let-7b-3p; miR-21a-3p; miR-203-3p; let-7c-2-3p; let-7a-1-3p,increased circulating glucose level
Grik1,"Glutamate receptor ionotropic, kainate 1",Ion channel,miR-483-3p,increased lean body mass
Grik3,"Glutamate receptor ionotropic, kainate 3",Ion channel,miR-93-3p; miR-532-3p; miR-27a-3p; miR-27b-3p,increased fasting circulating glucose level
Gsk3a,Glycogen synthase kinase-3 alpha,Kinase,miR-192-3p; let-7g-3p,increased total body fat amount; improved glucose tolerance
Gtf2a1,Transcription initiation factor IIA subunit 1,Transcription regulator,miR-3470b; miR-1931; miR-142a-3p; miR-183-3p; let-7b-3p; miR-203-3p; let-7g-3p; miR-222-3p; let-7c-2-3p; let-7a-1-3p; miR-205-3p; miR-221-3p; miR-27a-3p; miR-470-3p; let-7a-2-3p; miR-330-3p; miR-27b-3p,increased total body fat amount
Gulo,L-gulonolactone oxidase,Enzyme,miR-143-3p,decreased lean body mass
Gzf1,GDNF-inducible zinc finger protein 1,Transcription regulator,miR-1931,increased total body fat amount
Haao,"3-hydroxyanthranilate 3,4-dioxygenase",Enzyme,miR-741-3p,increased circulating glucose level
Hbs1l,HBS1-like protein,Translation regulator,miR-3535; miR-301a-3p; miR-152-3p; miR-148a-3p; miR-130b-3p; miR-148b-3p,improved glucose tolerance
Hdgfl3,Hepatoma-derived growth factor-related protein 3,,miR-152-3p; miR-182-3p; miR-23b-3p; miR-148a-3p; miR-23a-3p; miR-148b-3p; miR-191-3p,increased total body fat amount
Heca,"Hdc homolog, cell cycle regulator",,miR-382-3p; miR-449a-3p,increased total body fat amount
Hectd3,E3 ubiquitin-protein ligase HECTD3,Enzyme,miR-205-3p,increased total body fat amount
Herc1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,,let-7b-3p; let-7c-2-3p; let-7f-2-3p; let-7a-1-3p,increased total body fat amount; impaired glucose tolerance; increased circulating insulin level
Herc3,Hect domain and RLD 3,Enzyme,miR-382-3p; miR-204-3p; miR-27a-3p; miR-27b-3p,increased lean body mass
Hgsnat,Heparan-alpha-glucosaminide N-acetyltransferase,Enzyme,miR-182-3p; miR-205-3p,increased lean body mass
Hipk3,Homeodomain-interacting protein kinase 3,Kinase,miR-25-3p; miR-3473d; miR-92b-3p; miR-743b-3p; miR-200b-3p; miR-10a-3p; miR-152-3p; miR-148a-3p; miR-200c-3p; miR-200a-3p; miR-429-3p; let-7f-2-3p; miR-206-3p; miR-1934-3p; miR-100-3p; miR-148b-3p; miR-141-3p; miR-330-3p,increased fasting circulating glucose level
Hmgn1,Non-histone chromosomal protein HMG-14,Transcription regulator,miR-881-3p; miR-30b-3p; miR-206-3p; let-7a-2-3p,increased total body fat amount
Hnrnpc,Heterogeneous nuclear ribonucleoproteins C1/C2,,miR-145a-3p; miR-21a-3p; miR-183-3p; miR-532-3p,improved glucose tolerance
Hoxa2,Homeobox protein Hox-A2,Transcription regulator,miR-3470a; miR-150-3p,improved glucose tolerance
Hspbap1,HSPB1-associated protein 1,,miR-7222-3p; miR-222-3p; miR-221-3p,increased lean body mass
Hunk,Hormonally up-regulated neu tumor-associated kinase,Kinase,miR-125a-3p; miR-27a-3p; miR-27b-3p; miR-146b-3p,increased circulating glucose level
Hyal6,Hyaluronidase,,miR-200b-3p; miR-200c-3p; miR-429-3p,impaired glucose tolerance
Ide,Insulin-degrading enzyme,Peptidase,miR-672-3p; miR-143-3p; miR-146b-3p,increased lean body mass
Ifitm1,Interferon-induced transmembrane protein 1,,miR-486a-3p; miR-486b-3p,increased lean body mass
Ifnar1,Interferon alpha/beta receptor 1,Transmembrane receptor,miR-3473d; miR-200a-3p; miR-203-3p; miR-141-3p,improved glucose tolerance
Igsf11,Immunoglobulin superfamily member 11,,miR-183-3p,increased fasting circulating glucose level
Igsf8,Immunoglobulin superfamily member 8,,miR-3473e; miR-3473b; miR-23b-3p; miR-23a-3p,impaired glucose tolerance
Il10ra,Interleukin-10 receptor subunit alpha,Transmembrane receptor,miR-3473e; miR-3473b; miR-672-3p,improved glucose tolerance
Il12b,Interleukin-12 subunit beta,Cytokine,miR-200a-3p; miR-141-3p,impaired glucose tolerance
Immp2l,Mitochondrial inner membrane protease subunit 2,Peptidase,miR-200b-3p; miR-200c-3p; miR-429-3p,decreased lean body mass
Impact,Protein IMPACT,,let-7b-3p; miR-203-3p; let-7c-2-3p; let-7a-1-3p,increased fasting circulating glucose level
Ing5,Inhibitor of growth protein 5,,miR-25-3p; miR-672-3p; miR-92b-3p; miR-27a-3p; miR-486a-3p; miR-486b-3p; miR-27b-3p,impaired glucose tolerance
Ino80d,INO80 complex subunit D,,miR-881-3p; miR-3473f; miR-672-3p; miR-150-3p; miR-29a-3p; let-7b-3p; miR-204-3p; miR-143-3p; miR-222-3p; let-7c-2-3p; let-7f-2-3p; let-7a-1-3p; miR-532-3p; miR-221-3p; miR-205-3p; miR-27a-3p; miR-29c-3p; miR-741-3p; miR-1198-3p; miR-191-3p; miR-27b-3p; miR-211-3p,increased lean body mass
Inpp5a,Inositol polyphosphate-5-phosphatase A,Phosphatase,miR-142a-3p; miR-23b-3p; miR-23a-3p; miR-532-3p,increased total body fat amount
Insig1,Insulin-induced gene 1 protein,,miR-3470a; miR-25-3p; miR-92b-3p; miR-29a-3p; miR-203-3p; miR-29c-3p; miR-468-3p,impaired glucose tolerance
Ints12,Integrator complex subunit 12,,miR-330-3p,decreased lean body mass
Ipo11,Importin-11,,miR-30d-3p; miR-30b-3p; miR-30a-3p; miR-30e-3p,increased fasting circulating glucose level
Iqcb1,IQ calmodulin-binding motif-containing protein 1,,miR-532-3p,increased lean body mass
Iqsec3,IQ motif and SEC7 domain-containing protein 3,,miR-182-3p,increased total body fat amount; impaired glucose tolerance
Irak2,Interleukin-1 receptor-associated kinase-like 2,Kinase,miR-145a-3p; miR-468-3p,increased total body fat amount
Ism1,Isthmin-1,,miR-152-3p; miR-148a-3p; let-7f-2-3p; miR-148b-3p,decreased lean body mass; improved glucose tolerance
Itch,E3 ubiquitin-protein ligase Itchy,Enzyme,let-7b-3p; let-7c-2-3p; let-7a-1-3p; let-7f-2-3p; miR-27a-3p; miR-330-3p; miR-27b-3p,increased lean body mass
Itgae,Integrin alpha-E,,miR-211-3p,decreased lean body mass
Jakmip2,Janus kinase and microtubule interacting protein 2,,miR-30d-3p; miR-30a-3p; miR-30e-3p,increased circulating glucose level
Jmjd4,2-oxoglutarate and iron-dependent oxygenase JMJD4,Enzyme,miR-143-3p,increased lean body mass
Kat2b,Histone acetyltransferase KAT2B,Enzyme,miR-25-3p; miR-92b-3p; miR-743b-3p; miR-142a-3p; miR-27a-3p; miR-470-3p; miR-27b-3p; miR-330-3p,impaired glucose tolerance
Kbtbd8,Kelch repeat and BTB domain-containing protein 8,,miR-301a-3p; miR-23b-3p; miR-23a-3p; miR-130b-3p; miR-27a-3p; miR-677-3p; miR-27b-3p,increased total body fat amount
Kcnab2,Voltage-gated potassium channel subunit beta-2,Ion channel,miR-532-3p; miR-486a-3p; miR-486b-3p,increased total body fat amount
Kcnb1,Potassium voltage-gated channel subfamily B member 1,Ion channel,miR-3470b; miR-1291; miR-672-3p; miR-30d-3p; miR-93-3p; miR-29a-3p; miR-30a-3p; miR-30e-3p; miR-29c-3p,increased lean body mass
Kcne1,Potassium voltage-gated channel subfamily E member 1,Ion channel,miR-7222-3p; miR-743b-3p,increased lean body mass
Kcnn1,Small conductance calcium-activated potassium channel protein 1,Ion channel,miR-7222-3p,increased total body fat amount
Kctd7,BTB/POZ domain-containing protein KCTD7,Ion channel,miR-204-3p,increased fasting circulating glucose level
Kdm3a,Lysine-specific demethylase 3A,Transcription regulator,miR-192-3p; let-7f-2-3p; miR-27a-3p; miR-22-3p; miR-27b-3p,impaired glucose tolerance
Kdm4c,Lysine-specific demethylase 4C,Enzyme,let-7g-3p,increased lean body mass
Kif21b,Kinesin-like protein KIF21B,,let-7a-2-3p; miR-125b-2-3p,increased lean body mass
Kifap3,Kinesin-associated protein 3,,miR-25-3p; miR-3969; miR-3473e; miR-3473b; miR-92b-3p; miR-449a-3p,impaired glucose tolerance
Klhdc10,Kelch domain-containing protein 10,,miR-25-3p; miR-92b-3p; miR-708-3p,increased circulating glucose level
Klhdc2,Kelch domain-containing protein 2,,miR-3473f; let-7b-3p; miR-382-3p; miR-23b-3p; miR-23a-3p; let-7c-2-3p; let-7a-1-3p,increased total body fat amount
Klhl22,Kelch-like protein 22,,miR-935; miR-205-3p,decreased lean body mass
Klhl42,Kelch-like protein 42,Enzyme,miR-672-3p; miR-669e-3p,increased lean body mass
Kmt2a,Histone-lysine N-methyltransferase 2A,Enzyme,miR-871-3p; miR-34c-3p; miR-34b-3p; miR-672-3p; miR-152-3p; miR-30d-3p; miR-142a-3p; miR-148a-3p; miR-200a-3p; miR-374b-3p; miR-532-3p; miR-1934-3p; miR-148b-3p; miR-30a-3p; miR-30e-3p; miR-191-3p; miR-141-3p,increased lean body mass
Kmt2e,Inactive histone-lysine N-methyltransferase 2E,Enzyme,let-7b-3p; let-7g-3p; miR-206-3p; let-7c-2-3p; let-7a-1-3p; let-7f-2-3p; miR-100-3p; let-7a-2-3p,increased total body fat amount; increased circulating insulin level
Knstrn,Small kinetochore-associated protein,,miR-672-3p,increased fasting circulating glucose level
Kntc1,Kinetochore-associated protein 1,,miR-21b,increased fasting circulating glucose level
Krt75,"Keratin, type II cytoskeletal 75",,miR-935,increased total body fat amount
Ky,Kyphoscoliosis peptidase,,miR-29a-3p; miR-486a-3p; miR-29c-3p; miR-486b-3p; miR-669e-3p,increased circulating glucose level
Lamp5,Lysosome-associated membrane glycoprotein 5,,miR-125a-3p,increased fasting circulating glucose level
Laptm4a,Lysosomal-associated transmembrane protein 4A,,miR-301a-3p; let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-130b-3p; miR-125b-2-3p,increased fasting circulating glucose level
Larp4b,La-related protein 4B,,miR-672-3p; miR-93-3p; miR-29a-3p; let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-21b; miR-29c-3p,increased circulating insulin level
Lcp1,Plastin-2,,miR-145a-3p,increased fasting circulating glucose level
Lefty1,Left-right determination factor 1,,miR-330-3p,increased total body fat amount
Lepr,Leptin receptor gene-related protein,Transmembrane receptor,miR-669e-3p,increased total body fat amount; increased circulating glucose level
Leprot,Leptin receptor gene-related protein (Endospanin-1) (OB-R gene-related protein) (OB-RGRP),,miR-3470a,increased lean body mass
Letmd1,LETM1 domain-containing protein 1,,let-7f-2-3p,increased total body fat amount; increased fasting circulating glucose level
Lingo2,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2,,miR-1931; miR-192-3p; miR-142a-3p; miR-22-3p; miR-669e-3p,increased lean body mass
Lonrf2,LON peptidase N-terminal domain and ring finger 2,,miR-3968; miR-206-3p; miR-22-3p,impaired glucose tolerance
Lpar1,Lysophosphatidic acid receptor 1,G-protein coupled receptor,miR-3470b; miR-7222-3p; miR-200b-3p; miR-23b-3p; miR-200a-3p; miR-23a-3p; miR-200c-3p; miR-429-3p; miR-141-3p,improved glucose tolerance
Lpp,Lipoma-preferred partner homolog,,miR-3470a; miR-3473d; miR-743b-3p; miR-547-3p; miR-744-3p; miR-93-3p; miR-150-3p; miR-23b-3p; miR-204-3p; miR-23a-3p; miR-203-3p; miR-200a-3p; miR-96-3p; miR-532-3p; let-7f-2-3p; miR-21b; miR-141-3p,abnormal lean body mass
Lrrc41,Leucine-rich repeat-containing protein 41,,miR-7222-3p; miR-152-3p; miR-148a-3p; miR-148b-3p,increased lean body mass; increased circulating glucose level
Ly6g5b,Lymphocyte antigen 6 complex locus protein G5b,,miR-125a-3p,increased total body fat amount
Lyar,Cell growth-regulating nucleolar protein,,miR-1934-3p,impaired glucose tolerance
Lysmd1,LysM and putative peptidoglycan-binding domain-containing protein 1,,miR-3473e; miR-3473b; miR-743b-3p; miR-29a-3p; miR-29c-3p,increased total body fat amount
Macrod2,ADP-ribose glycohydrolase MACROD2,Enzyme,miR-330-3p,increased fasting circulating glucose level
Magi2,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2",Enzyme,miR-182-3p; let-7a-2-3p,increased body weight
Mamld1,Mastermind-like domain-containing protein 1,,miR-871-3p; miR-93-3p,increased total body fat amount
Map3k1,Mitogen-activated protein kinase kinase kinase 1,Kinase,miR-7222-3p; miR-3473f; miR-672-3p; miR-743b-3p; miR-547-3p; miR-200b-3p; miR-30d-3p; miR-23b-3p; miR-23a-3p; miR-200c-3p; miR-203-3p; miR-429-3p; miR-206-3p; miR-21b; miR-30a-3p; miR-30e-3p,increased lean body mass
Mapkapk2,MAP kinase-activated protein kinase 2,Kinase,miR-743b-3p,increased circulating glucose level
Mapkbp1,Mitogen-activated protein kinase-binding protein 1,,miR-29a-3p; miR-206-3p; miR-29c-3p,impaired glucose tolerance
Mapre3,Microtubule-associated protein RP/EB family member 3,Enzyme,miR-3473f; miR-743b-3p; miR-301a-3p; miR-130b-3p,increased total body fat amount
Mars2,"Methionine--tRNA ligase, mitochondrial",Enzyme,miR-3473d; miR-3969; miR-96-3p,increased total body fat amount
Mbd6,Methyl-CpG-binding domain protein 6,,miR-142a-3p; miR-203-3p,increased fasting circulating glucose level
Mboat7,Lysophospholipid acyltransferase 7,Enzyme,miR-200a-3p; miR-141-3p,decreased lean body mass
Mc3r,Melanocortin receptor 3,G-protein coupled receptor,miR-532-3p,increased total body fat amount
Mcidas,Multicilin,Transcription regulator,miR-3470b,decreased lean body mass
Mcmbp,Mini-chromosome maintenance complex-binding protein,,miR-547-3p; miR-150-3p; miR-470-3p,decreased lean body mass
Mcu,"Calcium uniporter protein, mitochondrial",Ion channel,let-7b-3p; let-7c-2-3p; let-7a-1-3p; let-7f-2-3p; miR-205-3p,increased total body fat amount; increased fasting circulating glucose level
Me1,NADP-dependent malic enzyme,Enzyme,miR-204-3p,improved glucose tolerance
Mecom,Histone-lysine N-methyltransferase MECOM,Transcription regulator,miR-3473f; miR-192-3p; miR-150-3p; let-7b-3p; miR-206-3p; let-7c-2-3p; let-7a-1-3p,increased lean body mass
Megf6,Multiple epidermal growth factor-like domains protein 6,,miR-29a-3p; miR-29c-3p,increased total body fat amount
Mettl6,tRNA N(3)-cytidine methyltransferase METTL6,Enzyme,miR-532-3p; miR-669e-3p,increased fasting circulating glucose level
Mfn2,Mitofusin-2,Enzyme,miR-486a-3p; miR-486b-3p,decreased lean body mass
Mfrp,Membrane frizzled-related protein,Transmembrane receptor,miR-382-3p; miR-204-3p,increased body weight
Mical2,[F-actin]-monooxygenase MICAL2,Enzyme,miR-203-3p,decreased lean body mass
Micu1,"Calcium uptake protein 1, mitochondrial",,miR-145a-3p,increased total body fat amount
Micu3,"Calcium uptake protein 3, mitochondrial",,miR-547-3p; miR-150-3p; miR-23b-3p; miR-23a-3p; miR-211-3p,increased lean body mass
Mid1,E3 ubiquitin-protein ligase Midline-1,,miR-96-3p; miR-1934-3p; miR-468-3p,increased lean body mass
Minar2,Major intrinsically disordered NOTCH2-binding receptor 1-like homolog,,miR-672-3p,increased total body fat amount
Mindy2,Ubiquitin carboxyl-terminal hydrolase MINDY-2,Transporter,miR-672-3p; miR-200b-3p; miR-30d-3p; miR-21a-3p; miR-183-3p; miR-200c-3p; miR-203-3p; miR-200a-3p; miR-429-3p; miR-205-3p; miR-21b; miR-30a-3p; miR-30e-3p; miR-211-3p; miR-141-3p,increased total body fat amount
Mlec,Malectin,,miR-152-3p; miR-148a-3p; miR-148b-3p; miR-330-3p,increased lean body mass
Mllt3,Protein AF-9,Transcription regulator,miR-871-3p; miR-3473f; miR-547-3p; miR-30d-3p; miR-204-3p; let-7g-3p; miR-30a-3p; miR-30e-3p; miR-211-3p,increased total body fat amount
Mmaa,"Methylmalonic aciduria type A homolog, mitochondrial",Enzyme,miR-21a-3p; miR-677-3p,increased total body fat amount; impaired glucose tolerance
Mmgt2,Membrane magnesium transporter 2,Transporter,miR-200b-3p; miR-200c-3p; miR-429-3p; miR-1198-3p,impaired glucose tolerance
Mocs2,Molybdopterin synthase catalytic subunit,Enzyme,let-7a-2-3p,increased fasting circulating glucose level
Mpdz,Multiple PDZ domain protein,,miR-200b-3p; miR-200c-3p; miR-203-3p; miR-143-3p; miR-429-3p,improved glucose tolerance
Mpzl2,Myelin protein zero-like protein 2,,miR-3473e; miR-3473b; miR-935,increased total body fat amount
Mrap2,Melanocortin-2 receptor accessory protein 2,,miR-200b-3p; miR-200c-3p; miR-429-3p,increased total body fat amount; impaired glucose tolerance; increased circulating insulin level
Mras,Ras-related protein M-Ras,Enzyme,miR-152-3p; miR-148a-3p; miR-148b-3p; miR-1198-3p,increased lean body mass
Msi2,RNA-binding protein Musashi homolog 2,,miR-3473f; miR-3473d; miR-672-3p; miR-152-3p; miR-21a-3p; miR-148a-3p; miR-143-3p; miR-30b-3p; miR-203-3p; let-7f-2-3p; miR-21b; miR-148b-3p; miR-708-3p,increased total body fat amount
Mta3,Metastasis-associated protein MTA3,Transcription regulator,miR-3535,increased body weight
Mtmr3,"Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR3",Phosphatase,miR-3473d; let-7g-3p; miR-330-3p; let-7a-2-3p,impaired glucose tolerance
Mturn,Maturin,,miR-27a-3p; miR-27b-3p,increased lean body mass
Myh1,Myosin-1,Enzyme,miR-23b-3p; miR-23a-3p; miR-532-3p,increased total body fat amount
Myh10,Myosin-10,Enzyme,miR-3473d; miR-142a-3p; miR-145a-3p; miR-200a-3p; miR-27a-3p; miR-141-3p; miR-27b-3p,increased fasting circulating glucose level
Myl3,Myosin light chain 3,,miR-7222-3p,increased lean body mass
Mylk4,Myosin light chain kinase family member 4,Kinase,miR-93-3p; miR-741-3p; miR-211-3p; miR-330-3p,increased total body fat amount
Myo6,Unconventional myosin-VI,,miR-881-3p; miR-743b-3p; miR-183-3p; miR-382-3p; miR-23b-3p; miR-143-3p; miR-203-3p; miR-23a-3p,increased lean body mass
Myo7a,Unconventional myosin-VIIa,Enzyme,let-7f-2-3p,increased lean body mass
Myoz1,Myozenin-1,,miR-21b,increased total body fat amount
