Gene,GeneName,Type,miRNA,Phenotypes
Cand1,Cullin-associated NEDD8-dissociated protein 1,Transcription regulator,miR-34c-3p; miR-34b-3p; miR-152-3p; miR-148a-3p; let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-148b-3p; miR-449a-3p,increased fasting circulating glucose level
Cand2,Cullin-associated NEDD8-dissociated protein 2,Transcription regulator,miR-3470a; miR-7222-3p; miR-182-3p,increased lean body mass
Car13,Carbonic anhydrase 13,,miR-206-3p; miR-669e-3p,impaired glucose tolerance
Cbx4,E3 SUMO-protein ligase CBX4,Transcription regulator,miR-200b-3p; miR-200c-3p; miR-429-3p,increased total body fat amount
Cbx6,Chromobox protein homolog 6,,miR-29a-3p; miR-145a-3p; miR-29c-3p,increased lean body mass
Ccdc116,Coiled-coil domain-containing protein 116,,miR-1291; miR-7222-3p; miR-3969,impaired glucose tolerance
Ccdc120,Coiled-coil domain-containing protein 120,,miR-871-3p; miR-547-3p; miR-150-3p,increased fasting circulating glucose level
Ccdc122,Coiled-coil domain-containing protein 122,,miR-743b-3p; miR-200a-3p; miR-141-3p,increased lean body mass
Ccdc127,Coiled-coil domain-containing protein 127,,miR-3473d; miR-672-3p; miR-93-3p; miR-30d-3p; miR-204-3p; miR-145a-3p; miR-23b-3p; miR-200a-3p; miR-23a-3p; miR-30a-3p; miR-30e-3p; miR-22-3p; miR-141-3p; miR-146b-3p,increased lean body mass
Ccdc25,Coiled-coil domain-containing protein 25,,miR-7241-3p; miR-93-3p; miR-222-3p; miR-221-3p,impaired glucose tolerance
Ccdc93,Coiled-coil domain-containing protein 93,,miR-204-3p; let-7g-3p,increased total body fat amount
Ccnd2,G1/S-specific cyclin-D2,,miR-7222-3p; miR-3969; miR-29a-3p; miR-486a-3p; miR-29c-3p; miR-486b-3p,increased lean body mass; impaired glucose tolerance
Ccr9,C-C chemokine receptor type 9,G-protein coupled receptor,miR-7222-3p; miR-29a-3p,impaired glucose tolerance
