Phenotype,Pathway,p-value (-log10),Genes
Glucose,Cardiac Hypertrophy Signaling (Enhanced),2.16,ADCY1;ADRA2A;AKAP13;AKT2;ATF2;ATP2A2;CACNA2D1;CACNB2;CAMK2B;FZD3;HSPB3;IFNAR1;NFAT5;NRAS
Insulin,ERBB Signaling,2.15,ELK1;PRKD1
Bodycomposition,Signaling by NOTCH1,2.13,DLK1;ITCH;NBEA;NCOR2;TLE4
Bodycomposition,SUMOylation of DNA damage response and repair proteins,2.13,CBX4;NUP205;NUP37;PIAS2;SMC6
Bodycomposition,HIPPO signaling,2.11,DLG2;ITCH;PPP2R2A;PPP2R5C;TEAD1
Glucose,Cellular Effects of Sildenafil (Viagra),2.1,ADCY1;ADGRF5;ADRA2A;AKT2;ATF2;ATP2A2;CACNA2D1;CACNB2;FZD3;GPR83;GRM3;LPAR1;MYH10;NFAT5;PPARG;PPP2R1B
Glucose,Pexophagy,2.1,NBR1;USP30
Insulin,Neuropathic Pain Signaling in Dorsal Horn Neurons,2.09,ELK1;PRKD1
Glucose,Opioid Signaling ,2.08,ADCY1;AKT2;AP2A1;ATF2;CACNA2D1;CACNB2;CAMK2B;CDKN1B;NRAS
Bodycomposition,Bone Mineralization Signaling ,2.06,FGF10;FZD3;PTH1R;RUNX2;SLC20A2;TCF7L2;VDR
Bodycomposition,BEX2 Signaling ,2.04,AKT2;NHLH2;PPP2R2A;PPP2R5C;TCF7L2
Insulin,α-Adrenergic Signaling,2.03,ADCY9;PRKD1
Glucose,Presynaptic depolarization and calcium channel opening,2.02,CACNA2D1;CACNB2
Glucose,Cell Cycle: G1/S Checkpoint Regulation,2,CCND2;CDKN1B;E2F3;RBL1
Insulin,Cholecystokinin/Gastrin-mediated Signaling,1.99,ELK1;PRKD1
Glucose,AMPK Signaling,1.96,ADRA2A;AKT2;ATF2;FOXO3;KAT2B;PFKFB2;PPP2R1B;RAB11A
Glucose,Cell Cycle Regulation by BTG Family Proteins,1.96,BTG2;E2F3;PPP2R1B
Insulin,Neuregulin Signaling,1.96,ELK1;PRKD1
Insulin,GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells,1.96,ADCY9;PRKD1
Bodycomposition,SUMOylation of intracellular receptors,1.95,PIAS2;PPARG;VDR
Glucose,Mitochondrial calcium ion transport,1.95,MCU;VDAC1
Glucose,Deubiquitination,1.95,KAT2B;MBD6;TNKS;USP12;USP15;USP30;USP47;VDAC1
Insulin,Cachexia Signaling ,1.93,ADCY9;LIPE;PRKD1
Bodycomposition,Neurexins and neuroligins,1.92,DLG2;DLGAP4;EPB41L5;SYT1
Glucose,Serotonin Receptor Signaling,1.92,ADCY1;ADRA2A;AKT2;ATF2;CACNA2D1;CACNB2;CAMK2B;FOXO3;MPDZ;NRAS;RBL1;TEAD1
Insulin,Gαs Signaling,1.91,ADCY9;ELK1
Insulin,14-3-3-mediated Signaling,1.91,ELK1;PRKD1
Glucose,Acyl Carrier Protein Metabolism,1.9,AASDHPPT
Bodycomposition,MyD88 dependent cascade initiated on endosome,1.87,IRAK2;MAP3K1;PELI1
Bodycomposition,Transcriptional regulation of brown and beige adipocyte differentiation,1.87,MTA1;NCOA1;PPARG
Bodycomposition,Gamma carboxylation; hypusinylation; hydroxylation; and arylsulfatase activation,1.87,ARSJ;F2;JMJD4;OGFOD1
Insulin,HGF Signaling,1.87,ELK1;PRKD1
Insulin,fMLP Signaling in Neutrophils,1.87,ELK1;PRKD1
Insulin,P2Y Purinergic Receptor Signaling ,1.87,ADCY9;PRKD1
Glucose,Vasopressin regulates renal water homeostasis via Aquaporins,1.84,ADCY1;GNGT2;RAB11A
Glucose,trans-Golgi Network Vesicle Budding,1.83,AP3S1;AP4E1;BLOC1S6;CPD
Glucose,Regulation of cholesterol biosynthesis by SREBP (SREBF),1.83,INSIG1;SEC24D
Glucose,YAP1- and WWTR1 (TAZ)-stimulated gene expression,1.83,KAT2B;TEAD1
Insulin,White Adipose Tissue Browning ,1.83,ADCY9;LIPE
Bodycomposition,Ceramide Signaling,1.81,AKT2;FOS;MAP3K1;PPP2R2A;PPP2R5C
Glucose,CREB Signaling in Neurons,1.8,ADCY1;ADGRF5;ADRA2A;AKT2;ATF2;CACNA2D1;CACNB2;CAMK2B;FZD3;GPR83;GRIK4;GRM3;LPAR1;NRAS
Insulin,Apelin Endothelial Signaling ,1.8,ADCY9;PRKD1
Bodycomposition,SUMOylation of chromatin organization proteins,1.79,CBX4;NUP205;NUP37;PIAS2
Bodycomposition,Glioma Signaling,1.79,AKT2;CAMK1;CAMK1D;CCND2;E2F3;PRKCH
Insulin,Dolichyl-diphosphooligosaccharide Biosynthesis,1.79,ALG2
Bodycomposition,CLEAR Signaling ,1.78,AKT2;ATP6V0B;BECN1;DEPDC5;NTRK2;PPP2R2A;PPP2R5C;PPP3CA;PRKCH;TFEB
Bodycomposition,SUMOylation of SUMOylation proteins,1.76,NUP205;NUP37;TOPORS
Bodycomposition,Mitochondrial Division Signaling ,1.76,CACNA2D2;CAMK1;FADD;MCU;PPP2R2A;PPP2R5C;PPP3CA
Glucose,Mitochondrial Division Signaling ,1.76,CACNA2D1;CACNB2;CAMK2B;MCU;NRAS;PPP2R1B
Insulin,eNOS Signaling,1.76,ADCY9;PRKD1
Glucose,Retinoic acid Mediated Apoptosis Signaling,1.75,IFNAR1;PARP1;TNKS
Insulin,Relaxin Signaling,1.74,ADCY9;ELK1
Glucose,Autophagy,1.73,AKT2;ARL8B;ATF2;BNIP3;CDKN1B;FOXO3;PPP2R1B
Glucose,FOXO-mediated transcription of cell cycle genes,1.73,CDKN1B;FOXO3
Glucose,Synaptic Long Term Potentiation,1.72,ADCY1;ATF2;CAMK2B;GRM3;NRAS
Glucose,Cardiac β-adrenergic Signaling,1.72,ADCY1;AKAP13;ATP2A2;CACNA2D1;CACNB2;PPP2R1B
