Gene,Gene Name,Phenotype,Parameter
Mcidas,Multicilin,decreased lean body mass,Lean mass
Megf6,Multiple epidermal growth factor-like domains protein 6,increased total body fat amount,Fat mass
Myc,Myc proto-oncogene protein,increased total body fat amount,Fat mass
Mpzl2,Myelin protein zero-like protein 2,increased total body fat amount,Fat mass
Myl3,Myosin light chain 3,increased lean body mass,Lean/Body weight
Mylk4,Myosin light chain kinase family member 4,increased total body fat amount,Fat/Body weight
Myl2,"Myosin regulatory light chain 2, ventricular/cardiac muscle isoform",increased total body fat amount,Fat mass
Myh1,Myosin-1,increased total body fat amount,Fat mass
Myoz1,Myozenin-1,increased total body fat amount,Fat mass
Nans,N-acetylneuraminate-9-phosphate synthase,increased total body fat amount,Fat/Body weight
Esco1,N-acetyltransferase ESCO1,increased lean body mass,Lean Mass
Nadk,NAD kinase,increased lean body mass,Lean mass
Ndufaf6,NADH dehydrogenase,increased body weight,Body Weight
Ndufa10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",increased total body fat amount,Fat/Body weight
Ndufs3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",increased lean body mass,Lean Mass
Naa10,N-alpha-acetyltransferase 10,increased lean body mass,Lean/Body weight
Chn1,N-chimaerin,increased lean body mass,Lean/Body weight
Syne2,Nesprin-2,increased lean body mass,Lean mass
Neurl4,Neuralized-like protein 4,increased lean body mass,Lean/Body weight
Nrxn1,Neurexin-1-beta,increased lean body mass,Lean mass
Nrxn2,Neurexin-2-beta,increased lean body mass,Lean/Body weight
Nexmif,Neurite extension and migration factor,increased total body fat amount,Fat/Body weight
Nbea,Neurobeachin,increased total body fat amount,Fat mass
Scg5,Neuroendocrine protein 7B2,increased lean body mass,Lean mass
Tacr3,Neuromedin-K receptor,increased total body fat amount,Fat/Body weight
Chrnb2,Neuronal acetylcholine receptor subunit beta-2,increased total body fat amount,Fat/Body weight
Npy5r,Neuropeptide Y receptor type 5,increased total body fat amount,Fat mass
Ninj2,Ninjurin-2,increased lean body mass,Lean/Body weight
Hmgn1,Non-histone chromosomal protein HMG-14,increased total body fat amount,Fat mass
Ncbp3,Nuclear cap-binding protein subunit 3,increased total body fat amount,Fat mass
Cnep1r1,Nuclear envelope phosphatase-regulatory subunit 1,decreased lean body mass,Lean/Body weight
Ncoa1,Nuclear receptor coactivator 1,increased lean body mass,Lean/Body weight
Tram1,Nuclear receptor coactivator 3,increased total body fat amount,Fat mass
Ncor2,Nuclear receptor corepressor 2,increased lean body mass,Lean/Body weight
Nfya,Nuclear transcription factor Y subunit alpha,increased lean body mass,Lean Mass
Nucks1,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,increased lean body mass,Lean mass
Tial1,Nucleolysin TIAR,increased lean body mass,Lean mass
Nup37,Nucleoporin Nup37,increased lean body mass,Lean/Body weight
Nxnl2,Nucleoredoxin-like protein 2,decreased lean body mass,Lean/Body weight
Nudt6,Nucleoside diphosphate-linked moiety X motif 6,increased lean body mass,Lean/Body weight
Nutm1,NUT family member 1,increased lean body mass,Lean/Body weight
Slc51b,Organic solute transporter subunit beta,increased lean body mass,Lean/Body weight
Orc1,Origin recognition complex subunit 1,increased lean body mass,Lean mass
Otud3,OTU domain-containing protein 3,increased lean body mass,Lean mass
Oaf,Out at first protein homolog,increased lean body mass,Lean/Body weight
Cd200,OX-2 membrane glycoprotein,increased total body fat amount,Fat mass
Fahd2a,"Oxaloacetate tautomerase Fahd2a, mitochondrial",increased lean body mass,Lean Mass
Osbpl11,Oxysterol-binding protein-related protein 11,increased total body fat amount,Fat/Body weight
Osbpl3,Oxysterol-binding protein-related protein 3,increased lean body mass,Lean mass
P2ry14,P2Y purinoceptor 14,increased total body fat amount,Fat/Body weight
Trip13,Pachytene checkpoint protein 2 homolog,increased total body fat amount,Fat/Body weight
Cpt1c,Palmitoyl thioesterase CPT1C,increased total body fat amount,Fat mass
Zdhhc16,Palmitoyltransferase ZDHHC16,decreased lean body mass,Lean/Body weight
Zdhhc19,Palmitoyltransferase ZDHHC19,increased total body fat amount,Fat/Body weight
Pth1r,Parathyroid hormone/parathyroid hormone-related peptide receptor,increased total body fat amount,Fat/Body weight
Ptchd1,Patched domain-containing protein 1,increased lean body mass,Lean mass
Pdzd8,PDZ domain-containing protein 8,increased lean body mass,Lean/Body weight
Fkbp5,Peptidyl-prolyl cis-trans isomerase FKBP5,increased lean body mass,Lean mass
Pcm1,Pericentriolar material 1 protein,decreased lean body mass,Lean mass
Per2,Period circadian protein homolog 2,increased lean body mass,Lean/Body weight
Pex3,Peroxisomal biogenesis factor 3,increased lean body mass,Lean Mass
Pparg,Peroxisome proliferator-activated receptor gamma,increased total body fat amount,Fat/Body weight
Phlpp1,PH domain leucine-rich repeat-containing protein phosphatase 1,decreased lean body mass,Lean mass
Phf20l1,PHD finger protein 20-like protein 1,increased lean body mass,Lean/Body weight
Phf5a,PHD finger-like domain-containing protein 5A,increased lean body mass,Lean/Body weight
Sgms1,Phosphatidylcholine:ceramide cholinephosphotransferase 1,increased lean body mass,Lean/Body weight
Mtmr1,Phosphatidylinositol-3-phosphate phosphatase MTMR1,increased total body fat amount,Fat mass
Pigf,Phosphatidylinositol-glycan biosynthesis class F protein,increased total body fat amount,Fat/Body weight
Gpld1,Phosphatidylinositol-glycan-specific phospholipase D,increased lean body mass,Lean/Body weight
Abhd16a,Phosphatidylserine lipase ABHD16A,increased lean body mass,Lean/Body weight
Pacs2,Phosphofurin acidic cluster sorting protein 2,increased total body fat amount,Fat mass
Plb1,"Phospholipase B1, membrane-associated",increased lean body mass,Lean/Body weight
Ddhd1,Phospholipase DDHD1,increased lean body mass,Lean mass
Atp8b1,Phospholipid-transporting ATPase IC,increased lean body mass,Lean/Body weight
Phkb,Phosphorylase b kinase regulatory subunit beta,increased total body fat amount,Fat/Body weight
Pgbd5,PiggyBac transposable element-derived protein 5,increased total body fat amount,Fat mass
Pttg1ip,Pituitary tumor-transforming gene 1 protein-interacting protein,increased total body fat amount,Fat mass
Plac9,Placenta-specific protein 9,increased total body fat amount,Fat mass
Peds1,Plasmanylethanolamine desaturase 1,decreased lean body mass,Lean mass
Pdgfc,Platelet-derived growth factor C,abnormal lean body mass,Lean mass NMR
Plekhm2,Pleckstrin homology domain-containing family M member 2,increased lean body mass,Lean/Body weight
Plxnb2,Plexin-B2,increased lean body mass,Lean Mass
Tnks,Poly [ADP-ribose] polymerase tankyrase-1,increased lean body mass,Lean/Body weight
Papola,Poly(A) polymerase alpha,decreased lean body mass,Lean mass
Ttll1,Polyglutamylase complex subunit TTLL1,increased total body fat amount,Fat mass
Galnt18,Polypeptide N-acetylgalactosaminyltransferase 18,increased lean body mass,Lean/Body weight
Kcnb1,Potassium voltage-gated channel subfamily B member 1,increased lean body mass,Lean/Body weight
Kcne1,Potassium voltage-gated channel subfamily E member 1,increased lean body mass,Lean/Body weight
Prdm10,PR domain zinc finger protein 10,increased lean body mass,Lean mass
Prdm14,PR domain zinc finger protein 14,increased total body fat amount,Fat mass
Prdm4,PR domain zinc finger protein 4,increased lean body mass,Lean/Body weight
Pbx3,Pre-B-cell leukemia transcription factor 3,increased total body fat amount,Fat mass
Pfdn5,Prefoldin subunit 5,increased total body fat amount,Fat mass
Prelid2,PRELI domain-containing protein 2,increased lean body mass,Lean/Body weight
Rbm22,Pre-mRNA-splicing factor RBM22,increased lean body mass,Lean/Body weight
Pcyox1l,Prenylcysteine oxidase 1-like,increased total body fat amount,Fat/Body weight
Dhx40,Probable ATP-dependent RNA helicase DHX40,increased total body fat amount,Fat mass
Mettl24,Probable methyltransferase-like protein 24,increased lean body mass,Lean mass
Eif1ad,Probable RNA-binding protein EIF1AD,decreased lean body mass,Lean/Body weight
Penk,Proenkephalin-A [Cleaved into: Synenkephalin; Met-enkephalin,increased total body fat amount,Fat mass
Pdcd6ip,Programmed cell death 6-interacting protein,abnormal lean body mass,Lean mass NMR
Prr5,Proline-rich protein 5,increased total body fat amount,Fat mass
P3h1,Prolyl 3-hydroxylase 1,increased total body fat amount,Fat mass
Ogfod1,Prolyl 3-hydroxylase OGFOD1,increased lean body mass,Lean Mass
Pcsk5,Proprotein convertase subtilisin/kexin type 5,increased lean body mass,Lean mass
Ptgr1,Prostaglandin reductase 1,increased total body fat amount,Fat mass
Abhd8,Protein ABHD8,increased total body fat amount,Fat mass
Mllt3,Protein AF-9,increased total body fat amount,Fat/Body weight
Prmt7,Protein arginine N-methyltransferase 7,increased total body fat amount,Fat Mass
Fos,Protein c-Fos,increased total body fat amount,Fat mass
Dlk1,Protein delta homolog 1,increased total body fat amount,Fat mass
Pdia6,Protein disulfide-isomerase A6,increased total body fat amount,Fat/Body weight
Dop1b,Protein DOP1B,increased lean body mass,Lean mass
Efr3b,Protein EFR3 homolog B,increased lean body mass,Lean/Body weight
Fam117b,Protein FAM117B,increased lean body mass,Lean mass
Fam161a,Protein FAM161A,increased lean body mass,Lean mass
Fam163a,Protein FAM163A,increased lean body mass,Lean/Body weight
Ilrun,Protein ILRUN,decreased lean body mass,Lean mass
Kash5,Protein KASH5,increased total body fat amount,Fat mass
Pacsin2,Protein kinase C and casein kinase substrate in neurons protein 2,increased lean body mass,Lean mass
Prkch,Protein kinase C eta type,increased lean body mass,Lean/Body weight
Kti12,Protein KTI12 homolog,increased total body fat amount,Fat/Body weight
Natd1,increased lean body mass,Lean/Body weight,
Tmem260,Protein O-mannosyl-transferase TMEM260,increased lean body mass,Lean/Body weight
Pals2,Protein PALS2,increased total body fat amount,Fat/Body weight
Ppp3ca,Protein phosphatase 3 catalytic subunit alpha,increased body weight,Body Weight
Ssh2,Protein phosphatase Slingshot homolog 2,increased lean body mass,Lean/Body weight
Prc1,Protein regulator of cytokinesis 1,increased total body fat amount,Fat mass
Shisa7,Protein shisa-7,increased lean body mass,Lean/Body weight
Spns1,Protein spinster homolog 1,increased total body fat amount,Fat mass
Tex261,Protein TEX261,increased lean body mass,Lean/Body weight
Sec23a,Protein transport protein Sec23A,increased lean body mass,Lean Mass
Ptp4a2,Protein tyrosine phosphatase type IVA 2,increased total body fat amount,Fat mass
Ypel4,Protein yippee-like 4,increased total body fat amount,Fat mass
Padi3,Protein-arginine deiminase type-3,increased total body fat amount,Fat/Body weight
Hhatl,Protein-cysteine N-palmitoyltransferase HHAT-like protein,increased total body fat amount,Fat mass
Smyd5,Protein-lysine N-trimethyltransferase SMYD5,increased lean body mass,Lean/Body weight
F2,Prothrombin,increased total body fat amount,Fat mass
Pcdh18,Protocadherin 18,increased lean body mass,Lean/Body weight
Pus7l,Pseudouridylate synthase PUS7L,increased lean body mass,Lean Mass
Gpr65,Psychosine receptor,increased lean body mass,Lean mass
Pum2,Pumilio homolog 2,increased lean body mass,Lean/Body weight
Npepps,Puromycin-sensitive aminopeptidase,increased lean body mass,Lean/Body weight
Tatdn3,Putative deoxyribonuclease TATDN3,increased total body fat amount,Fat mass
Pxk,PX domain-containing protein kinase-like protein,increased total body fat amount,Fat mass
Pcx,"Pyruvate carboxylase, mitochondrial",increased total body fat amount,Fat/Body weight
Rab3ip,Rab-3A-interacting protein,increased lean body mass,Lean/Body weight
Rabl2,Rab-like protein 2A,increased total body fat amount,Fat/Body weight
Rabl6,Rab-like protein 6,increased lean body mass,Lean mass
Akt2,RAC-beta serine/threonine-protein kinase,increased lean body mass,Lean/Body weight
Rsu1,Ras suppressor protein 1,increased total body fat amount,Fat/Body weight
Mras,Ras-related protein M-Ras,increased lean body mass,Lean/Body weight
Rab23,Ras-related protein Rab-23,decreased lean body mass,Lean/Body weight
Rab28,Ras-related protein Rab-28,increased total body fat amount,Fat mass
Rab8a,Ras-related protein Rab-8A,decreased lean body mass,Lean/Body weight
Rreb1,Ras-responsive element-binding protein 1,increased lean body mass,Lean mass
Rasgrf1,Ras-specific guanine nucleotide-releasing factor 1,increased lean body mass,Lean/Body weight
Flt3,Receptor-type tyrosine-protein kinase FLT3,decreased lean body mass,Lean mass
Ptprd,Receptor-type tyrosine-protein phosphatase delta,increased lean body mass,Lean/Body weight
Rln3,Relaxin-3,increased total body fat amount,Fat/Body weight
Retreg3,Reticulophagy regulator 3,increased lean body mass,Lean/Body weight
Rlbp1,Retinaldehyde-binding protein 1,increased lean body mass,Lean/Body weight
Arhgap21,Rho GTPase-activating protein 21,increased total body fat amount,Fat/Body weight
Arhgef10l,Rho guanine nucleotide exchange factor 10-like protein,increased lean body mass,Lean mass
Arhgef4,Rho guanine nucleotide exchange factor 4,increased lean body mass,Lean Mass
Rhbdd1,Rhomboid-related protein 4,decreased lean body mass,Lean mass
Rrbp1,Ribosome-binding protein 1,increased lean body mass,Lean/Body weight
Rbms1,"RNA-binding motif, single-stranded-interacting protein 1",decreased lean body mass,Lean mass
Rbm45,RNA-binding protein 45,increased total body fat amount,Fat mass
Msi2,RNA-binding protein Musashi homolog 2,increased total body fat amount,Fat mass
Rbpms2,RNA-binding protein with multiple splicing 2,increased total body fat amount,Fat/Body weight
Rspo1,R-spondin-1,increased lean body mass,Lean/Body weight
Rufy1,RUN and FYVE domain-containing protein 1,decreased lean body mass,Lean/Body weight
Runx2,Runt-related transcription factor 2,increased lean body mass,Lean/Body weight
Rwdd1,RWD domain-containing protein 1,increased total body fat amount,Fat mass
Rwdd2a,RWD domain-containing protein 2A,decreased lean body mass,Lean/Body weight
Sag,S-arrestin,increased lean body mass,Lean mass
Sfrp1,Secreted frizzled-related protein 1,increased total body fat amount,Fat mass
Sfrp2,Secreted frizzled-related protein 2,decreased lean body mass,Lean mass
Scamp5,Secretory carrier-associated membrane protein 5,increased lean body mass,Lean/Body weight
Bscl2,Seipin,increased lean body mass,Lean/Body weight
Secisbp2l,Selenocysteine insertion sequence-binding protein 2-like,increased lean body mass,Lean/Body weight
Selenok,Selenoprotein K,increased total body fat amount,Fat mass
Sema4d,Semaphorin-4D,increased total body fat amount,Fat/Body weight
Prss48,Serine protease 48,decreased lean body mass,Lean mass
Dclk2,Serine/threonine-protein kinase DCLK2,increased lean body mass,Lean mass
Pkn1,Serine/threonine-protein kinase N1,increased total body fat amount,Fat mass
Pak1,Serine/threonine-protein kinase PAK 1,increased total body fat amount,Fat mass
Sik1,Serine/threonine-protein kinase SIK1,increased lean body mass,Lean/Body weight
Sik3,Serine/threonine-protein kinase SIK3,increased lean body mass,Lean/Body weight
Ppp2r2a,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,decreased lean body mass,Lean mass
Ppp2r5c,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform,increased total body fat amount,Fat/Body weight
Ppp5c,Serine/threonine-protein phosphatase 5,increased lean body mass,Lean/Body weight
Trf,Serotransferrin,increased total body fat amount,Fat mass
Sesn3,Sestrin-3,increased lean body mass,Lean Mass
Shtn1,Shootin-1,decreased lean body mass,Lean/Body weight
Trpc3,Short transient receptor potential channel 3,increased lean body mass,Lean/Body weight
Ssbp2,Single-stranded DNA-binding protein 2,increased lean body mass,Lean/Body weight
Dscc1,Sister chromatid cohesion protein DCC1,increased lean body mass,Lean Mass
Smagp,Small cell adhesion glycoprotein,increased lean body mass,Lean mass
Kcnn1,Small conductance calcium-activated potassium channel protein 1,increased total body fat amount,Fat mass
Mrps22,Small ribosomal subunit protein mS22,increased total body fat amount,Fat/Body weight
Mrps35,Small ribosomal subunit protein mS35,increased total body fat amount,Fat mass
Scn11a,Sodium channel protein type 11 subunit alpha,decreased lean body mass,Lean mass
Slc24a3,Sodium/potassium/calcium exchanger 3,increased lean body mass,Lean/Body weight
Slc20a2,Sodium-dependent phosphate transporter 2,increased total body fat amount,Fat/Body weight
Gda,Solute carrier family 25 member 16,increased lean body mass,Lean mass
Ghrh,Somatoliberin,increased total body fat amount,Fat mass
Sst,Somatostatin [Cleaved into: Antrin; Somatostatin-28; Somatostatin-14; Neuronostatin,increased total body fat amount,Fat mass
Gh,Somatotropin,increased total body fat amount,Fat/Body weight
Shh,Sonic hedgehog protein,increased total body fat amount,Fat/Body weight
Spg11,Spatacsin,increased total body fat amount,Fat mass
Izumo1r,Sperm-egg fusion protein Juno,increased lean body mass,Lean mass
Stard3nl,STARD3 N-terminal-like protein,increased total body fat amount,Fat mass
Stard5,StAR-related lipid transfer protein 5,increased lean body mass,Lean Mass
Cyp17a1,"Steroid 17-alpha-hydroxylase/17,20 lyase",increased total body fat amount,Fat/Body weight
Cyp27a1,"Sterol 26-hydroxylase, mitochondrial",increased lean body mass,Lean/Body weight
Stim2,Stromal interaction molecule 2,increased lean body mass,Lean mass
Smc6,Structural maintenance of chromosomes protein 6,increased total body fat amount,Fat/Body weight
Sdhc,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial",increased body weight,Body Weight
Sun1,SUN domain-containing protein 1,increased total body fat amount,Fat mass
Sun2,SUN domain-containing protein 2,decreased lean body mass,Lean/Body weight
Skic8,Superkiller complex protein 8,increased total body fat amount,Fat/Body weight
Syce2,Synaptonemal complex central element protein 2,increased total body fat amount,Fat/Body weight
Snap29,Synaptosomal-associated protein 29,increased lean body mass,Lean Mass
Snap47,Synaptosomal-associated protein 47,decreased lean body mass,Lean/Body weight
Syt1,Synaptotagmin-1,decreased lean body mass,Lean/Body weight
Stx16,Syntaxin-16,increased lean body mass,Lean mass
Ttbk1,Tau-tubulin kinase 2,increased lean body mass,Lean/Body weight
Tbc1d2b,TBC1 domain family member 2B,increased lean body mass,Lean mass
Tekt1,Tektin-1,increased total body fat amount,Fat mass
Wrap53,Telomerase Cajal body protein 1,increased lean body mass,Lean mass
Telo2,Telomere length regulation protein TEL2 homolog,increased total body fat amount,Fat mass
Tenm4,Teneurin-4,decreased lean body mass,Lean mass
Tsga13,Testis-specific gene 13 protein,decreased lean body mass,Lean/Body weight
Tspan13,Tetraspanin-13,increased total body fat amount,Fat/Body weight
Tspan9,Tetraspanin-9,increased total body fat amount,Fat mass
Ttc7,Tetratricopeptide repeat protein 7A,increased total body fat amount,Fat/Body weight
Txnip,Thioredoxin-interacting protein,increased total body fat amount,Fat mass
Thoc1,THO complex subunit 1,increased total body fat amount,Fat/Body weight
Trex1,Three-prime repair exonuclease 1,increased lean body mass,Lean mass
Tars3,"Threonine--tRNA ligase 2, cytoplasmic",increased lean body mass,Lean/Body weight
Thsd7a,"Thrombospondin type-1 domain-containing protein 7A [Cleaved into: Thrombospondin type-1 domain-containing protein 7A, soluble form]",decreased lean body mass,Lean mass
Trappc10,Trafficking protein particle complex subunit 10,increased total body fat amount,Fat/Body weight
Trappc9,Trafficking protein particle complex subunit 9,increased total body fat amount,Fat/Body weight
Tifab,TRAF-interacting protein with FHA domain-containing protein B,increased lean body mass,Lean/Body weight
Tceal1,Transcription elongation factor A protein-like 1,increased total body fat amount,Fat mass
Tcf20,Transcription factor 20,increased total body fat amount,Fat/Body weight
Tcf7l2,Transcription factor 7-like 2,increased lean body mass,Lean/Body weight
E2f3,Transcription factor E2F3,increased total body fat amount,Fat mass
Tfeb,Transcription factor EB,increased total body fat amount,Fat mass
Ahdc1,Transcription factor Gibbin,increased total body fat amount,Fat/Body weight
Sox21,Transcription factor SOX-10,increased lean body mass,Lean/Body weight
Gtf2a1,Transcription initiation factor IIA subunit 1,increased total body fat amount,Fat mass
Taf5,Transcription initiation factor TFIID subunit 5,increased total body fat amount,Fat/Body weight
Tead1,Transcriptional enhancer factor TEF-1,increased total body fat amount,Fat mass
Swt1,Transcriptional protein SWT1,increased total body fat amount,Fat/Body weight
Tle4,Transducin-like enhancer protein 4,increased total body fat amount,Fat/Body weight
Trpa1,Transient receptor potential cation channel subfamily A member 1,increased total body fat amount,Fat mass
Tm9sf1,Transmembrane 9 superfamily member 1,increased total body fat amount,Fat/Body weight
Tmco6,Transmembrane and coiled-coil domain-containing protein 6,increased total body fat amount,Fat mass
Cyb561,Transmembrane ascorbate-dependent reductase CYB561,increased total body fat amount,Fat mass
Tmc6,Transmembrane channel-like protein 6,increased lean body mass,Lean Mass
Tmem108,Transmembrane protein 108,increased total body fat amount,Fat mass
Tmem115,Transmembrane protein 115,increased lean body mass,Lean/Body weight
Tmem132a,Transmembrane protein 132A,increased total body fat amount,Fat mass
Tmem161b,Transmembrane protein 161B,increased total body fat amount,Fat/Body weight
Tmem163,Transmembrane protein 163,increased total body fat amount,Fat/Body weight
Tmem248,Transmembrane protein 248,increased lean body mass,Lean/Body weight
Tmem42,Transmembrane protein 42,increased lean body mass,Lean mass
Tmem72,Transmembrane protein 72,increased lean body mass,Lean/Body weight
Tmem9b,Transmembrane protein 9B,increased total body fat amount,Fat mass
Tff1,Trefoil factor 1,increased lean body mass,Lean/Body weight
Trim10,Tripartite motif-containing protein 10,increased total body fat amount,Fat mass
Trim29,Tripartite motif-containing protein 29,increased lean body mass,Lean mass
Dus2,tRNA-dihydrouridine(20) synthase [NAD(P)+]-like,increased lean body mass,Lean/Body weight
Tulp3,Tubby-related protein 3,increased total body fat amount,Fat mass
Nudt16l1,Tudor-interacting repair regulator protein,increased total body fat amount,Fat mass
Tnfsf18,Tumor necrosis factor ligand superfamily member 18,decreased lean body mass,Lean/Body weight
Tusc1,Tumor suppressor candidate gene 1 protein homolog,increased total body fat amount,Fat/Body weight
Twf1,Twinfilin-1,increased lean body mass,Lean Mass
Twist1,Twist-related protein 1,increased lean body mass,Lean/Body weight
Tat,Tyrosine aminotransferase,increased lean body mass,Lean/Body weight
Syk,Tyrosine-protein kinase SYK,increased total body fat amount,Fat/Body weight
Ptpn14,Tyrosine-protein phosphatase non-receptor type 14,increased lean body mass,Lean/Body weight
Prpf31,U4/U6 small nuclear ribonucleoprotein Prp31,increased total body fat amount,Fat/Body weight
Fyttd1,UAP56-interacting factor,increased total body fat amount,Fat mass
Usp12,Ubiquitin carboxyl-terminal hydrolase 12,increased total body fat amount,Fat mass
Usp13,Ubiquitin carboxyl-terminal hydrolase 13,increased total body fat amount,Fat/Body weight
Usp15,Ubiquitin carboxyl-terminal hydrolase 15,increased lean body mass,Lean/Body weight
Usp19,Ubiquitin carboxyl-terminal hydrolase 19,increased lean body mass,Lean/Body weight
Usp22,Ubiquitin carboxyl-terminal hydrolase 22,increased lean body mass,Lean mass
Usp38,Ubiquitin carboxyl-terminal hydrolase 38,increased total body fat amount,Fat/Body weight
Usp40,Ubiquitin carboxyl-terminal hydrolase 40,increased total body fat amount,Fat/Body weight
Usp42,Ubiquitin carboxyl-terminal hydrolase 42,increased total body fat amount,Fat Mass
Mindy2,Ubiquitin carboxyl-terminal hydrolase MINDY-2,increased total body fat amount,Fat mass
Ube4a,Ubiquitin conjugation factor E4 A,increased total body fat amount,Fat mass
Zranb1,Ubiquitin thioesterase Zranb1,increased lean body mass,Lean mass
Ube2d3,Ubiquitin-conjugating enzyme E2 D3,decreased lean body mass,Lean/Body weight
Ube2j1,Ubiquitin-conjugating enzyme E2 J1,increased total body fat amount,Fat mass
Ube2j2,Ubiquitin-conjugating enzyme E2 J2,increased total body fat amount,Fat mass
Ufm1,Ubiquitin-fold modifier 1,increased total body fat amount,Fat/Body weight
Ube3a,Ubiquitin-protein ligase E3A,increased total body fat amount,Fat/Body weight
Ube3c,Ubiquitin-protein ligase E3C,increased total body fat amount,Fat mass
Alg13,UDP-N-acetylglucosamine transferase subunit ALG13,increased total body fat amount,Fat/Body weight
Cmpk2,"UMP-CMP kinase 2, mitochondrial",increased total body fat amount,Fat/Body weight
Gm94,Uncharacterized protein C5orf46 homolog,increased total body fat amount,Fat/Body weight
Myo6,Unconventional myosin-VI,increased lean body mass,Lean/Body weight
Myo7a,Unconventional myosin-VIIa,increased lean body mass,Lean/Body weight
Myo15a,Unconventional myosin-XV,increased total body fat amount,Fat mass
Vps25,Vacuolar protein-sorting-associated protein 25,increased total body fat amount,Fat mass
Elovl5,Very long chain fatty acid elongase 5,increased total body fat amount,Fat mass
Vil1,Villin-1,increased lean body mass,Lean/Body weight
Vdr,Vitamin D3 receptor,increased lean body mass,Lean/Body weight
Vkorc1l1,Vitamin K epoxide reductase complex subunit 1-like protein 1,increased lean body mass,Lean/Body weight
Cacna2d2,Voltage-dependent calcium channel subunit alpha-2/delta-2,increased lean body mass,Lean mass
Kcnab2,Voltage-gated potassium channel subunit beta-2,increased total body fat amount,Fat/Body weight
Atp6v0b,V-type proton ATPase 21 kDa proteolipid subunit c'',increased total body fat amount,Fat/Body weight
Atp6v1d,V-type proton ATPase subunit D,increased lean body mass,Lean mass
Xbp1,X-box-binding protein 1,increased body weight,Body Weight
Xrcc5,X-ray repair cross-complementing protein 5,decreased lean body mass,Lean/Body weight
Xxylt1,Xyloside xylosyltransferase 1,increased total body fat amount,Fat/Body weight
Xylb,Xylulose kinase,increased total body fat amount,Fat mass
Slc7a7,Y+L amino acid transporter 1,increased lean body mass,Lean/Body weight
Ylpm1,YLP motif-containing protein 1,increased total body fat amount,Fat/Body weight
Zbtb43,Zinc finger and BTB domain-containing protein 43,increased lean body mass,Lean/Body weight
Zbtb45,Zinc finger and BTB domain-containing protein 45,increased total body fat amount,Fat mass
Zbtb48,Zinc finger and BTB domain-containing protein 48,increased total body fat amount,Fat mass
Zc3hc1,Zinc finger C3HC-type protein 1,increased total body fat amount,Fat Mass
Zcchc2,Zinc finger CCHC domain-containing protein 2,increased total body fat amount,Fat/Body weight
Zmym2,Zinc finger MYM-type protein 2,increased total body fat amount,Fat mass
Zfp462,Zinc finger protein 462,increased total body fat amount,Fat/Body weight
Zfp593,Zinc finger protein 593,increased total body fat amount,Fat/Body weight
Zfp629,Zinc finger protein 629,increased total body fat amount,Fat mass
Zfp746,Zinc finger protein 746,increased total body fat amount,Fat/Body weight
Zfp92,Zinc finger protein 92,increased total body fat amount,Fat/Body weight
Gfi1b,Zinc finger protein Gfi-1b,increased total body fat amount,Fat/Body weight
Dpf1,Zinc finger protein neuro-d4,increased lean body mass,Lean/Body weight
Zswim1,Zinc finger SWIM domain-containing protein 1,increased lean body mass,Lean/Body weight
Zhx3,Zinc fingers and homeoboxes protein 3,increased lean body mass,Lean mass
Slc30a7,Zinc transporter 7,increased total body fat amount,Fat mass
Herc1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,increased total body fat amount,Fat/Body weight
Mir129-2,#NV,increased total body fat amount,Fat mass
Fam81b,"Family with sequence similarity 81, member B",increased total body fat amount,Fat/Body weight
2210408I21Rik,RIKEN cDNA 2210408I21 gene,increased total body fat amount,Fat/Body weight
Heca,"Hdc homolog, cell cycle regulator",increased total body fat amount,Fat mass
Lce1f,Late cornified envelope 1F,increased total body fat amount,Fat/Body weight
Tox2,TOX high mobility group box family member 2,increased total body fat amount,Fat/Body weight
Gemin4,Gem-associated protein 4,increased total body fat amount,Fat mass
1700008P02Rik,Uncharacterized protein,increased total body fat amount,Fat/Body weight
Prob1,Proline rich basic protein 1,increased total body fat amount,Fat mass
Zfp202,Zinc finger protein 202,increased total body fat amount,Fat mass
AU040320,Expressed sequence AU040320,increased total body fat amount,Fat/Body weight
F730043M19Rik,Uncharacterized protein,increased total body fat amount,Fat/Body weight
4930447C04Rik,Six6os1 protein,increased total body fat amount,Fat/Body weight
Speer4f1,Spermatogenesis associated glutamate (E)-rich protein 4f,increased total body fat amount,Fat mass
Nup205,Nucleoporin 205,increased total body fat amount,Fat mass
D430041D05Rik,RIKEN cDNA D430041D05 gene,increased total body fat amount,Fat mass
Aadacl4,Arylacetamide deacetylase like 4,increased total body fat amount,Fat mass
Tmem132b,Transmembrane protein 132B,increased body weight,Weight
,,,
Uggt2,UDP-glucose glycoprotein glucosyltransferase 2,abnormal lean body mass,Lean mass NMR
Herc3,Hect domain and RLD 3,increased lean body mass,Lean/Body weight
Plcb4,Phosphoinositide phospholipase C (EC 3.1.4.11),increased lean body mass,Lean/Body weight
Cpgi5563,,increased lean body mass,Lean mass
