Gene,Gene Name,Phenotype,Parameter
Ccdc122,Coiled-coil domain-containing protein 122,increased lean body mass,Lean/Body weight
Ccdc127,Coiled-coil domain-containing protein 127,increased lean body mass,Lean/Body weight
Ccdc8,Coiled-coil domain-containing protein 8 homolog,increased total body fat amount,Fat mass
Ccdc93,Coiled-coil domain-containing protein 93,increased total body fat amount,Fat mass
Chchd5,Coiled-coil-helix-coiled-coil-helix domain-containing protein 5,increased lean body mass,Lean mass
Col11a2,Collagen alpha-2(XI) chain,increased lean body mass,Lean mass
C1rl,Complement C1r subcomponent-like protein,decreased lean body mass,Lean mass
C4b,Complement C4-B [Cleaved into: Complement C4 beta chain; Complement C4 alpha chain; C4a anaphylatoxin; Complement C4 gamma chain],decreased lean body mass,Lean mass
Ncaph,Condensin complex subunit 2,increased lean body mass,Lean Mass
Fam120a,Constitutive coactivator of PPAR-gamma-like protein 1,increased lean body mass,Lean mass
Cntnap5a,Contactin-associated protein like 5-1,increased total body fat amount,Fat/Body weight
Cobll1,Cordon-bleu protein-like 1,increased lean body mass,Lean mass
Ckb,Creatine kinase B-type,increased lean body mass,Lean/Body weight
Ctdspl2,CTD small phosphatase-like protein 2,increased lean body mass,Lean mass
Clec3a,C-type lectin domain family 3 member A,increased lean body mass,Lean mass
Csmd3,CUB and sushi domain-containing protein 3,increased lean body mass,Lean/Body weight
Cand2,Cullin-associated NEDD8-dissociated protein 2,increased lean body mass,Lean mass
Atg4a,Cysteine protease ATG4A,increased total body fat amount,Fat mass
Atg4b,Cysteine protease ATG4B,decreased lean body mass,Lean mass
Cystm1,Cysteine-rich and transmembrane domain-containing protein 1,increased total body fat amount,Fat/Body weight
Cyba,Cytochrome b-245 light chain,increased lean body mass,Lean mass
Cox7a2,"Cytochrome c oxidase subunit 7A2, mitochondrial",increased lean body mass,Lean mass
Cygb,Cytoglobin,increased lean body mass,Lean/Body weight
Dync1i2,Cytoplasmic dynein 1 intermediate chain 2,increased lean body mass,Lean Mass
Pitpnc1,Cytoplasmic phosphatidylinositol transfer protein 1,increased lean body mass,Lean/Body weight
Agbl1,Cytosolic carboxypeptidase 4,increased total body fat amount,Fat mass
Dact3,Dapper homolog 3,increased lean body mass,Lean/Body weight
Dazap1,DAZ-associated protein 1,increased lean body mass,Lean/Body weight
Dcun1d3,DCN1-like protein 3,increased lean body mass,Lean mass
Dnd1,Dead end protein homolog 1,increased total body fat amount,Fat mass
Dock9,Dedicator of cytokinesis protein 9,increased lean body mass,Lean mass
Ech1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",increased total body fat amount,Fat/Body weight
Dennd5b,DENN domain-containing protein 5B,increased lean body mass,Lean/Body weight
Dmp1,Dentin matrix acidic phosphoprotein 1,increased total body fat amount,Fat mass
Dguok,"Deoxyguanosine kinase, mitochondrial",increased total body fat amount,Fat mass
