Gene,Gene Name,Phenotype,Parameter
Skor1,SKI family transcriptional corepressor 1,increased circulating glucose level,Glucose
Slitrk1,SLIT and NTRK-like protein 1,improved glucose tolerance,Area under glucose response curve
Knstrn,Small kinetochore-associated protein,increased fasting circulating glucose level,Fasted blood glucose concentration
Atp1a3,Sodium/potassium-transporting ATPase subunit alpha-3,improved glucose tolerance,Area under glucose response curve
Slc6a2,Sodium-dependent noradrenaline transporter,impaired glucose tolerance,Area under glucose response curve
Slc20a2,Sodium-dependent phosphate transporter 2,impaired glucose tolerance,Area under glucose response curve
Slc12a5,Solute carrier family 12 member 5,impaired glucose tolerance,Area under glucose response curve
Slc2a2,"Solute carrier family 2, facilitated glucose transporter member 2",increased fasting circulating glucose level,Fasted blood glucose concentration
Slc22a16,Solute carrier family 22 member 16,impaired glucose tolerance,Area under glucose response curve
Slco6c1,Solute carrier organic anion transporter family member 6C1,increased fasting circulating glucose level,Fasted blood glucose concentration
Ghrh,Somatoliberin,impaired glucose tolerance,Area under glucose response curve
Gh,Somatotropin,impaired glucose tolerance,Area under glucose response curve
Shh,Sonic hedgehog protein,impaired glucose tolerance,Area under glucose response curve
Spart,Spartin,increased fasting circulating glucose level,Fasted blood glucose concentration
Spag4,Sperm-associated antigen 4 protein,increased fasting circulating glucose level,Fasted blood glucose concentration
Spice1,Spindle and centriole-associated protein 1,improved glucose tolerance,Initial response to glucose challenge
Spryd4,SPRY domain-containing protein 4,increased fasting circulating glucose level,Fasted blood glucose concentration
Gcn1,Stalled ribosome sensor GCN1,increased circulating glucose level,Glucose
Stmn4,Stathmin-4,improved glucose tolerance,Area under glucose response curve
Cyp17a1,"Steroid 17-alpha-hydroxylase/17,20 lyase",improved glucose tolerance,Area under glucose response curve
Cyp27a1,"Sterol 26-hydroxylase, mitochondrial",improved glucose tolerance,Area under glucose response curve
Strn3,Striatin-3,increased fasting circulating glucose level,Fasted blood glucose concentration
Sdhb,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",increased fasting circulating glucose level,Fasted blood glucose concentration
Slc50a1,Sugar transporter SWEET1,increased fasting circulating glucose level,Fasted blood glucose concentration
Slc26a2,Sulfate transporter,impaired glucose tolerance,Area under glucose response curve
Qsox2,Sulfhydryl oxidase 2,increased fasting circulating glucose level,Fasted blood glucose concentration
Surf4,Surfeit locus protein 4,impaired glucose tolerance,Area under glucose response curve
Syngr2,Synaptogyrin-2,increased circulating glucose level,Glucose
Syce1,Synaptonemal complex central element protein 1,improved glucose tolerance,Initial response to glucose challenge
Sytl4,Synaptotagmin-like protein 4,improved glucose tolerance,Area under glucose response curve
Sdc1,Syndecan-1,improved glucose tolerance,Initial response to glucose challenge
Stx16,Syntaxin-16,improved glucose tolerance,Area under glucose response curve
Stx19,Syntaxin-19,increased fasting circulating glucose level,Fasted blood glucose concentration
Stxbp1,Syntaxin-binding protein 1,impaired glucose tolerance,Area under glucose response curve
Ttbk1,Tau-tubulin kinase 2,increased circulating glucose level,Glucose
Tbccd1,TBCC domain-containing protein 1,impaired glucose tolerance,Initial response to glucose challenge
Terf2ip,Telomeric repeat-binding factor 2-interacting protein 1,impaired glucose tolerance,Initial response to glucose challenge
Tns3,Tensin-3,increased fasting circulating glucose level,Fasted blood glucose concentration
Tspan18,Tetraspanin-18,increased fasting circulating glucose level,Fasted blood glucose concentration
Ttc38,Tetratricopeptide repeat protein 38,impaired glucose tolerance,Area under glucose response curve
Trex1,Three-prime repair exonuclease 1,improved glucose tolerance,Initial response to glucose challenge
Tars3,"Threonine--tRNA ligase 2, cytoplasmic",increased circulating glucose level,Glucose
Tg,Thyroglobulin,improved glucose tolerance,Area under glucose response curve
Thra,Thyroid hormone receptor alpha,improved glucose tolerance,Area under glucose response curve
Tpo,Thyroid peroxidase,improved glucose tolerance,Area under glucose response curve
Tigd3,Tigger transposable element-derived protein 3,impaired glucose tolerance,Area under glucose response curve
Trappc9,Trafficking protein particle complex subunit 9,impaired glucose tolerance,Area under glucose response curve
Ebf2,Transcription factor COE2,impaired glucose tolerance,Area under glucose response curve
E2f3,Transcription factor E2F3,impaired glucose tolerance,Initial response to glucose challenge
Sox30,Transcription factor SOX-30,increased fasting circulating glucose level,Fasted blood glucose concentration
Bach1,Transcription regulator protein BACH1,increased fasting circulating glucose level,Fasted blood glucose concentration
Tead1,Transcriptional enhancer factor TEF-1,impaired glucose tolerance,Area under glucose response curve
Swt1,Transcriptional protein SWT1,impaired glucose tolerance,Area under glucose response curve
Tle4,Transducin-like enhancer protein 4,impaired glucose tolerance,Area under glucose response curve
Tgfb1i1,Transforming growth factor beta-1-induced transcript 1 protein,improved glucose tolerance,Initial response to glucose challenge
Trpm1,Transient receptor potential cation channel subfamily M member 1,impaired glucose tolerance,Area under glucose response curve
Trpv4,Transient receptor potential cation channel subfamily V member 4,increased circulating glucose level,Glucose
Gpnmb,Transmembrane glycoprotein NMB,increased fasting circulating glucose level,Fasted blood glucose concentration
Tmprss2,Transmembrane protease serine 2,improved glucose tolerance,Area under glucose response curve
Tmprss6,Transmembrane protease serine 6,increased fasting circulating glucose level,Fasted blood glucose concentration
Tmem240,Transmembrane protein 240,increased fasting circulating glucose level,Fasted blood glucose concentration
Triobp,TRIO and F-actin-binding protein,increased circulating glucose level,Glucose
Trio,Triple functional domain protein,impaired glucose tolerance,Initial response to glucose challenge
Wdr6,tRNA,improved glucose tolerance,Area under glucose response curve
Mettl6,tRNA N(3)-cytidine methyltransferase METTL6,increased fasting circulating glucose level,Fasted blood glucose concentration
Tulp3,Tubby-related protein 3,impaired glucose tolerance,Area under glucose response curve
Tuft1,Tuftelin,improved glucose tolerance,Area under glucose response curve
Sirpa,Tyrosine-protein phosphatase non-receptor type substrate 1,impaired glucose tolerance,Initial response to glucose challenge
Coq6,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial",increased fasting circulating glucose level,Fasted blood glucose concentration
Usp12,Ubiquitin carboxyl-terminal hydrolase 12,impaired glucose tolerance,Initial response to glucose challenge
Usp15,Ubiquitin carboxyl-terminal hydrolase 15,improved glucose tolerance,Area under glucose response curve
Usp30,Ubiquitin carboxyl-terminal hydrolase 30,impaired glucose tolerance,Initial response to glucose challenge
Usp36,Ubiquitin carboxyl-terminal hydrolase 36,increased circulating glucose level,Glucose
Usp47,Ubiquitin carboxyl-terminal hydrolase 47,increased circulating glucose level,Glucose
Uchl4,Ubiquitin carboxyl-terminal hydrolase isozyme L4,increased fasting circulating glucose level,Fasted blood glucose concentration
Ube4a,Ubiquitin conjugation factor E4 A,impaired glucose tolerance,Area under glucose response curve
Cdc34,Ubiquitin-conjugating enzyme E2 R1,increased fasting circulating glucose level,Fasted blood glucose concentration
Ube2w,Ubiquitin-conjugating enzyme E2 W,increased fasting circulating glucose level,Fasted blood glucose concentration
Urm1,Ubiquitin-related modifier 1,impaired glucose tolerance,Area under glucose response curve
Uri1,Unconventional prefoldin RPB5 interactor,increased fasting circulating glucose level,Fasted blood glucose concentration
Vangl2,Vang-like protein 2,increased circulating glucose level,Glucose
Gpbp1,Vasculin,improved glucose tolerance,Initial response to glucose challenge
Elovl5,Very long chain fatty acid elongase 5,improved glucose tolerance,Initial response to glucose challenge
Acadvl,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",impaired glucose tolerance,Area under glucose response curve
Vapb,Vesicle-associated membrane protein-associated protein B,improved glucose tolerance,Initial response to glucose challenge
Vkorc1l1,Vitamin K epoxide reductase complex subunit 1-like protein 1,increased fasting circulating glucose level,Fasted blood glucose concentration
Cacna2d1,Voltage-dependent calcium channel subunit alpha-2/delta-1,impaired glucose tolerance,Area under glucose response curve
Cacnb2,Voltage-dependent L-type calcium channel subunit beta-2,impaired glucose tolerance,Area under glucose response curve
Kcnh3,Voltage-gated inwardly rectifying potassium channel KCNH3,increased fasting circulating glucose level,Fasted blood glucose concentration
Vwa8,von Willebrand factor A domain-containing protein 8,increased fasting circulating glucose level,Fasted blood glucose concentration
Washc4,WASH complex subunit 4,increased fasting circulating glucose level,Fasted blood glucose concentration
Wdr11,WD repeat-containing protein 11,improved glucose tolerance,Initial response to glucose challenge
Xkr5,XK-related protein 5,increased fasting circulating glucose level,Fasted blood glucose concentration
Ylpm1,YLP motif-containing protein 1,increased fasting circulating glucose level,Fasted blood glucose concentration
Zbtb48,Zinc finger and BTB domain-containing protein 48,impaired glucose tolerance,Initial response to glucose challenge
Zgpat,Zinc finger CCCH-type with G patch domain-containing protein,increased fasting circulating glucose level,Fasted blood glucose concentration
Znhit2,Zinc finger HIT domain-containing protein 2,increased circulating glucose level,Glucose
Zfp422,Zinc finger protein 22,improved glucose tolerance,Initial response to glucose challenge
Zfp462,Zinc finger protein 462,impaired glucose tolerance,Area under glucose response curve
Zfp513,Zinc finger protein 513,increased circulating glucose level,Glucose
Zfp664,Zinc finger protein 664,impaired glucose tolerance,Area under glucose response curve
Zfp787,Zinc finger protein 787,impaired glucose tolerance,Area under glucose response curve
Slc30a7,Zinc transporter 7,impaired glucose tolerance,Area under glucose response curve
Slc39a4,Zinc transporter ZIP4,increased fasting circulating glucose level,Fasted blood glucose concentration
Tgm6,Tgm6 protein,improved glucose tolerance,Area under glucose response curve
Abcc8,"ATP-binding cassette, sub-family C member 8",impaired glucose tolerance,Area under glucose response curve
Fbxl9,F-box and leucine-rich repeat protein 9,impaired glucose tolerance,Area under glucose response curve
Hyal6,Hyaluronidase,impaired glucose tolerance,Initial response to glucose challenge
Tmem116,Transmembrane protein 116,improved glucose tolerance,Initial response to glucose challenge
Klhl32,Kelch-like 32,improved glucose tolerance,Initial response to glucose challenge
D630045J12Rik,RIKEN cDNA D630045J12 gene,improved glucose tolerance,Area under glucose response curve
