Phenotype,Function,p-value (-log10),Genes
Bodycomposition,Impaired glucose tolerance,7.388276692,AKT2;CCND2;CKB;CYP19A1;DICER1;DNMT3A;EPAS1;FKBP5;FOXP1;FST;GSK3A;IDE;MC3R;MFN2;NCOR2;P2RY14;PAK1;PPARG;PPP3CA;TFEB;VDR;XBP1
Bodycomposition,Quantity of stem cells,5.818156412,ALDH2;ARID4B;CCND2;DICER1;DNMT3A;EOMES;FADD;FLT3;KMT2A;KMT2E;MECOM;MYSM1;PER2;PFKM;SFRP1;SHH;TCF7L2;TLE4;ZBTB16
Bodycomposition,Quantity of steroid,5.634512015,ACSL4;AKAP9;AKT2;ALDH2;APOE;ATP8B1;BHMT;CIDEC;CISD2;CYP19A1;DENND5B;DICER1;DLG2;DLG4;DLK1;GAS7;GHRHR;GSK3A;Gulo;HERC1;HMGN1;IMMP2L;KCNE1;LEPR;MBOAT7;NCOA1;NHLH2;NPY5R;NTRK2;PER2;PPARG;PPP3CA;RBMS1;RCAN1;RSPO1;SIK3;TCF7L2;TXNIP;UBE2J1;VDR;ZBTB16
Bodycomposition,Quantity of adipose tissue,5.634512015,AKT2;APOE;BBS2;CDC27;CIDEC;CISD2;CYP19A1;DICER1;DLK1;DNMT3A;E2F3;GHRH;KMT2E;LEPR;MAMLD1;MC3R;MRAP2;NAA10;NUCKS1;PPARG;PTPRD;SGMS1;SIK3;SLC25A21;UBE2J1;VDR
Bodycomposition,Development of neural cells,5.632644079,Adcy3;APOE;AUTS2;BECN1;CACNA2D2;CAMK1D;CELSR1;CHN1;CKB;CSMD3;CYP19A1;DICER1;DLG4;DLGAP4;DMD;ENTPD1;EOMES;FGF10;FNBP1L;FOS;FOXP2;FZD3;GABRA2;GAS7;GHRH;HDGFL3;HERC1;LINGO2;MAGI2;MFRP;MID1;MRAS;MSI2;MTURN;MYO6;NRXN1;NTRK2;PAK1;PBX3;PLXNB2;PPP3CA;PTPRD;SEMA4D;SFRP1;SFRP2;SHH;SPG11;SUN1;SUN2;TCF7L2;TENM4;TMEM108;TULP3;UBE3A;XBP1
Bodycomposition,Concentration of lipid,5.559090918,ACSL4;ADORA1;AGPAT4;AKAP9;AKT2;ALDH2;AP4E1;APOE;ATP8B1;BBS2;BECN1;BHMT;CIDEC;CISD2;CYP19A1;DENND5B;DICER1;DLG2;DLG4;DLK1;E2F3;ELMO1;ELOVL5;EPAS1;FKBP5;GAS7;GHRHR;GSK3A;Gulo;HERC1;HGSNAT;HMGN1;IMMP2L;IRAK2;KCNE1;LEPR;MBOAT7;MFN2;NAA10;NCOA1;NHLH2;NPY5R;NTRK2;PER2;PPARG;PPP3CA;RBMS1;RCAN1;RSPO1;SGMS1;SIK1;SIK3;SLC30A7;SLC40A1;TCF7L2;TXNIP;UBE2J1;VDR;XBP1;ZBTB16
Bodycomposition,Morphology of nervous system,5.339134522,Adcy3;AKT2;AP4E1;APOE;BECN1;CACNA2D2;CHN1;CKB;DICER1;DLGAP4;ENTPD1;EPB41L1;FOS;FZD3;LEPR;MAGI2;MID1;MYO6;NTRK2;PAK1;PCM1;PDCD6IP;PLXNB2;PPARG;PPP3CA;RAB23;RAB8A;RCAN1;SHH;SUN1;TCF7L2;TENM4;TRAPPC9;TULP3
Bodycomposition,Weight gain,5.304518324,AP1G1;APOE;BBS2;BHMT;CIDEC;CYP19A1;DENND5B;E2F3;EPAS1;FKBP5;FOS;GHRH;GSK3A;IRAK2;LEPR;MC3R;MFN2;MRAP2;NTRK2;NUCKS1;PER2;PPARG;RUNX2;SFRP1;SLC30A7;TACR3;UBE3A;VDR
Bodycomposition,Cellular homeostasis,5.099632871,AKT2;ALDH2;AMPD3;APOE;BECN1;C9orf72;CISD2;CYP19A1;DICER1;DMD;DMP1;DMXL2;DNMT3A;ELK4;ENTPD1;EOMES;EPAS1;FADD;FLT3;FOXP1;GHRH;GHRHR;GRIK1;GSK3A;HERC1;KCNB1;KCNE1;LEPR;MCU;MECOM;MFN2;MPZL2;MYSM1;NBEA;NCOR2;NTRK2;NUCKS1;P2RY14;PACSIN2;PAK1;PDCD6IP;PENK;PFKM;PHLPP1;POLB;PPARG;PPP2R2A;PPP3CA;RUNX2;SHH;SIK1;SIK3;SLC20A2;SLC24A3;SLC30A7;SLC40A1;SNAP47;SPG11;SPN;STIM2;STX16;SYK;TCF7L2;TFEB;TIAL1;TNFAIP1;TRPA1;TRPC3;TSPAN9;TXNIP;USP15;USP38;VDR;XBP1;XRCC5;ZBTB16
Bodycomposition,Development of neurons,4.987162775,Adcy3;APOE;AUTS2;BECN1;CACNA2D2;CAMK1D;CELSR1;CHN1;CKB;CSMD3;CYP19A1;DICER1;DLG4;DLGAP4;DMD;ENTPD1;EOMES;FGF10;FNBP1L;FOS;GABRA2;GAS7;GHRH;HDGFL3;HERC1;LINGO2;MAGI2;MFRP;MID1;MRAS;MTURN;MYO6;NRXN1;NTRK2;PAK1;PBX3;PLXNB2;PPP3CA;PTPRD;SEMA4D;SFRP1;SFRP2;SHH;SPG11;SUN1;SUN2;TENM4;TMEM108;TULP3;UBE3A;XBP1
Bodycomposition,Hypoplasia of organ,4.841637508,APOE;ARID4B;CACNA2D2;CBX4;CCND2;CNOT7;CYP19A1;DICER1;DLK1;E2F3;FADD;FANCL;FGF10;FUT4;GHRH;KMT2E;MBOAT7;MECOM;NCOA1;NHLH2;PBX3;PCSK5;PPARG;PTPRD;RBMS1;RUNX2;SHH;SSBP2;TEAD1;TLE4;VDR;XBP1;XRCC5
Bodycomposition,Development of body axis,4.832682665,Adcy3;BBS2;CCND2;CELSR1;CISD2;CYP19A1;DCLK2;DICER1;DLG4;DLGAP4;DMP1;DMXL2;DNMT3A;ENTPD1;EOMES;EPB41L5;FGF10;FOXP2;FST;FZD3;GHRH;GHRHR;HERC1;Ifitm1;IMMP2L;KCNE1;KIF21B;KMT2A;Lefty1;MAP3K1;MBOAT7;MECOM;MFN2;MID1;MLLT3;MYO6;MYO7A;MYSM1;NCOR2;NTRK2;PAK1;PCSK5;PDGFC;PDSS2;PLXNB2;POLB;PPARG;PPP3CA;PTCHD1;PTPRD;RUNX2;SETD1A;SFRP1;SFRP2;SHH;SUN1;SUN2;TCF20;TCF7L2;TMEM108;TULP3;VPS13B;ZBTB16;ZDHHC16
Bodycomposition,Quantity of leptin in blood,4.787812396,AKT2;APOE;BBS2;CIDEC;CYP19A1;E2F3;LEPR;MC3R;MRAP2;NCOA1;NUCKS1;PER2;PPARG;SIK3
Bodycomposition,Morphology of cellular protrusions,4.73754891,APOE;CACNA2D2;CAMSAP3;CHN1;DICER1;ELMOD2;FOS;FST;MAGI2;MYO6;NTRK2;PAK1;RAB8A;RCAN1;TCF7L2;TENM4;TULP3
Bodycomposition,Development of genitourinary system,4.655607726,ADAMTS16;AKAP9;AKT2;APOE;ARID4B;C14orf39;C9orf72;CCND2;CIDEC;CISD2;CNOT7;CYP19A1;DDHD1;DICER1;DMXL2;DND1;DNMT3A;EPAS1;FANCL;FGF10;FKBP5;FNDC3A;FOS;FST;GAS7;GHRH;GHRHR;GPR55;GREB1L;GZF1;IMMP2L;ISM1;KIAA0319L;KMT2E;LEPR;MECOM;NAA10;NCOA1;NHLH2;NPEPPS;NTRK2;PCSK5;PPARG;PPP3CA;PRDM14;PTP4A2;RNASE10;RSPO1;RUNX2;SFRP1;SFRP2;SHH;SIK3;SUN1;TACR3;TFEB;TIAL1;UBE2J1;UBE3A;USP42;VDR;VPS13B;XBP1;YTHDC2;ZBTB16
Bodycomposition,Proliferation of stem cells,4.63638802,APOE;CCND2;EPAS1;FGF10;FLT3;KDM4C;KMT2A;MAP3K1;MECOM;MSI2;PHF20L1;PPARG;PUM2;RSPO1;RUNX2;SETD1A;SFRP1;SFRP2;SHH;TIAL1;XRCC5
Bodycomposition,Transcription,4.605548319,ABLIM1;APOE;ARID4B;BBS2;CBX4;CNOT7;DCLK2;DICER1;DLK1;DMD;DNMT3A;E2F3;EHMT1;ELK4;EOMES;EPAS1;EPC1;FGF10;FOS;FOXP1;FOXP2;GSK3A;GZF1;HMGN1;KDM4C;KMT2A;KMT2E;Lefty1;MAGI2;MAMLD1;MAP3K1;MAPRE3;MCIDAS;MECOM;MYOZ1;NCOA1;NCOR2;NFYA;NHLH2;NSD3;NTRK2;NUCKS1;PAK1;PBX3;PER2;PIAS2;PPARG;PPP3CA;PRDM14;PRDM4;RCAN1;RREB1;RSPO1;RUNX2;SEMA4D;SETD1A;SFRP1;SFRP2;SHH;SLC24A3;SLC40A1;SOX21;TCF20;TCF7L2;TEAD1;TFEB;TIFAB;TLE4;TOPORS;TXNIP;UBE3A;VDR;XBP1;YLPM1;ZBTB16;ZNF462
Bodycomposition,Transcription of RNA,4.585026652,ABLIM1;ARID4B;CBX4;CNOT7;DCLK2;DICER1;DMD;DNMT3A;E2F3;EHMT1;ELK4;EOMES;EPAS1;EPC1;FGF10;FOS;FOXP1;FOXP2;GSK3A;GZF1;HMGN1;KMT2A;Lefty1;MAGI2;MAMLD1;MAP3K1;MAPRE3;MCIDAS;MECOM;MYOZ1;NCOA1;NCOR2;NFYA;NHLH2;NSD3;NUCKS1;PBX3;PER2;PIAS2;PPARG;PPP3CA;PRDM14;PRDM4;RCAN1;RREB1;RUNX2;SEMA4D;SFRP2;SHH;SLC40A1;SOX21;TCF20;TCF7L2;TEAD1;TFEB;TLE4;TOPORS;TXNIP;UBE3A;VDR;XBP1;YLPM1;ZBTB16;ZNF462
Bodycomposition,Morphology of bone,4.402304814,ADORA1;APOE;AUTS2;CD200;CISD2;CYP19A1;DLK1;DMP1;FGF10;FOS;GHRHR;GPR55;GPR65;LEPR;NAA10;NCOA1;P3H1;PER2;PHLPP1;PPARG;RUNX2;SFRP2;SHH;SIK3;SLC40A1;TFEB;TLE4;VDR;ZBTB16
Bodycomposition,Expression of RNA,4.294992041,ABLIM1;APOE;ARID4B;BBS2;CBX4;CNOT7;CYP19A1;DCLK2;DICER1;DLK1;DMD;DNMT3A;E2F3;EHMT1;ELK4;EOMES;EPAS1;EPC1;FGF10;FOS;FOXP1;FOXP2;GSK3A;GZF1;HMGN1;KDM4C;KMT2A;KMT2E;Lefty1;MAGI2;MAMLD1;MAP3K1;MAPRE3;MCIDAS;MECOM;MYL3;MYOZ1;NCOA1;NCOR2;NFYA;NHLH2;NSD3;NTRK2;NUCKS1;PAK1;PBX3;PER2;PIAS2;PPARG;PPP3CA;PRDM14;PRDM4;RCAN1;RREB1;RSPO1;RUNX2;SEMA4D;SETD1A;SFRP1;SFRP2;SHH;SLC24A3;SLC40A1;SOX21;TCF20;TCF7L2;TEAD1;TFEB;TIFAB;TLE4;TOPORS;TXNIP;UBE3A;VDR;XBP1;YLPM1;ZBTB16;ZNF462
Bodycomposition,Development of female reproductive tract,4.289882635,CCND2;CYP19A1;DICER1;FANCL;FGF10;FOS;FST;GREB1L;IMMP2L;LEPR;NHLH2;NTRK2;RSPO1;SFRP1;SIK3;UBE3A;YTHDC2
Bodycomposition,Hypoplasia,4.28567024,AKT2;APOE;ARID4B;CACNA2D2;CBX4;CCND2;CNOT7;CYP19A1;DICER1;DLK1;E2F3;FADD;FANCL;FGF10;FUT4;GHRH;KMT2E;MBOAT7;MECOM;NCOA1;NHLH2;PBX3;PCSK5;PPARG;PTPRD;RBMS1;RUNX2;SHH;SSBP2;TEAD1;TLE4;VDR;XBP1;XRCC5
Bodycomposition,Activation of DNA endogenous promoter,4.249491605,ABLIM1;ARID4B;CBX4;CNOT7;DICER1;EHMT1;EOMES;EPAS1;EPC1;FGF10;FOS;FOXP1;FOXP2;GSK3A;GZF1;HMGN1;KMT2A;Lefty1;MAMLD1;MECOM;MYOZ1;NCOA1;NCOR2;NFYA;NHLH2;NUCKS1;PBX3;PER2;PIAS2;PPARG;PPP3CA;PRDM14;PRDM4;RREB1;RUNX2;SEMA4D;SFRP2;SHH;SLC40A1;SOX21;TCF20;TCF7L2;TEAD1;TFEB;TLE4;TXNIP;UBE3A;XBP1;YLPM1;ZNF462
Bodycomposition,Energy homeostasis,4.248720896,ABCD3;ALDH2;AMPD3;APOE;BHMT;CIDEC;CKB;DICER1;DMD;FKBP5;FOXP2;GSK3A;IRAK2;KCNAB2;LEPR;MRAP2;NAA10;NCOA1;NUCKS1;PPARG;RUNX2;SIK3;VDR
Bodycomposition,Survival of follicular B lymphocytes,4.197226275,AKT2;DICER1;SHH;SYK
Bodycomposition,Mass of connective tissue,4.187755303,APOE;BBS2;BHMT;CIDEC;CYP19A1;DLK1;EPAS1;FKBP5;FST;GAS7;GPR55;MC3R;NAA10;NHLH2;PPARG;SFRP1;SGMS1;SIK3;TFEB;VDR
Bodycomposition,Mass of adipose tissue,4.180456064,APOE;BBS2;BHMT;CIDEC;CYP19A1;DLK1;EPAS1;FKBP5;FST;GAS7;GPR55;MC3R;NAA10;NHLH2;PPARG;SFRP1;SGMS1;SIK3;VDR
Bodycomposition,Respiration of connective tissue cells,4.145086978,ALDH2;APOE;FST;MFN2;SLC40A1
Bodycomposition,Development of genital organ,4.14327111,AKAP9;ARID4B;C14orf39;CCND2;CNOT7;CYP19A1;DICER1;DMXL2;DND1;DNMT3A;FANCL;FGF10;FNDC3A;FOS;FST;GREB1L;IMMP2L;KIAA0319L;KMT2E;LEPR;NCOA1;NHLH2;NPEPPS;NTRK2;PRDM14;PTP4A2;RNASE10;RSPO1;SFRP1;SFRP2;SHH;SIK3;TIAL1;UBE2J1;UBE3A;USP42;VDR;VPS13B;YTHDC2;ZBTB16
Bodycomposition,Quantity of vertebrae,4.064996849,FST;MLLT3;PCSK5;SFRP1;SFRP2;ZBTB16
Bodycomposition,Transcription of DNA,4.057991947,ABLIM1;ARID4B;CBX4;CNOT7;DICER1;DMD;E2F3;EHMT1;EOMES;EPAS1;EPC1;FGF10;FOS;FOXP1;FOXP2;GSK3A;GZF1;HMGN1;KMT2A;Lefty1;MAMLD1;MAPRE3;MCIDAS;MECOM;MYOZ1;NCOA1;NCOR2;NFYA;NHLH2;NSD3;NUCKS1;PBX3;PER2;PIAS2;PPARG;PPP3CA;PRDM14;PRDM4;RREB1;RUNX2;SEMA4D;SFRP2;SHH;SLC40A1;SOX21;TCF20;TCF7L2;TEAD1;TFEB;TLE4;TOPORS;TXNIP;UBE3A;VDR;XBP1;YLPM1;ZBTB16;ZNF462
Bodycomposition,Hypoplasia of genital organ,4.046240308,ARID4B;CNOT7;CYP19A1;E2F3;FANCL;NCOA1;NHLH2;RBMS1;VDR
Bodycomposition,Number of thoracic vertebra,4.009217308,FST;SFRP1;SFRP2;ZBTB16
Bodycomposition,Quantity of connective tissue,4.003050752,AKT2;APOE;ARID4B;BBS2;CCND2;CDC27;CIDEC;CISD2;CYP19A1;DICER1;DLK1;DNMT3A;E2F3;EPAS1;FLT3;FOS;GHRH;GPR55;Gulo;HERC1;KMT2E;LEPR;MAMLD1;MC3R;MRAP2;MYSM1;NAA10;NUCKS1;PER2;PHLPP1;PPARG;PTPRD;RUNX2;SGMS1;SIK3;SLC25A21;SLC40A1;UBE2J1;VDR
Bodycomposition,Size of bone,3.978810701,APOE;AUTS2;CD200;CYP19A1;DLK1;DMP1;FGF10;FOS;GHRHR;GPR55;LEPR;NAA10;NCOA1;P3H1;PER2;PHLPP1;PPARG;RUNX2;SFRP2;SHH;SIK3;SLC40A1;TFEB;TLE4;VDR
Bodycomposition,Proliferation of adipocytes,3.920818754,AKT2;E2F3;FGF10;PER2;SHH
Bodycomposition,Abnormal morphology of granule neuron progenitor cells,3.906578315,CCND2;FOXP2;MID1;PLXNB2;SUN1;SUN2
Bodycomposition,Developmental process of synapse,3.872895202,CACNA2D2;CYP19A1;DLG4;DLGAP4;DMD;GABRA2;GHRH;LINGO2;MYO6;NRXN1;NTRK2;PAK1;PLXNB2;PTPRD;SEMA4D;SPG11;SUN1;SUN2
Bodycomposition,Abnormal morphology of cerebellum fissure,3.866461092,MID1;SUN1;SUN2
Bodycomposition,Transformation of liver cells,3.866461092,FOS;PBX3;PDGFC
Bodycomposition,Morphology of brain,3.798602876,Adcy3;AKT2;AP4E1;CKB;DICER1;DLGAP4;ENTPD1;EPB41L1;FZD3;LEPR;MID1;PCM1;PDCD6IP;PLXNB2;PPARG;PPP3CA;RAB23;SHH;SUN1;TRAPPC9
Bodycomposition,Folliculogenesis,3.774690718,CCND2;CYP19A1;DICER1;FANCL;FOS;FST;IMMP2L;NHLH2;NTRK2;RSPO1;SIK3;UBE3A
Bodycomposition,Proliferation of neural cells,3.707743929,AKT2;APOE;CELSR1;CHN1;CYP19A1;DICER1;DLG4;DLGAP4;E2F3;EPAS1;FZD3;GAS7;GHRH;HDGFL3;IDE;KDM4C;LEPR;MID1;MSI2;NCOR2;NTRK2;PAK1;PLXNB2;PPARG;PTP4A2;RAB23;SETD1A;SHH;SYK;TCF7L2;TRPC3;TULP3;UBE3A
Bodycomposition,Rickets,3.690369833,DMP1;RCAN1;SIK3;VDR
Bodycomposition,Limb development,3.643974143,AUTS2;BECN1;DICER1;DMD;DNMT3A;ELMO1;FGF10;GHRHR;MECOM;MYSM1;P3H1;PCSK5;PDGFC;PHLPP1;RAB23;RUNX2;SFRP2;SHH;SIK3;TULP3;ZBTB16
Bodycomposition,Development of ovary,3.640164518,CCND2;CYP19A1;DICER1;FANCL;FOS;FST;IMMP2L;NHLH2;NTRK2;RSPO1;SFRP1;SIK3;UBE3A;YTHDC2
Bodycomposition,Development of internal genitalia,3.617982957,AKAP9;ARID4B;CCND2;CYP19A1;DICER1;FANCL;FNDC3A;FOS;FST;GREB1L;IMMP2L;KMT2E;LEPR;NCOA1;NHLH2;NTRK2;RNASE10;RSPO1;SFRP1;SFRP2;SHH;SIK3;UBE2J1;UBE3A;YTHDC2
Bodycomposition,Neurodegeneration of hair cells,3.612610174,APOE;ATP8B1;KCNE1;MINAR2;MYO7A;SCARB2;SUN1
Bodycomposition,Morphogenesis of gastrointestinal tract,3.612610174,FGF10;POLB;RUNX2;SFRP1;SFRP2;SHH;TCF7L2
Bodycomposition,Abnormal morphology of head,3.607303047,Adcy3;APOE;BBS2;BHMT;CACNA2D2;CCND2;CHN1;CISD2;CKB;CSMD3;CYP19A1;DICER1;DLK1;DMP1;E2F3;EHMT1;ELMOD1;ENTPD1;EPB41L1;FGF10;FOS;FOXP2;FST;KCNE1;MBOAT7;MECOM;MID1;MYO7A;NAA10;NCOA1;NCOR2;NTRK2;PBX3;PDCD6IP;PDGFC;PEAK1;PER2;PLXNB2;POLB;RAB28;RREB1;RUNX2;SCARB2;SHH;SIK3;SUN1;SUN2;TCF7L2;TRPC3;UBE3A;VDR;VPS13B;XRCC5;ZDHHC16
Bodycomposition,Startle response,3.596879479,APOE;BBS2;CKB;EHMT1;FOXP2;HMGN1;KCNE1;MID1;PENK;VDR
Bodycomposition,Growth of organism,3.595166283,ADORA1;AKT2;APOE;BECN1;BHMT;CACNA2D2;DICER1;DLGAP4;DLK1;DMD;DMP1;E2F3;EHMT1;EOMES;EPAS1;FOXP1;FOXP2;FZD3;GCLC;KDM4C;MAP3K1;MFN2;MSI2;MYH1;MYSM1;NCOA1;NCOR2;PHF20L1;PLXNB2;POLB;PPARG;PPP3CA;PTP4A2;PUM2;RAB23;SCARB2;SETD1A;SHH;SIK3;SLC30A7;TCF7L2;THOC1;TIAL1;TNKS;VDR;VPS13B;XRCC5
Bodycomposition,Accumulation of hematopoietic stem cells,3.573488739,DNMT3A;NFYA;ZBTB16
Bodycomposition,Formation of osteoblasts,3.560667306,FST;PPARG;RUNX2;SEMA4D;SFRP1;SFRP2;SHH
Bodycomposition,Morphology of muscle,3.559090918,AKT2;APOE;BECN1;CYP19A1;DICER1;DMD;FADD;FOXP1;FST;GSK3A;LEPR;MAP3K1;MSI2;MYH1;MYOZ1;PPARG;PPP3CA;SCARB2;SHH;VDR
Bodycomposition,Concentration of cholesterol,3.534617149,AKAP9;ALDH2;APOE;ATP8B1;BHMT;CIDEC;CYP19A1;DENND5B;DICER1;DLG2;DLK1;GAS7;GSK3A;Gulo;LEPR;MBOAT7;PPARG;PPP3CA;RCAN1;RSPO1;SIK3;TCF7L2;TXNIP;UBE2J1;VDR
Bodycomposition,Congenital malformation of genital organs,3.53165267,ARID4B;CNOT7;CYP19A1;E2F3;FANCL;FGF10;NCOA1;NHLH2;RBMS1;VDR
Bodycomposition,Concentration of sterol,3.522878745,ACSL4;AKAP9;ALDH2;APOE;ATP8B1;BHMT;CIDEC;CYP19A1;DENND5B;DICER1;DLG2;DLK1;GAS7;GSK3A;Gulo;LEPR;MBOAT7;PPARG;PPP3CA;RCAN1;RSPO1;SIK3;TCF7L2;TXNIP;UBE2J1;VDR
Bodycomposition,Morphology of head,3.514278574,Adcy3;AKT2;AP4E1;CISD2;CKB;CYP19A1;DICER1;DLGAP4;DNMT3A;ENTPD1;EPB41L1;FGF10;FOS;FST;FZD3;GHRH;LEPR;MID1;PCM1;PDCD6IP;PLXNB2;PPARG;PPP3CA;RAB23;SHH;SUN1;TRAPPC9
Bodycomposition,Ingestion by mice,3.511449283,APOE;CIDEC;CISD2;DICER1;LEPR;MC3R;MRAP2;MYH1;NPY5R;NTRK2;NUCKS1;PER2;PPARG;SLC30A7;TCF7L2;UBE2J1;VDR
Bodycomposition,Assembly of intercellular junctions,3.474955193,CACNA2D2;CYP19A1;DLG4;DLGAP4;DMD;GABRA2;GHRH;LINGO2;MYO6;NRXN1;NTRK2;PAK1;PDCD6IP;PLXNB2;PTPRD;SEMA4D;SPG11;SUN1;SUN2
Bodycomposition,Formation of plasma membrane,3.474955193,CACNA2D2;CYP19A1;DLG4;DLGAP4;DMD;GABRA2;GHRH;LINGO2;MYO6;NRXN1;NTRK2;PAK1;PDCD6IP;PLXNB2;PTPRD;SEMA4D;SPG11;SUN1;SUN2
Bodycomposition,Formation of brain,3.469800302,BBS2;CCND2;CYP19A1;DCLK2;DICER1;DMXL2;ENTPD1;EOMES;FGF10;FOXP2;FZD3;HERC1;IMMP2L;KCNE1;KIF21B;MBOAT7;MECOM;MID1;NCOR2;NTRK2;PAK1;PDSS2;PLXNB2;PPARG;PPP3CA;PTCHD1;PTPRD;SETD1A;SHH;SUN1;SUN2;TCF20;TMEM108;TULP3;VPS13B
Bodycomposition,Morphology of neurites,3.444905551,APOE;CACNA2D2;CHN1;DICER1;FOS;MAGI2;MYO6;NTRK2;PAK1;RAB8A;RCAN1;TENM4
Bodycomposition,Abnormal morphology of cochlea,3.435333936,APOE;BHMT;ELMOD1;FGF10;KCNE1;MYO7A;NTRK2;SCARB2;SHH;SUN1
Bodycomposition,Quantity of cells,3.43062609,AKT2;ALDH2;AP1G1;APOE;ARID4B;ASCC3;BBS2;BECN1;BHMT;CACNA2D2;CAMSAP3;CCND2;CD200;CISD2;CNOT7;CYP19A1;DGKD;DICER1;DLK1;DMD;DNMT3A;DUSP3;ELK4;ELMO1;ENTPD1;EOMES;EPAS1;FADD;FANCL;FBXO11;FGF10;FLT3;FOS;FOXP1;FOXP2;FST;FUT4;GHRH;GPR55;Gulo;HERC1;ISM1;ITCH;ITGAE;KMT2A;KMT2E;LEPR;MAMLD1;MC3R;MCU;MECOM;MFN2;MPZL2;MSI2;MYO6;MYO7A;MYSM1;NAA10;NCOR2;NHLH2;NTRK2;PAK1;PDGFC;PELI1;PER2;PFKM;PHLPP1;PPARG;PPP3CA;PTPRD;RCAN1;RLBP1;RSPO1;RUNX2;SEMA4D;SFRP1;SHH;SIK3;SLC29A3;SLC30A7;SLC40A1;SPN;SSBP2;SUN1;SYK;TCF20;TCF7L2;TFEB;TIAL1;TLE4;TNFSF18;TNKS;TRPA1;TXNIP;UBE2J1;UBE3A;USP22;USP38;VDR;XBP1;XRCC5;ZBTB16
Bodycomposition,Growth of prostate gland,3.425968732,CYP19A1;FOS;NCOA1;UBE3A
Bodycomposition,Quantity of gonad,3.42365865,ACSL4;AKT2;CISD2;CNOT7;CYP19A1;ELMO1;ENTPD1;EPAS1;FANCL;FOS;LEPR;NHLH2;NTRK2;RSPO1;SUN1;TIAL1;UBE2J1;UBE3A;VDR
Bodycomposition,Gonadogenesis,3.404503778,AKAP9;ARID4B;C14orf39;CCND2;CNOT7;CYP19A1;DICER1;DMXL2;DND1;DNMT3A;FANCL;FNDC3A;FOS;FST;IMMP2L;KIAA0319L;KMT2E;NCOA1;NHLH2;NPEPPS;NTRK2;PRDM14;PTP4A2;RNASE10;RSPO1;SFRP1;SFRP2;SIK3;TIAL1;UBE2J1;UBE3A;USP42;VDR;VPS13B;YTHDC2;ZBTB16
Bodycomposition,Size of adipose tissue,3.390405591,APOE;BBS2;BHMT;CYP19A1;DLK1;FKBP5;IRAK2;LEPR;MC3R;MRAP2;NCOR2;PPARG;SFRP1;SIK3
Bodycomposition,Patterning of rostrocaudal axis,3.372634143,CELSR1;Ifitm1;KMT2A;MLLT3;PCSK5;SFRP1;SFRP2;SHH;TULP3;ZBTB16
Bodycomposition,Mass of reproductive tract,3.36251027,APOE;CYP19A1;GHRH;IMMP2L;TACR3;UBE3A;VDR
Bodycomposition,Growth of lesion,3.347753659,ABLIM1;ACSL4;ADAMTS16;ADPGK;AKT2;ALPK2;APOE;ASCC3;BECN1;CISD2;CYBA;CYGB;DEPDC5;DICER1;DLK1;DNMT3A;E2F3;ELOVL5;ENSA;ENTPD1;EPAS1;FADD;FOS;FOXP1;FOXP2;FST;GHRHR;HERC1;HERC3;ITCH;KDM4C;KLHL22;KMT2A;MCU;MLLT3;MSI2;NSD3;NTRK2;NUCKS1;OGDH;OGFOD1;PAK1;PEAK1;PELI1;PFKM;PHF20L1;PHLPP1;PIGF;PLXNB2;PPARG;PPP2R2A;PTP4A2;PUM2;RAB8A;RCAN1;RUNX2;SCARB2;SFRP1;SFRP2;SHH;SIK1;SLC40A1;STAG3;SYK;TCF7L2;TEAD1;TNKS;TRIM37;TRPC3;TUSC1;TWF1;TXNIP;USP12;USP13;USP22;VDR;XBP1;YTHDC2
Bodycomposition,Accumulation of lipid,3.339134522,ALDH2;APOE;ATP8B1;BHMT;CIDEC;CYP19A1;DICER1;ELOVL5;EPAS1;FOS;GPR55;GSK3A;LEPR;MFN2;PPARG;SCARB2;SLC40A1;SYK;TFEB;USP22;VDR;XBP1
Bodycomposition,Mitochondrial respiration of muscle cells,3.338187314,MFN2;SLC40A1;TEAD1
Bodycomposition,Abnormal morphology of dendrites,3.312471039,APOE;CCND2;DLG4;EHMT1;FOXP2;NTRK2;STIM2;SUN1;SUN2;UBE3A
Bodycomposition,Morphology of uterus,3.30980392,APOE;CYP19A1;FST;TACR3;UBE3A;VDR
Bodycomposition,Development of head,3.299296283,Adcy3;BBS2;CCND2;CELSR1;CISD2;CYP19A1;DCLK2;DICER1;DLG4;DLGAP4;DMP1;DMXL2;DNMT3A;ENTPD1;EOMES;FGF10;FOXP2;FST;FZD3;GHRH;GHRHR;HERC1;IMMP2L;KCNE1;KIF21B;MAP3K1;MBOAT7;MECOM;MFN2;MID1;MYO6;MYO7A;NCOR2;NTRK2;PAK1;PCSK5;PDGFC;PDSS2;PLXNB2;POLB;PPARG;PPP3CA;PTCHD1;PTPRD;RUNX2;SETD1A;SHH;SUN1;SUN2;TCF20;TCF7L2;TMEM108;TULP3;VPS13B;ZDHHC16
Bodycomposition,Hypoplasia of uterus,3.295849483,CYP19A1;FANCL;NHLH2;RBMS1;VDR
Bodycomposition,Quantity of bone,3.274088368,APOE;CYP19A1;DICER1;FLT3;FOS;FST;GPR55;HERC1;MLLT3;PCSK5;PER2;PHLPP1;PPARG;RUNX2;SFRP1;SFRP2;SHH;SLC40A1;VDR;ZBTB16
