Phenotype,Function,p-value (-log10),Genes
Glucose,Differentiation of connective tissue cells,2.826813732,ADGRF5;AKT2;ATF2;ATP2A2;BNIP3;EBF2;FOXO3;Ifi204 (includes others);IFNAR1;INSIG1;LMNA;NAA10;NBR1;PARP1;PPARG;PRG4;SIK3;SIRPA;SLC26A2;TRIO;ZFP36
Glucose,Hypertrophy of tunica media,2.815308569,NOTCH3;RBPJ
Glucose,Conversion of induced regulatory T-lymphocyte,2.815308569,BCL11B;PARP1
Glucose,Frequency of conventional dendritic cells,2.815308569,IFNAR1;SIRPA
Glucose,Area of adipocytes,2.815308569,FAM83A;LMNA
Glucose,Hypertrophy of myofiber,2.815308569,DEPDC5;FOXO3
Glucose,Dysplasia of retina,2.815308569,CDKN1B;RBL1
Glucose,Morphology of white adipose tissue,2.804100348,ATF2;FAM83A;KDM3A;LMNA;NAA10;NR2C2;PPARG;RBL1;SLC7A11
Glucose,Enlargement of heart,2.774690718,ADRA2A;AKAP13;ATP2A2;BNIP3;CDKN1B;FNIP1;GPX3;LEPR;LMNA;MYH10;NOTCH3;PARP1;PPARG;SDC1;SIRPA;SS18;TEAD1
Glucose,Mass of lymphoid organ,2.774690718,AKAP13;CDKN1B;DUOXA2;GHRH;PARP1;PPARG;STEAP3;UBE2W
Glucose,Abnormal morphology of mediastinum,2.772113295,ACADVL;ADRA2A;AKAP13;ATP2A2;BCL11B;BNIP3;CCND2;CDKN1B;FNIP1;GPX3;LEPR;LMNA;MYH10;NFAT5;NOTCH3;PARP1;PHF8;PPARG;RBPJ;SDC1;SIRPA;SS18;TEAD1;TLE4;ZFP36
Glucose,Formation of nucleus,2.769551079,CDKN1B;LMNA;PARP1;USP36
Glucose,Quantity of stem cells,2.764471553,ATF2;CCND2;CDKN1B;FOXO3;NFAT5;NOTCH3;PPP4R3B;RBPJ;TLE4
Glucose,Arrest in interphase of fibroblast cell lines,2.759450752,CDKN1B;LMNA;NEDD4;NRAS;RBL1
Glucose,Abnormal morphology of heart ventricle,2.73754891,ADRA2A;ATP2A2;BNIP3;CCND2;FNIP1;LMNA;MYH10;NFAT5;NOTCH3;PHF8;RBPJ;TEAD1
Glucose,Respiratory quotient,2.730487056,KDM3A;LEPR;NR2C2;SIK3;SLC6A2
Glucose,Plasticity of synapse,2.725842151,BTBD9;CAMK2B;CHRDL1;DBN1;IGSF11;LEPR;S100B
Glucose,Abnormal morphology of sciatic nerve,2.721246399,EBF2;LMNA;LPAR1
Glucose,Abnormal morphology of diencephalon,2.721246399,ADCY1;ASPA;CDKN1B;EBF2;EFNA5;MYH10
Glucose,Growth of cardiac muscle,2.721246399,CCND2;CDKN1B;LMNA;MYH10;NFAT5;RBPJ
Glucose,Folliculogenesis,2.690369833,CCND2;CDKN1B;EFNA5;FOXO3;NHLH2;NR2C2;SIK3
Glucose,Abnormality of heart ventricle,2.68613278,ADRA2A;ATP2A2;BNIP3;CCND2;E2F3;FNIP1;LMNA;MYH10;NEDD4;NFAT5;NOTCH3;PHF8;RBPJ;TEAD1
Glucose,Size of head,2.681936665,AKAP13;AKT2;AP4E1;ATF2;BTG2;CDKN1B;EFNA5;FOXO3;FZD3;PPARG;RBPJ
Glucose,Mass of genitourinary system,2.673664139,AKT2;CCND2;CDKN1B;FAM83A;GHRH;INSIG1;KDM3A;LMNA;NAA10;NR2C2;PPARG;RBL1;SIK3;SLC7A11;UBE2W
Glucose,Thoracic hypoplasia,2.669586227,ATF2;BCL11B;CDKN1B;MYH10;NFAT5;RBPJ;TEAD1;TLE4;ZFP36
Glucose,Cell viability,2.663540266,ADCY1;AKT2;BCL11B;CDKN1B;E2F3;FOXO3;GHRH;LMNA;NFAT5;NR2C2;NRAS;NRCAM;PARP1;PPARG;RBPJ;SDC1;SIRPA;SLC6A2;SLC7A11;STXBP1;SUV39H2;VDAC1
Glucose,Development of head,2.661543506,ADCY1;ATF2;BCL11B;BLOC1S6;BTG2;CCND2;CDKN1B;CHD7;EBF2;EFNA5;FOXO3;FZD3;GHRH;Ifi204 (includes others);INSIG1;MYH10;NOTCH3;NR2C2;NSUN5;PARP1;PCSK5;PPARG;RBL1;RBPJ;SLC7A11;STXBP1;TRIO;TULP3;UPF3B;VANGL2;VPS13B
Glucose,Arrest in G1 phase of fibroblast cell lines,2.655607726,CDKN1B;LMNA;NEDD4;RBL1
Glucose,Cell viability of kidney cell lines,2.643974143,NFAT5;VDAC1
Glucose,Deficiency of lymphocytes,2.643974143,FNIP1;RBPJ
Glucose,Arrest in cell cycle progression of B-lymphocyte derived cell lines,2.643974143,CCND2;CDKN1B
Glucose,Presence of cerebral cortex cells,2.643974143,CDKN1B;CNKSR2
Glucose,Mitosis of hematopoietic progenitor cells,2.643974143,CDKN1B;FOXO3
Glucose,Cell cycle progression of lens fiber cells,2.643974143,CDKN1B;E2F3
Glucose,Healing of skin wound,2.643974143,LEPR;SLC7A11
Glucose,Abnormal morphology of enlarged ovary,2.643974143,CDKN1B;FOXO3
Glucose,Development of medulla oblongata,2.643974143,ATF2;TRIO
Glucose,Formation of placenta,2.638272164,ADRA2A;CDKN1B;DAAM2;MYH10;PPARG;RBPJ;SS18
Glucose,Growth failure,2.630784143,AKAP13;ATF2;Clcnkb;EBF2;EIF4G2;GHRH;KAT2B;LMNA;LPAR1;NEDD4;NFAT5;NOTCH3;PPARG;RBL1;RBMS1;RBPJ;SS18;TEAD1;TLE4;VDAC1;ZFP36
Glucose,Allodynia,2.619788758,ADRA2A;LEPR;LPAR1;S100B
Glucose,Congenital malformation of genital organs,2.617982957,E2F3;EBF2;NHLH2;NR2C2;RBL1;RBMS1
Glucose,Homeostasis of D-glucose,2.602059991,ADGRF5;ADRA2A;AKT2;ATP2A2;FOXO3;LEPR;NR2C2;PPARG;RFX6;SIK3
Glucose,Developmental process of synapse,2.602059991,CELF4;CHRDL1;EFNA5;GHRH;NEDD4;PALM;PFN1;SLC25A46;SLITRK1;ZDHHC2
Glucose,Transcription,2.596879479,ASH1L;ATF2;BACH1;BCL11B;CEP128;CHD7;E2F3;EBF2;EIF4G2;FOXO3;GPBP1;HIPK3;Ifi204 (includes others);IFNAR1;IMPACT;KAT2B;KDM3A;LMNA;NEDD4;NFAT5;NHLH2;NOTCH3;NR2C2;NRAS;PARP1;PFN1;PPARG;RBL1;RBPJ;SAP30;SKOR1;SUV39H2;TEAD1;TLE4;TOPORS;USP47;YLPM1;ZFP36;ZNF462
Glucose,Concentration of ATP,2.588380294,AKT2;FNIP1;LCP1;LEPR;LMNA;PARP1;PPARG
Glucose,Development of female reproductive tract,2.580044252,ASH1L;CCND2;CDKN1B;EFNA5;FOXO3;LEPR;NHLH2;NR2C2;SIK3
Glucose,Morphology of blood vessel,2.578396073,CDKN1B;MYH10;NOTCH3;PARP1;PPARG;RBPJ
Glucose,Hypoplasia of genital organ,2.573488739,E2F3;EBF2;NHLH2;NR2C2;RBMS1
Glucose,Cognition,2.563837353,ADCY1;ADRA2A;BLOC1S6;BTBD9;BTG2;CAMK2B;CCND2;DLGAP2;LEPR;NRAS;NRCAM;NSUN5;PHF8;S100B;SLC7A11;VDAC1;VPS13B;WASHC4
Glucose,Morphology of reproductive system,2.563837353,AKT2;CCND2;CDKN1B;FAM83A;GHRH;INSIG1;KDM3A;LMNA;NAA10;NR2C2;PPARG;RBL1;RBPJ;SIK3;SLC7A11;UBE2W
Glucose,Small GTPase mediated signal transduction,2.555955204,FARP1;GDI2;LPAR1;NISCH;NRAS;TNS3;VANGL2
Glucose,Loss of adipose tissue,2.543633967,AKT2;LEPR;PPARG
Glucose,Development of pituitary gland adenoma,2.543633967,CDKN1B;FOXO3;GHRH
Glucose,Abnormal morphology of heart,2.540607512,ACADVL;ADRA2A;AKAP13;ATP2A2;BNIP3;CCND2;CDKN1B;FNIP1;GPX3;LEPR;LMNA;MYH10;NFAT5;NOTCH3;PARP1;PHF8;PPARG;RBPJ;SDC1;SIRPA;SS18;TEAD1
Glucose,Mass of epididymal fat,2.539102157,FAM83A;KDM3A;LMNA;NAA10;NR2C2;SLC7A11
Glucose,Abnormal morphology of thoracic cavity,2.530177984,ACADVL;ADGRF5;ADRA2A;AKAP13;ATF2;ATP2A2;BCL11B;BNIP3;CCND2;CDKN1B;FNIP1;GPX3;LEPR;LMNA;MYH10;NFAT5;NOTCH3;PARP1;PHF8;PPARG;RBPJ;SDC1;SIRPA;SS18;TEAD1;TLE4;ZFP36
Glucose,Expansion of blood cells,2.524328812,CCND2;CDKN1B;FOXO3;IFNAR1;LCP1;LEPR;NOTCH3;NRAS;PARP1;PPARG
Glucose,Morphology of artery,2.517126416,MYH10;NOTCH3;PARP1;PPARG
Glucose,Cell death of connective tissue cells,2.503070352,AKT2;ATF2;ATP2A2;BNIP3;CDKN1B;FOXO3;NFAT5;NRAS;NUDT13;PARP1;PELI1;PPARG;PPP2R1B;RBL1;SIVA1;SLC7A11;STK38;VDAC1
Glucose,Morphogenesis of nervous tissue,2.503070352,ADCY1;BCL11B;BLOC1S6;CAMK2B;DBN1;EFNA5;FZD3;LPAR1;MPDZ;MYH10;NEDD4;NRCAM;PALM;PFN1;S100B;SLC25A46;SLITRK1;SS18;TRIO;UPF3B
Glucose,Differentiation of granule neuron progenitor cells,2.501689446,BTG2;CDKN1B
Glucose,Release of germ cells,2.501689446,EFNA5;PPARG
Glucose,Exit from cell cycle progression of neuronal progenitor cells,2.501689446,ARHGAP17;E2F3
Glucose,Release of virus,2.501689446,CHMP3;RBPJ
Glucose,Migration of lutenizing hormone-releasing hormone neurons,2.501689446,DBN1;NHLH2
Glucose,Severe diabetes mellitus,2.501689446,AKT2;LEPR
Glucose,Formation of enchondroma,2.501689446,E2F3;RBL1
Glucose,Hyperplasia of intermediate lobe of the pituitary gland,2.501689446,CDKN1B;GHRH
Glucose,Organismal death,2.492144128,ACADVL;ADGRF5;ADRA2A;AKAP13;AKT2;ARL8B;ASPA;ATF2;ATP2A2;BCL11B;CACNB2;CCND2;CDKN1B;CELF4;Clcnkb;E2F3;EFNA5;EIF4G2;FNIP1;FOXO3;GAD2;GPX3;IFNAR1;INSIG1;KAT2B;LEPR;LMNA;LPAR1;MYH10;NAA10;NACC1;NEDD4;NFAT5;NHLH2;NOTCH3;NR2C2;NRAS;NRCAM;PARP1;PCSK5;PELI1;PFN1;PPARG;RAB11A;RBL1;RBMS1;RBPJ;SDC1;SIK3;SIVA1;SLITRK1;SS18;STK38;STXBP1;TEAD1;TLE4;TNKS;TRIO;UBE2W;USP36;VANGL2;VDAC1;ZFP36
Glucose,Length of telomeres,2.48945499,PARP1;RBL1;SUV39H2
Glucose,Development of nose,2.48945499,CHD7;EBF2;PCSK5
Glucose,Fatigue,2.48945499,ACADVL;ATP2A2;FNIP1
Glucose,Cell death of fibroblast cell lines,2.4867824,AKT2;ATF2;ATP2A2;BNIP3;CDKN1B;FOXO3;NRAS;NUDT13;PARP1;PPP2R1B;RBL1;SIVA1;STK38;VDAC1
Glucose,Congenital malformation of genitourinary system,2.48148606,CCND2;E2F3;EBF2;NAA10;NHLH2;NR2C2;PCSK5;RBL1;RBMS1
Glucose,Apoptosis of hematopoietic cell lines,2.476253533,CCND2;CDKN1B;FOXO3;NRAS;PARP1;PELI1;SIVA1
Glucose,Glycolysis of cells,2.460923901,BACH1;FOXO3;KAT2B;PELI1;PFN1;SLC7A11;USP47
Glucose,Development of brainstem,2.437707136,ATF2;MYH10;TRIO
Glucose,Anterograde axonal transport,2.437707136,AP3S1;ARL8B;BLOC1S6
Glucose,Morphology of aorta,2.437707136,MYH10;PARP1;PPARG
Glucose,Estrus,2.437707136,CDKN1B;NHLH2;NR2C2
Glucose,Quantity of NAD+,2.437707136,FOXO3;LMNA;PARP1
Glucose,Development of neurons,2.435333936,ADCY1;BCL11B;BLOC1S6;CAMK2B;CELF4;CHRDL1;DBN1;EBF2;EFNA5;GHRH;LPAR1;MPDZ;MYH10;NEDD4;NRCAM;PALM;PFN1;S100B;SLC25A46;SLITRK1;SS18;TRIO;TULP3;UPF3B;ZDHHC2
Glucose,Mass of liver,2.43062609,CDKN1B;GHRH;LMNA;ME1;PARP1;PPARG;SIK3;SLC7A11
Glucose,Mass of spleen,2.43062609,AKAP13;CDKN1B;DUOXA2;GHRH;PARP1;PPARG;STEAP3
Glucose,Morphology of lymphoid organ,2.427128398,AKAP13;CDKN1B;DUOXA2;GHRH;NOTCH3;PARP1;PPARG;RBL1;STEAP3;UBE2W
Glucose,Left ventricular dysfunction,2.404503778,ADRA2A;ATP2A2;BNIP3;E2F3;FNIP1;LMNA;NOTCH3;RBPJ
Glucose,Invasion of cells,2.399027104,ADRA2A;ELOVL5;IFNAR1;LCP1;MYH10;NR2C2;NRAS;NRCAM;PPARG;RAB11FIP1;SDC1;SLC7A11;TRIO
Glucose,Size of body,2.395773947,ADGRF5;AKT2;ASPA;ATP2A2;CAMK2B;CDKN1B;CELF4;CHD7;E2F3;EBF2;EFNA5;GAD2;GHRH;IMPACT;INSIG1;LEPR;LMNA;LPAR1;NR2C2;NRCAM;PARP1;RBL1;SIK3;SIRPA;SLITRK1;SYTL4;TLE4;ZFP36
Glucose,S phase of fibroblast cell lines,2.390405591,CDKN1B;E2F3;NRAS;RBL1
Glucose,Differentiation of white adipocytes,2.388276692,ATF2;EBF2;PPARG
Glucose,Ovulatory disorder,2.388276692,CCND2;EFNA5;NR2C2
Glucose,Formation of skull,2.386158178,CHD7;INSIG1;PCSK5;RBPJ;TULP3
Glucose,Hyperplasia of adenohypophysis,2.379863945,CDKN1B;GHRH
Glucose,Quantity of type I myofibers,2.379863945,FNIP1;RBL1
Glucose,Morphology of mitochondrial cristae,2.379863945,LEPR;PPARG
Glucose,Hypoplasia of retina,2.379863945,CCND2;CDKN1B
Glucose,Formation of telencephalon,2.377785977,CHD7;EBF2;EFNA5;MYH10;NSUN5;PPARG;SLC7A11;TRIO
Glucose,Interphase,2.370590401,ATF2;CAMK2B;CCND2;CDKN1B;E2F3;FOXO3;LMNA;NEDD4;NFAT5;NRAS;PARP1;RBL1
Glucose,Growth of neurites,2.370590401,CAMK2B;CCDC120;IMPACT;MYH10;NEDD4;PARP1;PPARG;RAB11A;S100B;SS18;TRIO
Glucose,Weight gain,2.35753548,ACADVL;CACNA2D1;CAMK2B;CDKN1B;DENND5B;E2F3;GHRH;KDM3A;LEPR;LMNA;PPARG;SLC30A7;ZFP36
Glucose,Morphology of lymphoid tissue,2.351639989,AKAP13;CDKN1B;DUOXA2;GHRH;IFNAR1;NOTCH3;PARP1;PPARG;RBL1;STEAP3;UBE2W
Glucose,Cell death of blood cells,2.350665141,AKT2;ATF2;BCL11B;CCND2;CDKN1B;FNIP1;FOXO3;IFNAR1;NFAT5;NRAS;PARP1;PELI1;PFN1;RBPJ;SDC1;SIRPA;SIVA1;SLC7A11;TLE4;ZFP36
Glucose,Thickness of muscle,2.341035157,LEPR;NRAS;PPARG
Glucose,Accumulation of fat,2.341035157,LMNA;PPARG;RBL1
Glucose,Apoptosis of fibroblast cell lines,2.333482019,AKT2;ATF2;CDKN1B;FOXO3;NRAS;NUDT13;PARP1;PPP2R1B;RBL1;STK38;VDAC1
Glucose,Maintenance of telomeres,2.330683119,PARP1;RBL1;SUV39H2;YLPM1
Glucose,Abnormal migration of neurons,2.330683119,CDKN1B;EFNA5;MYH10;TRIO
Glucose,Apoptosis of B-lymphocyte derived cell lines,2.321481621,CCND2;CDKN1B;FOXO3;NRAS;SIVA1
Glucose,Concentration of eicosanoid,2.304518324,ACADVL;Clcnkb;ELOVL5;LEPR;PPARG;SLC30A7
Glucose,Hypoplasia of uterus,2.295849483,NHLH2;NR2C2;RBMS1
Glucose,Lipodystrophy,2.295849483,AKT2;ATP2A2;PPARG
Glucose,Abnormal morphology of granular layer of epidermis,2.295849483,BCL11B;RBL1;UBE2W
Glucose,Concentration of sterol,2.295849483,CDKN1B;DENND5B;FOXO3;INSIG1;KDM3A;LEPR;LMNA;ME1;NR2C2;PARP1;PPARG;SIK3;SLC7A11;SURF4
Glucose,Hyperesthesia,2.287350298,ADCY1;ADRA2A;FZD3;LEPR;LPAR1;S100B
Glucose,Concentration of hormone,2.283162277,AKT2;AP4E1;CDKN1B;DUOXA2;E2F3;FOXO3;GHRH;KDM3A;LEPR;LMNA;NHLH2;NR2C2;PPARG;RBMS1;SIK3
Glucose,Development of atrioventricular canal,2.274088368,CHD7;RBPJ
Glucose,Abnormal energy balance,2.274088368,NR2C2;SIK3
Glucose,Conversion of CD4+ T-lymphocytes,2.274088368,BCL11B;PARP1
Glucose,Adipogenesis of fibroblasts,2.274088368,E2F3;PPARG
Glucose,Mass of gonad,2.270025714,AKT2;CCND2;CDKN1B;FAM83A;GHRH;KDM3A;LMNA;NAA10;NR2C2;SLC7A11;UBE2W
Glucose,Abnormal morphology of internal genitalia,2.262807357,AKT2;CDKN1B;CHD7;E2F3;EBF2;EFNA5;FOXO3;KDM3A;LMNA;NHLH2;NR2C2;RBL1;RBMS1;UBE2W;VPS13B
Glucose,Neuritogenesis,2.253365801,ADCY1;BCL11B;BLOC1S6;CAMK2B;DBN1;EFNA5;LPAR1;MPDZ;MYH10;NEDD4;NRCAM;PALM;PFN1;S100B;SLC25A46;SLITRK1;SS18;TRIO;UPF3B
Glucose,Coping response,2.252588192,GAD2;PHF8;SLITRK1
Glucose,Quantity of adenoma,2.252588192,CDKN1B;GHRH;RAB11A
Glucose,Phosphorylation of L-threonine,2.252588192,HIPK3;TNKS;TTBK1
Glucose,Transport of metal ion,2.245651664,ATP2A2;CACNA2D1;CAMK2B;CDKN1B;MCU;NEDD4;PPARG;SFXN1;SLC30A7;STEAP3
Glucose,Mass of white adipose tissue,2.229147988,FAM83A;KDM3A;LMNA;NAA10;NR2C2;PPARG;SLC7A11
Glucose,Proliferation of muscle cells,2.226213555,CDKN1B;E2F3;LMNA;LPAR1;MYH10;NFAT5;NOTCH3;PPARG;RBPJ;SIRPA
Glucose,Quantity of adipocytes,2.220403509,CDKN1B;NAA10;PPARG;RBL1
Glucose,Visceromegaly,2.209714836,ADRA2A;AKAP13;ATP2A2;BNIP3;CDKN1B;DEPDC5;FNIP1;FOXO3;GPX3;IFNAR1;LEPR;LMNA;MYH10;NOTCH3;NRAS;PARP1;PPARG;SDC1;SIRPA;SS18;TEAD1;ZFP36
Glucose,Quantity of brain cells,2.206209615,ASPA;ATF2;CCND2;NHLH2;PPP4R3B;RBL1
Glucose,Expression of RNA,2.195179321,ASH1L;ATF2;BACH1;BCL11B;CEP128;CHD7;E2F3;EBF2;EIF4G2;FOXO3;GPBP1;HIPK3;Ifi204 (includes others);IFNAR1;IMPACT;KAT2B;KDM3A;LMNA;NEDD4;NFAT5;NHLH2;NOTCH3;NR2C2;NRAS;PARP1;PFN1;PPARG;RBL1;RBPJ;SAP30;SKOR1;SUV39H2;TEAD1;TLE4;TOPORS;USP47;YLPM1;ZFP36;ZNF462
Glucose,Dysfunction of heart,2.181774106,ADRA2A;ATP2A2;BNIP3;CACNB2;E2F3;FNIP1;LMNA;NOTCH3;RBPJ
Glucose,Cerebral ischemia,2.181114585,LCP1;PARP1
Glucose,Development of cataract,2.181114585,NFAT5;NOTCH3
Glucose,Activation of cyclin-dependent protein kinase,2.181114585,CDKN1B;KAT2B
Glucose,Hyperplasia of respiratory epithelium,2.181114585,CDKN1B;PPARG
Glucose,Transformation of bone marrow cells,2.181114585,CCND2;FOXO3
Glucose,Apoptosis,2.174573882,ADCY1;AKT2;ATF2;BACH1;BCL11B;BNIP3;CAMK2B;CCND2;CDKN1B;E2F3;FASTK;FBXO11;FNIP1;FOXO3;GHRH;IFNAR1;ING5;KDM3A;LMNA;LPAR1;MYH10;NFAT5;NHLH2;NOTCH3;NR2C2;NRAS;NUDT13;PARP1;PELI1;PFN1;PPARG;PPP2R1B;RAB11A;RBL1;RBPJ;SIVA1;SLC7A11;STEAP3;STK38;STXBP1;TEAD1;TLE4;TOPORS;USP36;USP47;VDAC1;VPS13B;ZFP36
Glucose,Elongation of cells,2.170696227,ATP2A2;NFAT5;NRAS
Glucose,Morphology of bone,2.153044675,CDKN1B;IFNAR1;LEPR;LMNA;NAA10;NBR1;PFN1;PPARG;PSTPIP2;RBL1;SIK3;SIRPA;SLC6A2;TLE4
Glucose,Cell movement of connective tissue cells,2.149353765,AKT2;CDKN1B;LPAR1;MYH10;NACC1;NFAT5;TNS3;ZNF513
Glucose,Formation of olfactory bulb,2.142667504,CHD7;EBF2;EFNA5;TRIO
Glucose,Quantity of brown adipose tissue,2.142667504,CDKN1B;KDM3A;PPARG;SIK3
Glucose,Abnormal morphology of abdomen,2.134896025,AKAP13;AKT2;ARL8B;ATF2;CACNA2D1;CDKN1B;Clcnkb;DEPDC5;E2F3;EBF2;EFNA5;FNIP1;FOXO3;IFNAR1;LEPR;LMNA;MYH10;NFAT5;NHLH2;NR2C2;NRAS;PCSK5;PPARG;RBL1;RBMS1;SIK3;SIRPA;STEAP3;SYTL4;ZFP36
Glucose,Re-entry into cell cycle progression,2.131943638,CDKN1B;E2F3;RBL1
Glucose,Pituitary dysfunction,2.131943638,CDKN1B;EBF2;GHRH
Glucose,Learning,2.125518182,ADCY1;ADRA2A;BLOC1S6;BTBD9;BTG2;CAMK2B;CCND2;DLGAP2;LEPR;NRAS;NRCAM;PHF8;S100B;SLC7A11;VDAC1;VPS13B
Glucose,Mediastinal lesion,2.124938737,ADRA2A;ATP2A2;BNIP3;E2F3;LMNA;NOTCH3;NRAS;PELI1;RBPJ;SIRPA;STEAP3;TEAD1
Glucose,Morphology of neuroglia,2.118045029,CAMK2B;LPAR1;S100B;TULP3
Glucose,Loss of lean tissue,2.115204636,AKT2;FNIP1;FOXO3;LCP1;LEPR;LMNA;NR2C2;PARP1;PFN1;USP30
Glucose,Concentration of cholesterol,2.11407366,CDKN1B;DENND5B;FOXO3;INSIG1;KDM3A;LEPR;LMNA;NR2C2;PARP1;PPARG;SIK3;SLC7A11;SURF4
Glucose,Feeding,2.101823517,BCL11B;CDKN1B;EFNA5;GIGYF2;GPR83;IMPACT;LEPR;LPAR1;MYH10;NR2C2;PPARG;SIK3
Glucose,Enlargement of left ventricle,2.099632871,ADRA2A;ATP2A2;BNIP3;FNIP1;LMNA;NOTCH3
Glucose,Mineralization of fibroblast cell lines,2.097453221,KAT2B;PPARG
Glucose,Accumulation of amyloid fibrils,2.097453221,IFNAR1;STXBP1
Glucose,Abnormal morphology of myocardial compact zone,2.097453221,MYH10;NFAT5
Glucose,Proliferation of retinal cells,2.097453221,RBL1;RBPJ
Glucose,Arteriovenous malformation,2.097453221,NOTCH3;RBPJ
Glucose,Quantity of pituitary cells,2.09420412,CDKN1B;GHRH;LEPR
Glucose,Abnormal morphology of thalamus,2.09420412,ADCY1;CDKN1B;EFNA5
Glucose,G1/S phase transition of fibroblast cell lines,2.09420412,CDKN1B;E2F3;FOXO3
Glucose,Rac protein signal transduction,2.09420412,FARP1;NISCH;TNS3
Glucose,Expansion of bone marrow cells,2.09420412,FOXO3;NRAS;PPARG
Glucose,Dysfunction of mitochondria,2.09420412,BNIP3;BTG2;PARP1
Glucose,Proliferation of fibroblast cell lines,2.092588639,BTG2;CDKN1B;E2F3;FOXO3;GHRH;Ifi204 (includes others);LPAR1;NRAS;NRCAM;PARP1;PPARG;RBL1;VDAC1
Glucose,G2/M phase,2.086716098,ATF2;CDKN1B;LMNA;NFAT5;PARP1
Glucose,Adipogenesis,2.086186148,AKT2;ATF2;E2F3;EBF2;PPARG;TRIO;TULP3
Glucose,Development of respiratory tract,2.07007044,CHD7;EBF2;PCSK5;SLC7A11;TNS3;TULP3
Glucose,Proliferation of cardiomyocytes,2.068542129,CDKN1B;LMNA;MYH10;NFAT5;RBPJ
Glucose,Cardiac lesion,2.065501549,ADRA2A;ATP2A2;BNIP3;E2F3;LMNA;NOTCH3;PELI1;RBPJ;SIRPA;STEAP3;TEAD1
Glucose,Vascular malformation,2.057991947,NEDD4;NOTCH3;RBPJ
Glucose,Morphology of liver,2.052566278,CDKN1B;GHRH;LEPR;LMNA;ME1;PARP1;PPARG;SIK3;SLC7A11
Glucose,Quantity of subcutaneous fat,2.046723663,ATF2;INSIG1;LMNA;SIK3
Glucose,Autophagy of mitochondria,2.046723663,BNIP3;PFN1;SLC25A46;USP30
Glucose,Abnormal morphology of reproductive system,2.046723663,AKT2;ATF2;BCL11B;CDKN1B;CHD7;E2F3;EBF2;EFNA5;FOXO3;KDM3A;LMNA;NHLH2;NR2C2;PPARG;RBL1;RBMS1;SS18;TNKS;UBE2W;VPS13B
Glucose,Cell movement of fibroblasts,2.037157319,AKT2;CDKN1B;LPAR1;MYH10;NFAT5;TNS3;ZNF513
Glucose,Formation of forebrain,2.03574037,BLOC1S6;CHD7;EBF2;EFNA5;MYH10;NOTCH3;NSUN5;PPARG;SLC7A11;TRIO
Glucose,Formation of cellular protrusions,2.030584088,ADCY1;BCL11B;BLOC1S6;CAMK2B;CEP128;DBN1;EFNA5;LPAR1;MPDZ;MYH10;NEDD4;NISCH;NRCAM;PALM;PFN1;S100B;SIRPA;SLC25A46;SLITRK1;SS18;TRIO;UPF3B;VANGL2;VDAC1
Glucose,Cell death of immune cells,2.028724151,AKT2;BCL11B;CCND2;CDKN1B;FNIP1;FOXO3;IFNAR1;NFAT5;NRAS;PARP1;PELI1;RBPJ;SDC1;SIRPA;SIVA1;SLC7A11;TLE4;ZFP36
Glucose,Accumulation of lipid droplets,2.023650021,INSIG1;MYH10;NFAT5;PPARG
Glucose,Myopathy of skeletal muscle,2.023191663,BNIP3;FOXO3;LMNA
Glucose,Sorting of axons,2.021819483,CDKN1B;EBF2
Glucose,Metabolism of glutamine,2.021819483,GFPT2;PPARG
Glucose,G2/M phase of fibroblast cell lines,2.021819483,CDKN1B;PARP1
Glucose,Mono-ubiquitination of protein,2.021819483,NEDD4;UBE2W
Glucose,Proliferation of melanocytes,2.021819483,NRAS;SLC7A11
Glucose,G2/M phase of embryonic cell lines,2.021819483,CDKN1B;PARP1
Glucose,Development of genitourinary system,2.019542108,ADRA2A;AKT2;ASH1L;CCND2;CDKN1B;CEP128;CHD7;DAAM2;EFNA5;FAM83A;FOXO3;GHRH;INSIG1;KDM3A;LEPR;LMNA;MYH10;NAA10;NHLH2;NR2C2;PCSK5;PPARG;RBL1;RBPJ;SEBOX;SIK3;SLC7A11;SS18;UBE2W;VANGL2;VPS13B
Glucose,Cell death of muscle,2.018181393,BACH1;BNIP3;CACNB2;FOXO3;GHRH;LMNA;MYH10;NOTCH3;NRAS;SIVA1
Glucose,Function of rodents,2.016373713,ATP2A2;LMNA;MCU;MYH10;ZFP36
Glucose,Mass of adipose tissue,2.014573526,FAM83A;KDM3A;LMNA;NAA10;NHLH2;NR2C2;PPARG;SIK3;SLC7A11
Glucose,Morphology of cerebellum,1.991399828,BTG2;CDKN1B;NRCAM
Glucose,Formation of autophagosomes,1.991399828,FOXO3;PFN1;STX16
Glucose,Hypertrophy of left ventricle,1.978810701,ADRA2A;ATP2A2;FNIP1;NOTCH3
Glucose,Morphogenesis of artery,1.978810701,ADGRF5;CHD7;NOTCH3;RBPJ
Glucose,Non-insulin-dependent diabetes mellitus,1.966576245,ACADVL;ADCY1;ATP2A2;Ifi204 (includes others);LEPR;ME1;VWA8
Glucose,Viability,1.966576245,BNIP3;E2F3;EBF2;NRAS;PFN1
Glucose,Arrest in G2 phase,1.958607315,ATF2;CDKN1B;NFAT5;PARP1
Glucose,Transport of transition metal ion,1.954677021,SFXN1;SLC30A7;STEAP3
Glucose,Adult-onset obesity,1.954677021,LEPR;NHLH2;PARP1
Glucose,Atrophy of adipose tissue,1.954677021,AKT2;PPARG
Glucose,Formation of micronuclei,1.954677021,CDKN1B;PARP1
