Gene,GeneName,Type,miRNA,Phenotypes
Ccdc127,Coiled-coil domain-containing protein 127,,miR-337-3p,increased lean body mass
Ccdc25,Coiled-coil domain-containing protein 25,,miR-145a-5p,impaired glucose tolerance
Ccdc93,Coiled-coil domain-containing protein 93,,miR-205-5p,increased total body fat amount
Ccnd2,G1/S-specific cyclin-D2,,miR-124-3p; miR-19b-3p; miR-19a-3p,increased lean body mass; impaired glucose tolerance
Cdc27,Cell division cycle protein 27 homolog,,miR-205-5p,increased total body fat amount
Cdh19,"Cadherin 19, type 2",,miR-182-5p,decreased lean body mass
Cdkn1b,Cyclin-dependent kinase inhibitor 1B,,miR-196a-5p; miR-141-5p,increased fasting circulating glucose level
Celf4,CUGBP Elav-like family member 4,Translation regulator,miR-133b-3p; miR-30e-5p; miR-30a-5p,impaired glucose tolerance; increased circulating insulin level
Celsr1,Cadherin EGF LAG seven-pass G-type receptor 1,G-protein coupled receptor,miR-182-5p,increased lean body mass
Cep128,Centrosomal protein of 128 kDa,,miR-340-5p,improved glucose tolerance
Cep250,Centrosome-associated protein CEP250,,miR-182-5p,increased total body fat amount
Chd7,Chromodomain-helicase-DNA-binding protein 7,Enzyme,miR-30e-5p; miR-30a-5p,increased circulating glucose level
Chmp3,Charged multivesicular body protein 3,,miR-205-5p,impaired glucose tolerance
Chn1,N-chimaerin,,miR-205-5p; miR-182-5p,increased lean body mass
Chrdl1,Chordin-like protein 1,,miR-30e-5p; miR-136-5p; miR-30a-5p; miR-337-3p,increased fasting circulating glucose level
Chrnb2,Neuronal acetylcholine receptor subunit beta-2,Transmembrane receptor,miR-874-5p,increased total body fat amount
Cisd2,CDGSH iron-sulfur domain-containing protein 2,,miR-340-5p,increased lean body mass
Clcnkb,Chloride channel protein ClC-Kb,Ion channel,miR-337-3p,increased lean body mass; improved glucose tolerance
Cmtr2,Cap-specific mRNA,Enzyme,miR-124-3p; miR-183-5p,increased lean body mass
Cnep1r1,Nuclear envelope phosphatase-regulatory subunit 1,,miR-340-5p; miR-124-3p; miR-143-3p,decreased lean body mass
Cnksr2,Connector enhancer of kinase suppressor of ras 2,,miR-19b-3p; miR-19a-3p,impaired glucose tolerance
Cnot4,CCR4-NOT transcription complex subunit 4,Enzyme,miR-19b-3p; miR-19a-3p; miR-874-5p,increased total body fat amount
Cnot7,CCR4-NOT transcription complex subunit 7,Transcription regulator,miR-136-5p; miR-19b-3p; miR-19a-3p,increased lean body mass
Cobll1,Cordon-bleu protein-like 1,,miR-340-5p,increased lean body mass
Cog3,Conserved oligomeric Golgi complex subunit 3,,miR-340-5p,increased circulating insulin level
Cops7a,COP9 signalosome complex subunit 7a,,miR-143-3p,improved glucose tolerance
Cpd,Carboxypeptidase D,Peptidase,miR-196a-5p; miR-340-5p; miR-124-3p; miR-146a-5p; miR-143-3p,impaired glucose tolerance
Cs,"Citrate synthase, mitochondrial",Enzyme,miR-19b-3p; miR-19a-3p,impaired glucose tolerance
Csmd3,CUB and sushi domain-containing protein 3,Enzyme,miR-340-5p; miR-145a-5p,increased lean body mass
Ctdspl,CTD small phosphatase-like protein,,miR-183-5p; miR-124-3p; miR-101b-3p,impaired glucose tolerance
Ctdspl2,CTD small phosphatase-like protein 2,Phosphatase,miR-340-5p; miR-146a-5p,increased lean body mass
Ctif,CBP80/20-dependent translation initiation factor,,miR-874-5p,improved glucose tolerance
Cyb561,Transmembrane ascorbate-dependent reductase CYB561,Enzyme,miR-133b-3p; miR-30e-5p; miR-182-5p; miR-30a-5p,increased total body fat amount
Cygb,Cytoglobin,Transporter,miR-874-5p,increased lean body mass
D630045J12Rik,RIKEN cDNA D630045J12 gene,,miR-30e-5p; miR-182-5p; miR-30a-5p,improved glucose tolerance
Daam2,Disheveled-associated activator of morphogenesis 2,,miR-124-3p,increased fasting circulating glucose level
Dbn1,Drebrin,,miR-19b-3p; miR-19a-3p; miR-874-5p,increased lean body mass; increased fasting circulating glucose level
Dcun1d3,DCN1-like protein 3,,miR-340-5p; miR-30e-5p; miR-182-5p; miR-19b-3p; miR-19a-3p; miR-30a-5p,increased lean body mass; improved glucose tolerance
Dcx,Neuronal migration protein doublecortin,,miR-340-5p; miR-30e-5p; miR-146a-5p; miR-30a-5p,increased circulating insulin level
Ddhd1,Phospholipase DDHD1,Enzyme,miR-340-5p,increased lean body mass
Dennd5b,DENN domain-containing protein 5B,,miR-182-5p; miR-145a-5p,increased lean body mass; improved glucose tolerance
Depdc5,GATOR1 complex protein DEPDC5,,miR-136-5p,increased total body fat amount; impaired glucose tolerance
Dgcr2,Integral membrane protein DGCR2/IDD,,miR-183-5p; miR-182-5p,impaired glucose tolerance
Dgkd,Diacylglycerol kinase delta,Kinase,miR-340-5p,decreased lean body mass
Dicer1,Endoribonuclease Dicer,Enzyme,miR-196a-5p; miR-19b-3p; miR-19a-3p,decreased lean body mass
Dis3,Exosome complex exonuclease RRP44,Enzyme,miR-136-5p,impaired glucose tolerance
Dlg2,Disks large homolog 2,Kinase,miR-340-5p; miR-205-5p,increased lean body mass
Dlgap2,Disks large-associated protein 2,,miR-340-5p; miR-30e-5p; miR-30a-5p,increased fasting circulating glucose level
Dlgap4,Disks large-associated protein 4,,miR-30e-5p; miR-30a-5p,increased lean body mass
Dlk1,Protein delta homolog 1,,miR-143-3p,increased total body fat amount
Dmd,Dystrophin,,miR-340-5p; miR-124-3p; miR-101b-3p,increased lean body mass
Dmxl2,DmX-like protein 2,,miR-133b-3p; miR-205-5p; miR-19b-3p; miR-19a-3p; miR-101b-3p,increased total body fat amount
Dnajc14,DnaJ homolog subfamily C member 14,,miR-133b-3p,increased lean body mass
Dnajc5g,DnaJ heat shock protein family,,miR-205-5p,increased fasting circulating glucose level; increased circulating insulin level
Dnmt3a,DNA,Enzyme,miR-30e-5p; miR-30a-5p,increased total body fat amount
Dock9,Dedicator of cytokinesis protein 9,,miR-182-5p; miR-145a-5p,increased lean body mass
Dpp9,Dipeptidyl peptidase 9,Peptidase,miR-340-5p,decreased lean body mass
Dppa1,Developmental pluripotency associated 1,,miR-182-5p,increased lean body mass
Duoxa2,Dual oxidase maturation factor 2,,miR-124-3p,increased total body fat amount; improved glucose tolerance
Dusp3,Dual specificity protein phosphatase 3,Phosphatase,miR-124-3p,increased total body fat amount; increased circulating insulin level
E2f3,Transcription factor E2F3,Transcription regulator,miR-30e-5p; miR-30a-5p,increased total body fat amount; impaired glucose tolerance
Ebf2,Transcription factor COE2,Transcription regulator,miR-133b-3p; miR-205-5p; miR-30e-5p; miR-19b-3p; miR-19a-3p; miR-101b-3p; miR-30a-5p,impaired glucose tolerance
Ech1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",Enzyme,miR-874-5p,increased total body fat amount
Edem1,ER degradation-enhancing alpha-mannosidase-like protein 1,Enzyme,miR-133b-3p; miR-124-3p,increased lean body mass
Efna5,Ephrin-A5,Kinase,miR-124-3p,increased fasting circulating glucose level
Efr3b,Protein EFR3 homolog B,,miR-874-5p,increased lean body mass; impaired glucose tolerance
Egfem1,EGF-like and EMI domain-containing protein 1,,miR-205-5p,impaired glucose tolerance
Ehmt1,Histone-lysine N-methyltransferase EHMT1,Enzyme,miR-101b-3p,increased lean body mass
Eif1ad,Probable RNA-binding protein EIF1AD,,miR-124-3p,decreased lean body mass
Eif4g2,Eukaryotic translation initiation factor 4 gamma 2,Translation regulator,miR-146a-5p; miR-19b-3p; miR-19a-3p; miR-101b-3p,impaired glucose tolerance
Elk1,ETS domain-containing protein Elk-1,Transcription regulator,miR-296-5p,increased circulating insulin level
Elk4,ETS domain-containing protein Elk-4,Transcription regulator,miR-124-3p; miR-141-5p,decreased lean body mass
Elmo1,Engulfment and cell motility protein 1,,miR-182-5p; miR-145a-5p,increased lean body mass
Elmod1,ELMO domain-containing protein 1,,miR-143-3p,increased lean body mass
Elmod2,ELMO domain-containing protein 2,,miR-30e-5p; miR-19b-3p; miR-19a-3p; miR-30a-5p; miR-141-5p,increased total body fat amount
Elovl5,Very long chain fatty acid elongase 5,Enzyme,miR-124-3p; miR-30e-5p; miR-19b-3p; miR-19a-3p; miR-101b-3p; miR-30a-5p,increased total body fat amount; improved glucose tolerance
Emc3,ER membrane protein complex subunit 3,,miR-124-3p,increased total body fat amount
Emx1,Homeobox protein EMX1,Transcription regulator,miR-874-5p,increased lean body mass
Enox1,Ecto-NOX disulfide-thiol exchanger 1,Enzyme,miR-124-3p,increased total body fat amount
Entpd1,Ectonucleoside triphosphate diphosphohydrolase 1,Enzyme,miR-136-5p; miR-376a-3p,increased lean body mass
Epas1,Endothelial PAS domain-containing protein 1,Transcription regulator,miR-340-5p; miR-182-5p,increased total body fat amount
Epb41l5,Band 4.1-like protein 5,,miR-30e-5p; miR-184-3p; miR-145a-5p; miR-30a-5p,increased lean body mass
Epc1,Enhancer of polycomb homolog 1,Transcription regulator,miR-30e-5p; miR-101b-3p; miR-19b-3p; miR-19a-3p; miR-30a-5p,increased lean body mass
Erlin1,Erlin-1,,miR-30e-5p; miR-101b-3p; miR-30a-5p; miR-145a-5p,decreased lean body mass
Erp44,Endoplasmic reticulum resident protein 44,Enzyme,miR-340-5p; miR-183-5p,increased lean body mass
Esco1,N-acetyltransferase ESCO1,Enzyme,miR-30e-5p; miR-30a-5p,increased lean body mass
Exoc3,Exocyst complex component 3,Transporter,miR-136-5p,increased lean body mass
Extl1,Exostosin-like 1,Enzyme,miR-145a-5p,increased total body fat amount
F2,Prothrombin,Peptidase,miR-146a-5p,increased total body fat amount
Fadd,FAS-associated death domain protein,,miR-124-3p,increased total body fat amount
Fads1,Acyl-CoA,Enzyme,miR-133b-3p,improved glucose tolerance
Fam117b,Protein FAM117B,,miR-133b-3p; miR-30e-5p; miR-30a-5p,increased lean body mass
Fam120a,Constitutive coactivator of PPAR-gamma-like protein 1,,miR-136-5p,increased lean body mass
Fam83a,Protein FAM83A,,miR-133b-3p,impaired glucose tolerance
Fam83d,Protein FAM83D,,miR-19b-3p; miR-19a-3p,increased fasting circulating glucose level
Far2,Fatty acyl-CoA reductase 2,Enzyme,miR-19b-3p; miR-19a-3p,increased fasting circulating glucose level
Farp1,"FERM, ARHGEF and pleckstrin domain-containing protein 1",,miR-182-5p; miR-124-3p,increased fasting circulating glucose level
Fastk,Fas-activated serine/threonine kinase,Kinase,miR-19b-3p; miR-19a-3p,improved glucose tolerance
Fbxl3,F-box/LRR-repeat protein 3,Enzyme,miR-340-5p; miR-376b-5p; miR-101b-3p,decreased lean body mass
Fbxo11,F-box only protein 11,Enzyme,miR-376b-5p; miR-141-5p,increased lean body mass; increased fasting circulating glucose level
Fbxo30,F-box only protein 30,Enzyme,miR-340-5p; miR-133b-3p; miR-124-3p; miR-30e-5p; miR-19b-3p; miR-19a-3p; miR-30a-5p,improved glucose tolerance
Fgf10,Fibroblast growth factor 10,Growth factor,miR-19b-3p; miR-19a-3p,increased total body fat amount
Flnb,Filamin-B,,miR-182-5p; miR-145a-5p,increased total body fat amount
Fnbp1l,Formin-binding protein 1-like,,miR-182-5p; miR-124-3p,increased lean body mass
Fndc3a,Fibronectin type-III domain-containing protein 3A,,miR-30e-5p; miR-19b-3p; miR-19a-3p; miR-101b-3p; miR-30a-5p; miR-145a-5p,increased total body fat amount
Fndc4,Fibronectin type III domain-containing protein 4,,miR-337-3p,increased fasting circulating glucose level
Fnip1,Folliculin-interacting protein 1,,miR-196a-5p,improved glucose tolerance
Fos,Protein c-Fos,Transcription regulator,miR-101b-3p,increased total body fat amount
Foxo3,Forkhead box protein O3,Transcription regulator,miR-182-5p,impaired glucose tolerance
Foxp1,Forkhead box protein P1,Transcription regulator,miR-183-5p; miR-19b-3p; miR-19a-3p,increased lean body mass
Foxp2,Forkhead box protein P2,Transcription regulator,miR-133b-3p; miR-182-5p; miR-19b-3p; miR-19a-3p,increased body weight
Frmd5,FERM domain-containing protein 5,,miR-182-5p; miR-183-5p; miR-143-3p,increased total body fat amount
Fst,Follistatin,,miR-30e-5p; miR-30a-5p,increased total body fat amount
Fut4,"Alpha-(1,3)-fucosyltransferase 4",Enzyme,miR-337-3p,increased total body fat amount
Fyttd1,UAP56-interacting factor,,miR-182-5p,increased total body fat amount
Fzd3,Frizzled-3,G-protein coupled receptor,miR-340-5p; miR-30e-5p; miR-182-5p; miR-376b-5p; miR-30a-5p; miR-337-3p,increased total body fat amount; impaired glucose tolerance
G2e3,G2/M phase-specific E3 ubiquitin-protein ligase,Enzyme,miR-340-5p; miR-205-5p; miR-124-3p; miR-146a-5p; miR-30e-5p; miR-143-3p; miR-30a-5p,increased total body fat amount
Gabra2,Gamma-aminobutyric acid receptor subunit alpha-2,Ion channel,miR-196a-5p,increased lean body mass
Gad2,Glutamate decarboxylase 2,Enzyme,miR-182-5p,impaired glucose tolerance
Galnt18,Polypeptide N-acetylgalactosaminyltransferase 18,Enzyme,miR-340-5p,increased lean body mass
Gas7,Growth arrest-specific protein 7,,miR-196a-5p,increased total body fat amount
Gclc,Glutamate--cysteine ligase catalytic subunit,Enzyme,miR-101b-3p,increased lean body mass
Gda,Solute carrier family 25 member 16,Enzyme,miR-133b-3p; miR-19b-3p; miR-19a-3p; miR-141-5p,increased lean body mass
Gdap2,Ganglioside-induced differentiation-associated protein 2,,miR-124-3p; miR-146a-5p,increased lean body mass
Gdi2,Rab GDP dissociation inhibitor beta,,miR-136-5p; miR-101b-3p,impaired glucose tolerance
Gfpt2,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2,Enzyme,miR-30e-5p; miR-124-3p; miR-30a-5p,increased fasting circulating glucose level
Ghrh,Somatoliberin,,miR-184-3p,increased total body fat amount; impaired glucose tolerance
Gigyf2,GRB10-interacting GYF protein 2,,miR-30e-5p; miR-143-3p; miR-30a-5p,increased fasting circulating glucose level
Gmeb2,Glucocorticoid modulatory element-binding protein 2,Transcription regulator,miR-30e-5p; miR-30a-5p,increased lean body mass
Gmps,GMP synthase [glutamine-hydrolyzing],Enzyme,miR-146a-5p,increased total body fat amount
Gngt2,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2,Enzyme,miR-133b-3p,increased lean body mass; increased fasting circulating glucose level
Gpbp1,Vasculin,Transcription regulator,miR-145a-5p,improved glucose tolerance
Gpr22,G-protein coupled receptor 22,G-protein coupled receptor,miR-340-5p; miR-182-5p,increased lean body mass
Gpr83,G-protein coupled receptor 83,G-protein coupled receptor,miR-337-3p,impaired glucose tolerance
Gpx3,Glutathione peroxidase 3,Enzyme,miR-205-5p; miR-874-5p,impaired glucose tolerance
Greb1l,GREB1-like protein,,miR-101b-3p,increased total body fat amount
Grik4,"Glutamate receptor ionotropic, kainate 4",Ion channel,miR-874-5p,increased total body fat amount; impaired glucose tolerance
Grm3,Metabotropic glutamate receptor 3,G-protein coupled receptor,miR-30e-5p; miR-30a-5p,increased total body fat amount; impaired glucose tolerance
Gtf2a1,Transcription initiation factor IIA subunit 1,Transcription regulator,miR-196a-5p; miR-30e-5p; miR-124-3p; miR-19b-3p; miR-19a-3p; miR-30a-5p; miR-141-5p,increased total body fat amount
Gulo,L-gulonolactone oxidase,Enzyme,miR-143-3p,decreased lean body mass
Gys2,"Glycogen [starch] synthase, liver",Enzyme,miR-182-5p,increased total body fat amount
Gzf1,GDNF-inducible zinc finger protein 1,Transcription regulator,miR-124-3p; miR-30e-5p; miR-30a-5p; miR-874-5p,increased total body fat amount
Hbs1l,HBS1-like protein,Translation regulator,miR-30e-5p; miR-376b-5p; miR-19b-3p; miR-19a-3p; miR-30a-5p,improved glucose tolerance
Hdgfl3,Hepatoma-derived growth factor-related protein 3,,miR-101b-3p,increased total body fat amount
Heca,"Hdc homolog, cell cycle regulator",,miR-376b-5p; miR-146a-5p,increased total body fat amount
Herc3,Hect domain and RLD 3,Enzyme,miR-205-5p; miR-340-5p,increased lean body mass
Hipk3,Homeodomain-interacting protein kinase 3,Kinase,miR-205-5p; miR-124-3p; miR-146a-5p; miR-19b-3p; miR-19a-3p,increased fasting circulating glucose level
Hsf5,Heat shock factor protein 5,Transcription regulator,miR-205-5p; miR-340-5p; miR-337-3p,increased total body fat amount; increased fasting circulating glucose level
Hspb3,Heat shock protein beta-3,,miR-141-5p,increased fasting circulating glucose level
Hyal6,Hyaluronidase,,miR-340-5p,impaired glucose tolerance
Ide,Insulin-degrading enzyme,Peptidase,miR-340-5p; miR-30e-5p; miR-143-3p; miR-30a-5p,increased lean body mass
Ifi205,Interferon-activable protein 205-A,,miR-101b-3p,increased fasting circulating glucose level
Ifnar1,Interferon alpha/beta receptor 1,Transmembrane receptor,miR-145a-5p,improved glucose tolerance
Igsf11,Immunoglobulin superfamily member 11,,miR-141-5p,increased fasting circulating glucose level
Il31ra,Interleukin-31 receptor subunit alpha,Transmembrane receptor,miR-124-3p; miR-296-5p,increased total body fat amount
Immp2l,Mitochondrial inner membrane protease subunit 2,Peptidase,miR-141-5p,decreased lean body mass
Impact,Protein IMPACT,,miR-30e-5p; miR-30a-5p,increased fasting circulating glucose level
Ing5,Inhibitor of growth protein 5,,miR-196a-5p,impaired glucose tolerance
Ino80d,INO80 complex subunit D,,miR-340-5p; miR-30e-5p; miR-146a-5p; miR-124-3p; miR-182-5p; miR-101b-3p; miR-143-3p; miR-30a-5p; miR-141-5p,increased lean body mass
Inpp5a,Inositol polyphosphate-5-phosphatase A,Phosphatase,miR-340-5p; miR-182-5p,increased total body fat amount
Insig1,Insulin-induced gene 1 protein,,miR-182-5p; miR-145a-5p,impaired glucose tolerance
Ipo11,Importin-11,,miR-296-5p,increased fasting circulating glucose level
Irak2,Interleukin-1 receptor-associated kinase-like 2,Kinase,miR-136-5p,increased total body fat amount
Itch,E3 ubiquitin-protein ligase Itchy,Enzyme,miR-19b-3p; miR-19a-3p,increased lean body mass
Jakmip2,Janus kinase and microtubule interacting protein 2,,miR-30e-5p; miR-30a-5p,increased circulating glucose level
Jmjd4,2-oxoglutarate and iron-dependent oxygenase JMJD4,Enzyme,miR-143-3p,increased lean body mass
Kat2b,Histone acetyltransferase KAT2B,Enzyme,miR-205-5p; miR-340-5p,impaired glucose tolerance
Kbtbd8,Kelch repeat and BTB domain-containing protein 8,,miR-30e-5p; miR-19b-3p; miR-19a-3p; miR-30a-5p,increased total body fat amount
Kctd7,BTB/POZ domain-containing protein KCTD7,Ion channel,miR-30e-5p; miR-30a-5p,increased fasting circulating glucose level
Kdm3a,Lysine-specific demethylase 3A,Transcription regulator,miR-30e-5p; miR-136-5p; miR-30a-5p,impaired glucose tolerance
Kdm4c,Lysine-specific demethylase 4C,Enzyme,miR-340-5p,increased lean body mass
Klhdc10,Kelch domain-containing protein 10,,miR-133b-3p; miR-337-3p,increased circulating glucose level
Klhl42,Kelch-like protein 42,Enzyme,miR-146a-5p; miR-124-3p; miR-19b-3p; miR-19a-3p; miR-296-5p,increased lean body mass
Kmt2a,Histone-lysine N-methyltransferase 2A,Enzyme,miR-205-5p; miR-182-5p; miR-136-5p; miR-376a-3p,increased lean body mass
Krt75,"Keratin, type II cytoskeletal 75",,miR-182-5p; miR-145a-5p,increased total body fat amount
Laptm4a,Lysosomal-associated transmembrane protein 4A,,miR-19b-3p; miR-19a-3p,increased fasting circulating glucose level
Lcp1,Plastin-2,,miR-124-3p,increased fasting circulating glucose level
Lepr,Leptin receptor gene-related protein,Transmembrane receptor,miR-30e-5p; miR-30a-5p,increased total body fat amount; increased circulating glucose level
Leprot,Leptin receptor gene-related protein (Endospanin-1) (OB-R gene-related protein) (OB-RGRP),,miR-340-5p,increased lean body mass
Letmd1,LETM1 domain-containing protein 1,,miR-101b-3p,increased total body fat amount; increased fasting circulating glucose level
Lipe,Hormone-sensitive lipase,Enzyme,miR-124-3p,increased circulating insulin level
Lmna,Prelamin-A/C [Cleaved into: Lamin-A/C],,miR-205-5p; miR-124-3p,improved glucose tolerance
Lmod3,Leiomodin-3,,miR-205-5p,increased total body fat amount; improved glucose tolerance; increased circulating insulin level
Lonrf2,LON peptidase N-terminal domain and ring finger 2,,miR-182-5p; miR-145a-5p,impaired glucose tolerance
Lpar1,Lysophosphatidic acid receptor 1,G-protein coupled receptor,miR-205-5p,improved glucose tolerance
Lpp,Lipoma-preferred partner homolog,,miR-124-3p; miR-30e-5p; miR-182-5p; miR-19b-3p; miR-19a-3p; miR-30a-5p,abnormal lean body mass
Lrrc15,Leucine-rich repeat-containing protein 15,,miR-146a-5p,improved glucose tolerance
Lrrk1,Leucine-rich repeat serine/threonine-protein kinase 1,Kinase,miR-182-5p; miR-19b-3p; miR-19a-3p,increased total body fat amount
Macrod2,ADP-ribose glycohydrolase MACROD2,Enzyme,miR-340-5p,increased fasting circulating glucose level
