Gene,GeneName,Type,miRNA,Phenotypes
Magi2,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2",Enzyme,miR-205-5p; miR-376b-5p; miR-30e-5p; miR-19b-3p; miR-19a-3p; miR-101b-3p; miR-145a-5p; miR-30a-5p,increased body weight
Map3k1,Mitogen-activated protein kinase kinase kinase 1,Kinase,miR-340-5p; miR-196a-5p; miR-124-3p; miR-136-5p; miR-19b-3p; miR-19a-3p,increased lean body mass
Mbd6,Methyl-CpG-binding domain protein 6,,miR-19b-3p; miR-19a-3p; miR-337-3p; miR-874-5p,increased fasting circulating glucose level
Mcmbp,Mini-chromosome maintenance complex-binding protein,,miR-340-5p,decreased lean body mass
Mcu,"Calcium uniporter protein, mitochondrial",Ion channel,miR-124-3p,increased total body fat amount; increased fasting circulating glucose level
Me1,NADP-dependent malic enzyme,Enzyme,miR-30e-5p; miR-30a-5p,improved glucose tolerance
Mecom,Histone-lysine N-methyltransferase MECOM,Transcription regulator,miR-133b-3p; miR-182-5p; miR-19b-3p; miR-19a-3p,increased lean body mass
Mical2,[F-actin]-monooxygenase MICAL2,Enzyme,miR-340-5p; miR-205-5p; miR-124-3p; miR-30e-5p; miR-183-5p; miR-30a-5p,decreased lean body mass
Mindy2,Ubiquitin carboxyl-terminal hydrolase MINDY-2,Transporter,miR-101b-3p,increased total body fat amount
Mlec,Malectin,,miR-874-5p,increased lean body mass
Mllt3,Protein AF-9,Transcription regulator,miR-133b-3p; miR-124-3p; miR-136-5p,increased total body fat amount
Mmaa,"Methylmalonic aciduria type A homolog, mitochondrial",Enzyme,miR-340-5p,increased total body fat amount; impaired glucose tolerance
Mpdz,Multiple PDZ domain protein,,miR-101b-3p; miR-143-3p,improved glucose tolerance
Mpzl2,Myelin protein zero-like protein 2,,miR-101b-3p; miR-145a-5p,increased total body fat amount
Msi2,RNA-binding protein Musashi homolog 2,,miR-205-5p; miR-30e-5p; miR-143-3p; miR-30a-5p,increased total body fat amount
Mta1,Metastasis-associated protein MTA1,Transcription regulator,miR-30e-5p; miR-30a-5p,increased total body fat amount
Mturn,Maturin,,miR-182-5p,increased lean body mass
Myh10,Myosin-10,Enzyme,miR-124-3p,increased fasting circulating glucose level
Mylk4,Myosin light chain kinase family member 4,Kinase,miR-124-3p; miR-296-5p; miR-141-5p,increased total body fat amount
Myo6,Unconventional myosin-VI,,miR-340-5p; miR-143-3p,increased lean body mass
Mysm1,Deubiquitinase MYSM1,Enzyme,miR-340-5p,increased total body fat amount
Naa10,N-alpha-acetyltransferase 10,Enzyme,miR-337-3p,increased lean body mass; improved glucose tolerance
Nacc1,Nucleus accumbens-associated protein 1,Transcription regulator,miR-101b-3p,impaired glucose tolerance
Nadk,NAD kinase,Kinase,miR-30e-5p; miR-30a-5p,increased lean body mass
Natd1,increased lean body mass,,miR-124-3p,Lean/Body weight
Nbea,Neurobeachin,,miR-19b-3p; miR-19a-3p,increased total body fat amount
Nbr1,Next to BRCA1 gene 1 protein,,miR-340-5p,impaired glucose tolerance
Ncald,Neurocalcin-delta,,miR-133b-3p; miR-182-5p; miR-30e-5p; miR-19a-3p; miR-19b-3p; miR-30a-5p,increased circulating insulin level
Ncaph,Condensin complex subunit 2,,miR-376b-5p,increased lean body mass
Ncoa1,Nuclear receptor coactivator 1,Transcription regulator,miR-340-5p,increased lean body mass
Ncor2,Nuclear receptor corepressor 2,Transcription regulator,miR-184-3p,increased lean body mass
Nedd4,E3 ubiquitin-protein ligase NEDD4,Enzyme,miR-30e-5p; miR-30a-5p,impaired glucose tolerance
Neurl4,Neuralized-like protein 4,,miR-296-5p,increased lean body mass
Nexmif,Neurite extension and migration factor,Enzyme,miR-340-5p; miR-182-5p; miR-143-3p,increased total body fat amount
Nfat5,Nuclear factor of activated T-cells 5,Transcription regulator,miR-340-5p; miR-205-5p; miR-30e-5p; miR-146a-5p; miR-182-5p; miR-124-3p; miR-30a-5p; miR-337-3p,improved glucose tolerance
Nhlh2,Helix-loop-helix protein 2,Transcription regulator,miR-340-5p; miR-376b-5p; miR-30e-5p; miR-30a-5p,increased total body fat amount; impaired glucose tolerance
Nisch,Nischarin,,miR-136-5p,impaired glucose tolerance
Nnt,"NAD(P) transhydrogenase, mitochondrial",Enzyme,miR-136-5p,increased circulating glucose level
Notch3,Neurogenic locus notch homolog protein 3,Transcription regulator,miR-340-5p,improved glucose tolerance
Nr2c2,Nuclear receptor subfamily 2 group C member 2,Ligand-dependent nuclear receptor,miR-196a-5p; miR-340-5p,impaired glucose tolerance
Nras,GTPase NRas,Enzyme,miR-196a-5p; miR-124-3p; miR-145a-5p,increased circulating glucose level
Nrcam,Neuronal cell adhesion molecule,,miR-340-5p; miR-182-5p,increased fasting circulating glucose level
Nrsn1,Neurensin-1,,miR-143-3p,increased fasting circulating glucose level
Nsd3,Histone-lysine N-methyltransferase NSD3,Transcription regulator,miR-182-5p; miR-30e-5p; miR-19b-3p; miR-19a-3p; miR-30a-5p,increased total body fat amount
Nsun5,28S rRNA,Enzyme,miR-337-3p,increased fasting circulating glucose level
Ntrk2,BDNF/NT-3 growth factors receptor,Kinase,miR-196a-5p; miR-124-3p,increased lean body mass
Nucks1,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,Transcription regulator,miR-340-5p,increased lean body mass
Nudt13,"NAD(P)H pyrophosphatase NUDT13, mitochondrial",Enzyme,miR-182-5p,increased fasting circulating glucose level
Nup205,Nucleoporin 205,,miR-340-5p,increased total body fat amount
Nup37,Nucleoporin Nup37,Transporter,miR-101b-3p,increased lean body mass
Nxn,Nucleoredoxin,Enzyme,miR-124-3p,increased fasting circulating glucose level
Oaf,Out at first protein homolog,,miR-124-3p; miR-136-5p,increased lean body mass
Ogfod1,Prolyl 3-hydroxylase OGFOD1,Enzyme,miR-30e-5p; miR-30a-5p,increased lean body mass
Osbpl11,Oxysterol-binding protein-related protein 11,,miR-124-3p,increased total body fat amount; improved glucose tolerance
Osbpl3,Oxysterol-binding protein-related protein 3,,miR-340-5p; miR-124-3p,increased lean body mass
Pacs2,Phosphofurin acidic cluster sorting protein 2,,miR-337-3p,increased total body fat amount
Palm,Lens fiber major intrinsic protein,,miR-124-3p,impaired glucose tolerance
Papola,Poly(A) polymerase alpha,Enzyme,miR-30e-5p; miR-30a-5p,decreased lean body mass
Parp1,Poly [ADP-ribose] polymerase 1,Enzyme,miR-146a-5p,increased fasting circulating glucose level
Pbx3,Pre-B-cell leukemia transcription factor 3,Transcription regulator,miR-196a-5p; miR-101b-3p,increased total body fat amount
Pcdh18,Protocadherin 18,,miR-182-5p; miR-101b-3p,increased lean body mass
Pcdh8,Protocadherin-8,,miR-124-3p; miR-182-5p,impaired glucose tolerance
Pcsk5,Proprotein convertase subtilisin/kexin type 5,Peptidase,miR-19b-3p; miR-19a-3p; miR-145a-5p,increased lean body mass; increased fasting circulating glucose level
Pcx,"Pyruvate carboxylase, mitochondrial",,miR-182-5p; miR-143-3p,increased total body fat amount
Pdcd6ip,Programmed cell death 6-interacting protein,,miR-141-5p,abnormal lean body mass
Pde1a,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",Enzyme,miR-141-5p,increased lean body mass
Pdzd8,PDZ domain-containing protein 8,,miR-182-5p,increased lean body mass
Peak1,Inactive tyrosine-protein kinase PEAK1,Kinase,miR-133b-3p; miR-124-3p; miR-145a-5p,increased lean body mass
Peli1,E3 ubiquitin-protein ligase pellino homolog 1,Enzyme,miR-340-5p; miR-30e-5p; miR-30a-5p,increased lean body mass; improved glucose tolerance
Per2,Period circadian protein homolog 2,Transcription regulator,miR-30e-5p; miR-30a-5p,increased lean body mass
Pfkfb2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",Enzyme,miR-101b-3p; miR-337-3p,increased fasting circulating glucose level
Pfn1,Profilin-1,,miR-182-5p,improved glucose tolerance
Phf20l1,PHD finger protein 20-like protein 1,,miR-182-5p; miR-101b-3p,increased lean body mass
Phf8,Histone lysine demethylase PHF8,Enzyme,miR-337-3p,improved glucose tolerance
Pias2,E3 SUMO-protein ligase PIAS2,Transcription regulator,miR-205-5p; miR-183-5p,increased total body fat amount; increased circulating insulin level
Pip4k2c,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma,Kinase,miR-124-3p,increased fasting circulating glucose level
Pitpnc1,Cytoplasmic phosphatidylinositol transfer protein 1,Transporter,miR-340-5p,increased lean body mass; improved glucose tolerance
Pitpnm1,Membrane-associated phosphatidylinositol transfer protein 1,Transporter,miR-296-5p,increased lean body mass
Pld5,Inactive phospholipase D5,,miR-340-5p,decreased lean body mass
Plxnb2,Plexin-B2,Transmembrane receptor,miR-124-3p,increased lean body mass
Pnisr,Arginine/serine-rich protein PNISR,,miR-30e-5p; miR-30a-5p,decreased lean body mass
Pold3,DNA polymerase delta subunit 3,Transcription regulator,miR-143-3p,increased circulating insulin level
Pparg,Peroxisome proliferator-activated receptor gamma,Ligand-dependent nuclear receptor,miR-340-5p,increased total body fat amount; increased fasting circulating glucose level
Ppp2r1b,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,Phosphatase,miR-30e-5p; miR-124-3p; miR-143-3p; miR-30a-5p,increased fasting circulating glucose level
Ppp2r2a,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,Phosphatase,miR-183-5p; miR-136-5p; miR-101b-3p,decreased lean body mass
Ppp2r5c,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform,,miR-183-5p,increased total body fat amount
Ppp3ca,Protein phosphatase 3 catalytic subunit alpha,Phosphatase,miR-205-5p; miR-30e-5p; miR-182-5p; miR-145a-5p; miR-30a-5p; miR-874-5p,increased body weight
Ppp4r3b,Serine/threonine-protein phosphatase 4 regulatory subunit 3B,,miR-101b-3p,impaired glucose tolerance
Ppp5c,Serine/threonine-protein phosphatase 5,Phosphatase,miR-296-5p,increased lean body mass
Prc1,Protein regulator of cytokinesis 1,,miR-19b-3p; miR-19a-3p,increased total body fat amount
Prg4,Phospholipid phosphatase-related protein type 2,,miR-146a-5p,improved glucose tolerance
Prkch,Protein kinase C eta type,Kinase,miR-183-5p,increased lean body mass
Prkd1,Serine/threonine-protein kinase D1,Kinase,miR-124-3p,increased circulating insulin level
Prob1,Proline rich basic protein 1,,miR-337-3p,increased total body fat amount
Prss35,Inactive serine protease 35,Peptidase,miR-19b-3p; miR-19a-3p,impaired glucose tolerance
Pskh1,Serine/threonine-protein kinase H1,Kinase,miR-124-3p,improved glucose tolerance
Pstpip2,Proline-serine-threonine phosphatase-interacting protein 2,,miR-141-5p,improved glucose tolerance
Pth1r,Parathyroid hormone/parathyroid hormone-related peptide receptor,G-protein coupled receptor,miR-133b-3p,increased total body fat amount
Pttg1ip,Pituitary tumor-transforming gene 1 protein-interacting protein,,miR-124-3p; miR-184-3p,increased total body fat amount
Pum2,Pumilio homolog 2,,miR-340-5p,increased lean body mass
Pxk,PX domain-containing protein kinase-like protein,Kinase,miR-874-5p,increased total body fat amount
Rab11a,Ras-related protein Rab-11A,Enzyme,miR-340-5p; miR-124-3p,improved glucose tolerance
Rab11fip1,Rab11 family-interacting protein 1,,miR-205-5p; miR-196a-5p; miR-124-3p,increased fasting circulating glucose level
Rab15,Ras-related protein Rab-15,Enzyme,miR-30e-5p; miR-30a-5p,decreased circulating insulin level
Rab23,Ras-related protein Rab-23,Enzyme,miR-30e-5p; miR-182-5p; miR-30a-5p,decreased lean body mass
Rab28,Ras-related protein Rab-28,Enzyme,miR-101b-3p,increased total body fat amount
Rab8a,Ras-related protein Rab-8A,Enzyme,miR-30e-5p; miR-30a-5p,decreased lean body mass
Rabl6,Rab-like protein 6,,miR-30e-5p; miR-30a-5p,increased lean body mass
Ranbp10,Ran-binding protein 10,,miR-124-3p,increased circulating glucose level
Rbl1,Retinoblastoma-like protein 1,Transcription regulator,miR-182-5p; miR-124-3p; miR-146a-5p,improved glucose tolerance
Rbms1,"RNA-binding motif, single-stranded-interacting protein 1",,miR-340-5p; miR-124-3p; miR-19b-3p; miR-19a-3p,decreased lean body mass; impaired glucose tolerance
Rbmx,"RNA-binding motif protein, X chromosome",,miR-133b-3p,increased circulating insulin level
Rbpj,Recombining binding protein suppressor of hairless,Transcription regulator,miR-133b-3p; miR-196a-5p,improved glucose tolerance
Rbpms2,RNA-binding protein with multiple splicing 2,,miR-205-5p,increased total body fat amount
Reg3d,Regenerating islet-derived 3 delta,,miR-143-3p,increased lean body mass
Rfx6,DNA-binding protein RFX6,Enzyme,miR-340-5p; miR-30e-5p; miR-30a-5p,impaired glucose tolerance
Rhbdd1,Rhomboid-related protein 4,Peptidase,miR-124-3p,decreased lean body mass
Rilpl1,RILP-like protein 1,,miR-124-3p,increased fasting circulating glucose level
Rilpl2,RILP-like protein 2,,miR-340-5p,increased fasting circulating glucose level
Rnf169,E3 ubiquitin-protein ligase RNF169,,miR-30e-5p; miR-183-5p; miR-146a-5p; miR-376b-5p; miR-30a-5p,increased lean body mass
Rnf216,E3 ubiquitin-protein ligase RNF216,Enzyme,miR-124-3p; miR-19b-3p; miR-19a-3p; miR-145a-5p,increased fasting circulating glucose level
Rrbp1,Ribosome-binding protein 1,,miR-124-3p,increased lean body mass
Rreb1,Ras-responsive element-binding protein 1,Transcription regulator,miR-124-3p; miR-183-5p; miR-145a-5p; miR-141-5p; miR-874-5p,increased lean body mass
Rspo1,R-spondin-1,,miR-145a-5p,increased lean body mass
Rspo4,R-spondin-4,,miR-296-5p,increased fasting circulating glucose level
Rsu1,Ras suppressor protein 1,,miR-124-3p; miR-182-5p,increased total body fat amount
Rufy2,RUN and FYVE domain-containing protein 2,,miR-205-5p; miR-146a-5p; miR-124-3p; miR-145a-5p,impaired glucose tolerance
Runx2,Runt-related transcription factor 2,Transcription regulator,miR-205-5p; miR-30e-5p; miR-124-3p; miR-19b-3p; miR-19a-3p; miR-30a-5p,increased lean body mass
Rwdd2a,RWD domain-containing protein 2A,,miR-133b-3p,decreased lean body mass
S100b,Protein S100-B,,miR-337-3p,increased circulating glucose level
Sap30,Histone deacetylase complex subunit SAP30,Transcription regulator,miR-30e-5p; miR-30a-5p,increased circulating glucose level
Scarb2,Lysosome membrane protein 2,Transmembrane receptor,miR-340-5p,increased lean body mass
Scml4,Sex comb on midleg-like protein 4,,miR-182-5p,increased circulating glucose level
Sdc1,Syndecan-1,Enzyme,miR-19b-3p; miR-19a-3p,improved glucose tolerance
Sebox,Homeobox protein SEBOX,Transcription regulator,miR-19b-3p; miR-19a-3p,increased fasting circulating glucose level
Sec23a,Protein transport protein Sec23A,Transporter,miR-30e-5p; miR-30a-5p,increased lean body mass
Sec24d,"SEC24 homolog D, COPII coat complex component",Transporter,miR-30e-5p; miR-30a-5p,impaired glucose tolerance
Sec61b,Protein transport protein Sec61 subunit beta,Transporter,miR-133b-3p,increased circulating insulin level
Secisbp2l,Selenocysteine insertion sequence-binding protein 2-like,,miR-340-5p; miR-376b-5p,increased lean body mass
Selenok,Selenoprotein K,,miR-340-5p,increased total body fat amount
Sema4d,Semaphorin-4D,Transmembrane receptor,miR-340-5p,increased total body fat amount
Serinc2,Serine incorporator 2,Transporter,miR-124-3p,impaired glucose tolerance
Sfrp2,Secreted frizzled-related protein 2,Transmembrane receptor,miR-101b-3p,decreased lean body mass
Sfxn1,Sideroflexin-1,Transporter,miR-340-5p; miR-376b-5p; miR-145a-5p,increased fasting circulating glucose level
Sfxn3,Sideroflexin-3,Transporter,miR-133b-3p,increased circulating insulin level
Sgms1,Phosphatidylcholine:ceramide cholinephosphotransferase 1,Enzyme,miR-205-5p; miR-124-3p; miR-182-5p,increased lean body mass
Shisa7,Protein shisa-7,,miR-183-5p,increased lean body mass
Shisal1,Protein shisa-like-1,,miR-874-5p,increased fasting circulating glucose level
Shtn1,Shootin-1,,miR-19b-3p; miR-19a-3p,decreased lean body mass
Sik3,Serine/threonine-protein kinase SIK3,Kinase,miR-340-5p; miR-183-5p,increased lean body mass; improved glucose tolerance
Sirpa,Tyrosine-protein phosphatase non-receptor type substrate 1,Phosphatase,miR-145a-5p,impaired glucose tolerance
Siva1,Apoptosis regulatory protein Siva,,miR-340-5p; miR-19b-3p; miR-19a-3p,increased fasting circulating glucose level
Skor1,SKI family transcriptional corepressor 1,Transcription regulator,miR-101b-3p,increased circulating glucose level
Slc1a4,Neutral amino acid transporter A,Transporter,miR-124-3p; miR-143-3p; miR-874-5p,improved glucose tolerance
Slc20a2,Sodium-dependent phosphate transporter 2,Transporter,miR-340-5p; miR-101b-3p,increased total body fat amount; impaired glucose tolerance
Slc24a3,Sodium/potassium/calcium exchanger 3,Transporter,miR-19b-3p; miR-19a-3p,increased lean body mass
Slc25a15,Mitochondrial ornithine transporter 1,Transporter,miR-136-5p,increased total body fat amount
Slc25a21,Mitochondrial 2-oxodicarboxylate carrier,Transporter,miR-340-5p,increased total body fat amount
Slc25a46,Mitochondrial outer membrane protein SLC25A46,,miR-196a-5p,increased circulating glucose level
Slc26a2,Sulfate transporter,Transporter,miR-124-3p,impaired glucose tolerance
Slc2a13,Proton myo-inositol cotransporter,Transporter,miR-340-5p; miR-101b-3p,impaired glucose tolerance
Slc30a7,Zinc transporter 7,Transporter,miR-133b-3p; miR-340-5p; miR-124-3p; miR-30e-5p; miR-30a-5p,increased total body fat amount; impaired glucose tolerance
Slc40a1,Ferroportin,Transporter,miR-124-3p,increased total body fat amount
Slc50a1,Sugar transporter SWEET1,Transporter,miR-133b-3p; miR-124-3p,increased fasting circulating glucose level
Slc6a2,Sodium-dependent noradrenaline transporter,Transporter,miR-143-3p,impaired glucose tolerance
Slc7a11,Cystine/glutamate transporter,Transporter,miR-196a-5p; miR-30e-5p; miR-143-3p; miR-30a-5p,increased circulating glucose level
Slitrk1,SLIT and NTRK-like protein 1,,miR-340-5p; miR-183-5p; miR-376b-5p,improved glucose tolerance
Smagp,Small cell adhesion glycoprotein,,miR-874-5p,increased lean body mass
Smc6,Structural maintenance of chromosomes protein 6,,miR-182-5p,increased total body fat amount
Snap47,Synaptosomal-associated protein 47,,miR-182-5p,decreased lean body mass
Spn,Leukosialin,Transmembrane receptor,miR-133b-3p; miR-184-3p,increased total body fat amount
Spryd3,SPRY domain containing 3,,miR-19b-3p; miR-19a-3p,increased circulating insulin level
Sptssb,Serine palmitoyltransferase small subunit B,Enzyme,miR-30e-5p; miR-30a-5p,increased fasting circulating glucose level
Ss18,Protein SSXT,Transcription regulator,miR-183-5p; miR-101b-3p,increased circulating glucose level
Ssbp2,Single-stranded DNA-binding protein 2,Transcription regulator,miR-340-5p,increased lean body mass
Ssh2,Protein phosphatase Slingshot homolog 2,Phosphatase,miR-30e-5p; miR-145a-5p; miR-30a-5p,increased lean body mass
Sst,Somatostatin [Cleaved into: Antrin; Somatostatin-28; Somatostatin-14; Neuronostatin,,miR-101b-3p,increased total body fat amount
Steap3,Metalloreductase STEAP3,Transporter,miR-124-3p,impaired glucose tolerance
Stim2,Stromal interaction molecule 2,Transporter,miR-30e-5p; miR-30a-5p; miR-145a-5p,increased lean body mass
Stk38,Serine/threonine-protein kinase 38,Kinase,miR-124-3p; miR-19b-3p; miR-19a-3p,increased fasting circulating glucose level
Stmn4,Stathmin-4,,miR-337-3p,improved glucose tolerance
Strn3,Striatin-3,Transcription regulator,miR-340-5p; miR-143-3p; miR-101b-3p; miR-19b-3p; miR-19a-3p,increased fasting circulating glucose level
Stx16,Syntaxin-16,Transporter,miR-340-5p; miR-101b-3p,increased lean body mass; improved glucose tolerance
Stxbp1,Syntaxin-binding protein 1,Transporter,miR-146a-5p,impaired glucose tolerance
Sun1,SUN domain-containing protein 1,,miR-340-5p; miR-145a-5p,increased total body fat amount
Surf4,Surfeit locus protein 4,,miR-30e-5p; miR-30a-5p,impaired glucose tolerance
Suv39h2,Histone-lysine N-methyltransferase SUV39H2,Transcription regulator,miR-340-5p; miR-124-3p,increased fasting circulating glucose level
Swt1,Transcriptional protein SWT1,,miR-30e-5p; miR-30a-5p,increased total body fat amount; impaired glucose tolerance
Syk,Tyrosine-protein kinase SYK,Kinase,miR-143-3p; miR-874-5p,increased total body fat amount
Syncrip,Heterogeneous nuclear ribonucleoprotein Q,,miR-182-5p; miR-101b-3p,impaired glucose tolerance
Syne2,Nesprin-2,,miR-182-5p,increased lean body mass
Syt1,Synaptotagmin-1,Transporter,miR-133b-3p; miR-146a-5p; miR-183-5p; miR-19b-3p; miR-19a-3p,decreased lean body mass
Sytl4,Synaptotagmin-like protein 4,Transporter,miR-30e-5p; miR-136-5p; miR-337-3p; miR-30a-5p,improved glucose tolerance
Taf15,TATA-box binding protein associated factor 15,,miR-182-5p,increased fasting circulating glucose level
Tanc2,Protein TANC2,Transcription regulator,miR-340-5p; miR-146a-5p; miR-376b-5p; miR-143-3p; miR-296-5p,impaired glucose tolerance
Tbc1d2b,TBC1 domain family member 2B,,miR-30e-5p; miR-337-3p,increased lean body mass
Tcf20,Transcription factor 20,Transcription regulator,miR-143-3p,increased total body fat amount; increased circulating insulin level
Tcf7l2,Transcription factor 7-like 2,Transcription regulator,miR-182-5p,increased lean body mass
Tead1,Transcriptional enhancer factor TEF-1,Transcription regulator,miR-205-5p; miR-133b-3p; miR-124-3p; miR-101b-3p,increased total body fat amount; impaired glucose tolerance
Tenm4,Teneurin-4,,miR-182-5p,decreased lean body mass
Tex261,Protein TEX261,,miR-124-3p,increased lean body mass
Tfap4,Transcription factor AP4,Transcription regulator,miR-124-3p; miR-101b-3p,increased lean body mass
Tfeb,Transcription factor EB,Transcription regulator,miR-124-3p,increased total body fat amount
Thsd7a,"Thrombospondin type-1 domain-containing protein 7A [Cleaved into: Thrombospondin type-1 domain-containing protein 7A, soluble form]",,miR-340-5p; miR-101b-3p; miR-141-5p,decreased lean body mass
Tifab,TRAF-interacting protein with FHA domain-containing protein B,,miR-874-5p,increased lean body mass
Tle4,Transducin-like enhancer protein 4,Transcription regulator,miR-182-5p,increased total body fat amount; impaired glucose tolerance
Tlk1,Serine/threonine-protein kinase tousled-like 1,Kinase,miR-340-5p,impaired glucose tolerance
Tmem108,Transmembrane protein 108,,miR-340-5p,increased total body fat amount
Tmem115,Transmembrane protein 115,,miR-182-5p,increased lean body mass
Tmem129,E3 ubiquitin-protein ligase TM129,Enzyme,miR-124-3p,increased total body fat amount
Tmem161b,Transmembrane protein 161B,,miR-376b-5p; miR-136-5p,increased total body fat amount
Tmem240,Transmembrane protein 240,,miR-340-5p; miR-874-5p,increased fasting circulating glucose level
Tmem248,Transmembrane protein 248,,miR-340-5p,increased lean body mass
Tmem260,Protein O-mannosyl-transferase TMEM260,Enzyme,miR-182-5p,increased lean body mass
Tmem9b,Transmembrane protein 9B,,miR-19b-3p; miR-19a-3p; miR-145a-5p,increased total body fat amount
Tmprss2,Transmembrane protease serine 2,Peptidase,miR-196a-5p,improved glucose tolerance
Tnks,Poly [ADP-ribose] polymerase tankyrase-1,Enzyme,miR-19b-3p; miR-19a-3p,increased lean body mass; increased fasting circulating glucose level
Tns3,Tensin-3,Phosphatase,miR-182-5p,increased fasting circulating glucose level
Topors,E3 ubiquitin-protein ligase Topors,Enzyme,miR-340-5p,increased total body fat amount; increased circulating glucose level
Trappc10,Trafficking protein particle complex subunit 10,,miR-124-3p,increased total body fat amount; increased circulating insulin level
Trim35,E3 ubiquitin-protein ligase TRIM35,,miR-205-5p,increased total body fat amount
Trim37,E3 ubiquitin-protein ligase TRIM37,Enzyme,miR-182-5p,increased total body fat amount; improved glucose tolerance
Trim39,E3 ubiquitin-protein ligase TRIM39,,miR-124-3p,increased fasting circulating glucose level
Trio,Triple functional domain protein,Kinase,miR-182-5p; miR-30e-5p; miR-101b-3p; miR-145a-5p; miR-30a-5p,impaired glucose tolerance
Tspan13,Tetraspanin-13,,miR-143-3p; miR-141-5p,increased total body fat amount
Tspan18,Tetraspanin-18,,miR-196a-5p; miR-184-3p; miR-874-5p,increased fasting circulating glucose level
Tspan9,Tetraspanin-9,,miR-182-5p,increased total body fat amount
Ttbk1,Tau-tubulin kinase 2,Kinase,miR-30e-5p; miR-30a-5p,increased lean body mass; increased circulating glucose level
Ttc7,Tetratricopeptide repeat protein 7A,,miR-124-3p,increased total body fat amount
Tulp3,Tubby-related protein 3,,miR-124-3p,increased total body fat amount; impaired glucose tolerance
Twf1,Twinfilin-1,Kinase,miR-30e-5p; miR-30a-5p,increased lean body mass
Ube2d3,Ubiquitin-conjugating enzyme E2 D3,Enzyme,miR-30e-5p; miR-19b-3p; miR-19a-3p; miR-145a-5p; miR-30a-5p,decreased lean body mass
Ube2j1,Ubiquitin-conjugating enzyme E2 J1,Enzyme,miR-30e-5p; miR-30a-5p,increased total body fat amount
Ube2w,Ubiquitin-conjugating enzyme E2 W,Enzyme,miR-30e-5p; miR-145a-5p; miR-30a-5p,increased fasting circulating glucose level
Ube3a,Ubiquitin-protein ligase E3A,Enzyme,miR-101b-3p; miR-141-5p,increased total body fat amount
Ube3c,Ubiquitin-protein ligase E3C,Enzyme,miR-30e-5p; miR-30a-5p,increased total body fat amount
Ube4a,Ubiquitin conjugation factor E4 A,Enzyme,miR-340-5p; miR-124-3p,increased total body fat amount; impaired glucose tolerance
Uchl4,Ubiquitin carboxyl-terminal hydrolase isozyme L4,Peptidase,miR-101b-3p,increased fasting circulating glucose level
Ufm1,Ubiquitin-fold modifier 1,,miR-101b-3p,increased total body fat amount
Upf3b,UPF3 regulator of nonsense transcripts homolog B,Transporter,miR-124-3p,increased fasting circulating glucose level
Urm1,Ubiquitin-related modifier 1,,miR-141-5p,impaired glucose tolerance
Usp1,Ubiquitin carboxyl-terminal hydrolase 1,Peptidase,miR-340-5p; miR-124-3p,increased circulating insulin level
Usp12,Ubiquitin carboxyl-terminal hydrolase 12,Peptidase,miR-296-5p,increased total body fat amount; impaired glucose tolerance
Usp13,Ubiquitin carboxyl-terminal hydrolase 13,Peptidase,miR-340-5p; miR-182-5p; miR-874-5p,increased total body fat amount
Usp15,Ubiquitin carboxyl-terminal hydrolase 15,Peptidase,miR-340-5p; miR-30e-5p; miR-101b-3p; miR-30a-5p; miR-296-5p,increased lean body mass; improved glucose tolerance
Usp30,Ubiquitin carboxyl-terminal hydrolase 30,Peptidase,miR-124-3p,impaired glucose tolerance
Usp31,ubiquitinyl hydrolase 1 (EC 3.4.19.12),Peptidase,miR-19b-3p; miR-19a-3p; miR-145a-5p,increased lean body mass; increased circulating glucose level
Usp36,Ubiquitin carboxyl-terminal hydrolase 36,Peptidase,miR-337-3p,increased circulating glucose level
Usp38,Ubiquitin carboxyl-terminal hydrolase 38,Peptidase,miR-124-3p; miR-101b-3p,increased total body fat amount
Usp40,Ubiquitin carboxyl-terminal hydrolase 40,Peptidase,miR-101b-3p; miR-337-3p,increased total body fat amount
Usp47,Ubiquitin carboxyl-terminal hydrolase 47,Peptidase,miR-340-5p; miR-30e-5p; miR-101b-3p; miR-30a-5p; miR-337-3p,increased circulating glucose level
Vangl2,Vang-like protein 2,,miR-182-5p; miR-337-3p,increased circulating glucose level
Vapb,Vesicle-associated membrane protein-associated protein B,,miR-133b-3p; miR-146a-5p; miR-143-3p; miR-19b-3p; miR-19a-3p; miR-337-3p,improved glucose tolerance
Vdac1,Non-selective voltage-gated ion channel VDAC1,Ion channel,miR-183-5p,impaired glucose tolerance
Vdr,Vitamin D3 receptor,Transcription regulator,miR-874-5p,increased lean body mass
Vkorc1l1,Vitamin K epoxide reductase complex subunit 1-like protein 1,Enzyme,miR-30e-5p; miR-124-3p; miR-101b-3p; miR-30a-5p; miR-296-5p,increased lean body mass; increased fasting circulating glucose level
Vps13b,Intermembrane lipid transfer protein VPS13B,Transporter,miR-146a-5p,increased total body fat amount; impaired glucose tolerance
